San Antonio Season Schedule,,,,,,,
Date,Game Number,Visiting Team,Visiting Score,Home Team,Home Score,Game Time/Status,Venue
2012-10-13,18,Texas,2,San Antonio,1,Final ,"AT&T Center San Antonio, TX"
2012-10-14,24,Houston,2,San Antonio,3,Final ,"AT&T Center San Antonio, TX"
2012-10-19,38,San Antonio,2,Oklahoma City,5,Final ,"Cox Convention Center Oklahoma City, OK"
2012-10-20,51,Milwaukee,0,San Antonio,1,Final ,"AT&T Center San Antonio, TX"
2012-10-25,71,San Antonio,1,Rockford,2,Final SO ,"BMO Harris Bank Center Rockford, IL"
2012-10-27,83,San Antonio,5,Chicago,6,Final ,"Allstate Arena Rosemont, IL"
2012-10-28,101,San Antonio,1,Rockford,3,Final ,"BMO Harris Bank Center Rockford, IL"
2012-11-02,120,Grand Rapids,2,San Antonio,3,Final ,"AT&T Center San Antonio, TX"
2012-11-04,136,Oklahoma City,0,San Antonio,2,Final ,"AT&T Center San Antonio, TX"
2012-11-10,167,Toronto,5,San Antonio,3,Final ,"AT&T Center San Antonio, TX"
2012-11-13,180,Houston,7,San Antonio,5,Final ,"AT&T Center San Antonio, TX"
2012-11-15,187,San Antonio,0,Texas,3,Final ,"Cedar Park Center Cedar Park, TX"
2012-11-16,198,Charlotte,4,San Antonio,3,Final ,"AT&T Center San Antonio, TX"
2012-11-18,217,Charlotte,4,San Antonio,3,Final SO ,"AT&T Center San Antonio, TX"
2012-11-23,237,Houston,2,San Antonio,1,Final ,"AT&T Center San Antonio, TX"
2012-11-24,248,Abbotsford,3,San Antonio,2,Final SO ,"AT&T Center San Antonio, TX"
2012-11-25,260,Texas,5,San Antonio,3,Final ,"AT&T Center San Antonio, TX"
2012-11-28,268,San Antonio,4,Rochester,2,Final ,"Blue Cross Arena Rochester, NY"
2012-11-30,276,San Antonio,6,Lake Erie,2,Final ,"Quicken Loans Arena Cleveland, OH"
2012-12-01,291,San Antonio,2,Lake Erie,4,Final ,"Quicken Loans Arena Cleveland, OH"
2012-12-04,304,San Antonio,3,Abbotsford,2,Final OT ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-12-05,305,San Antonio,4,Abbotsford,0,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-12-08,327,Oklahoma City,3,San Antonio,4,Final ,"AT&T Center San Antonio, TX"
2012-12-09,340,Oklahoma City,2,San Antonio,3,Final ,"AT&T Center San Antonio, TX"
2012-12-11,344,San Antonio,1,Houston,5,Final ,"Toyota Center Houston, TX"
2012-12-14,362,San Antonio,1,Oklahoma City,5,Final ,"Cox Convention Center Oklahoma City, OK"
2012-12-15,374,San Antonio,3,Oklahoma City,5,Final ,"Cox Convention Center Oklahoma City, OK"
2012-12-16,384,Charlotte,2,San Antonio,1,Final ,"AT&T Center San Antonio, TX"
2012-12-19,397,San Antonio,0,Texas,2,Final ,"Cedar Park Center Cedar Park, TX"
2012-12-21,410,San Antonio,1,Toronto,4,Final ,"Ricoh Coliseum Toronto, ON"
2012-12-22,415,San Antonio,5,Hamilton,2,Final ,"Copps Coliseum Hamilton, ON"
2012-12-28,444,San Antonio,2,Oklahoma City,3,Final SO ,"Cox Convention Center Oklahoma City, OK"
2012-12-29,455,Houston,1,San Antonio,2,Final OT ,"AT&T Center San Antonio, TX"
2012-12-30,463,Charlotte,2,San Antonio,5,Final ,"AT&T Center San Antonio, TX"
2013-01-04,487,Peoria,0,San Antonio,3,Final ,"AT&T Center San Antonio, TX"
2013-01-05,496,San Antonio,0,Houston,1,Final ,"Toyota Center Houston, TX"
2013-01-06,511,Peoria,2,San Antonio,5,Final ,"AT&T Center San Antonio, TX"
2013-01-10,519,Lake Erie,5,San Antonio,1,Final ,"AT&T Center San Antonio, TX"
2013-01-11,528,Lake Erie,2,San Antonio,4,Final ,"AT&T Center San Antonio, TX"
2013-01-12,546,San Antonio,1,Texas,3,Final ,"Cedar Park Center Cedar Park, TX"
2013-01-18,570,San Antonio,4,Oklahoma City,2,Final ,"Cox Convention Center Oklahoma City, OK"
2013-01-19,582,San Antonio,1,Oklahoma City,2,Final ,"Cox Convention Center Oklahoma City, OK"
2013-01-25,618,Texas,1,San Antonio,2,Final OT ,"AT&T Center San Antonio, TX"
2013-01-26,632,San Antonio,1,Texas,4,Final ,"Cedar Park Center Cedar Park, TX"
2013-02-01,648,Rockford,0,San Antonio,1,Final ,"AT&T Center San Antonio, TX"
2013-02-04,665,San Antonio,5,Houston,2,Final ,"Toyota Center Houston, TX"
2013-02-09,687,San Antonio,3,Charlotte,2,Final ,"Time Warner Cable Arena Charlotte, NC"
2013-02-10,701,San Antonio,1,Charlotte,2,Final ,"Time Warner Cable Arena Charlotte, NC"
2013-02-15,723,San Antonio,4,Milwaukee,5,Final OT ,"BMO Harris Bradley Center Milwaukee, WI"
2013-02-16,738,San Antonio,4,Peoria,3,Final SO *,"Carver Arena Peoria, IL"
2013-02-17,745,San Antonio,5,Chicago,4,Final SO ,"Allstate Arena Rosemont, IL"
2013-02-22,771,San Antonio,0,Peoria,5,Final ,"Carver Arena Peoria, IL"
