People QuickFacts,Maricopa County,Arizona
"Population, 2013 estimate    ","4,009,412","6,626,624"
"Population, 2010 (April 1) estimates base    ","3,817,118","6,392,015"
"Population, percent change, April 1, 2010 to July 1, 2013    ",5.0%,3.7%
"Population, 2010    ","3,817,117","6,392,017"
"Persons under 5 years, percent, 2013    ",6.8%,6.5%
"Persons under 18 years, percent, 2013    ",25.3%,24.4%
"Persons 65 years and over, percent, 2013    ",13.4%,15.4%
"Female persons, percent, 2013    ",50.5%,50.3%
,,
"White alone, percent, 2013 (a)    ",84.7%,84.0%
"Black or African American alone, percent, 2013 (a)    ",5.7%,4.6%
"American Indian and Alaska Native alone, percent, 2013 (a)    ",2.7%,5.3%
"Asian alone, percent, 2013 (a)    ",4.0%,3.2%
"Native Hawaiian and Other Pacific Islander alone, percent, 2013 (a)    ",0.3%,0.3%
"Two or More Races, percent, 2013    ",2.7%,2.6%
"Hispanic or Latino, percent, 2013 (b)    ",30.0%,30.3%
"White alone, not Hispanic or Latino, percent, 2013    ",57.6%,56.7%
,,
"Living in same house 1 year & over, percent, 2008-2012    ",79.9%,80.4%
"Foreign born persons, percent, 2008-2012    ",15.1%,13.6%
"Language other than English spoken at home, pct age 5+, 2008-2012    ",26.4%,26.9%
"High school graduate or higher, percent of persons age 25+, 2008-2012    ",86.2%,85.4%
"Bachelor's degree or higher, percent of persons age 25+, 2008-2012    ",29.5%,26.6%
"Veterans, 2008-2012    ","275,434","530,693"
"Mean travel time to work (minutes), workers age 16+, 2008-2012    ",25.4,24.6
,,
"Housing units, 2013    ","1,668,171","2,892,325"
"Homeownership rate, 2008-2012    ",63.8%,65.5%
"Housing units in multi-unit structures, percent, 2008-2012    ",25.1%,20.6%
"Median value of owner-occupied housing units, 2008-2012    ","$193,900","$175,900"
"Households, 2008-2012    ","1,402,149","2,357,158"
"Persons per household, 2008-2012    ",2.71,2.66
"Per capita money income in past 12 months (2012 dollars), 2008-2012    ","$27,552","$25,571"
"Median household income, 2008-2012    ","$54,385","$50,256"
"Persons below poverty level, percent, 2008-2012    ",15.8%,17.2%
,,
Business QuickFacts,Maricopa County,Arizona
"Private nonfarm establishments, 2012    ","84,585","131,375"
"Private nonfarm employment, 2012    ","1,458,349","2,134,252"
"Private nonfarm employment, percent change, 2011-2012    ",0.6%,1.2%
"Nonemployer establishments, 2012    ","268,747","413,571"
,,
"Total number of firms, 2007    ","311,765","491,529"
"Black-owned firms, percent, 2007    ",2.4%,2.0%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",1.2%,1.9%
"Asian-owned firms, percent, 2007    ",3.9%,3.3%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",S,S
"Hispanic-owned firms, percent, 2007    ",9.2%,10.7%
"Women-owned firms, percent, 2007    ",27.3%,28.1%
,,
"Manufacturers shipments, 2007 ($1000)    ","40,182,099","57,977,827"
"Merchant wholesaler sales, 2007 ($1000)    ","49,760,315","57,573,459"
"Retail sales, 2007 ($1000)    ","58,688,328","86,758,801"
"Retail sales per capita, 2007    ","$15,153","$13,637"
"Accommodation and food services sales, 2007 ($1000)    ","8,408,940","13,268,514"
"Building permits, 2012    ","14,131","21,726"
,,
Geography QuickFacts,Maricopa County,Arizona
"Land area in square miles, 2010    ","9,200.14","113,594.08"
"Persons per square mile, 2010    ",414.9,56.3
FIPS Code    ,13,4
Metropolitan or Micropolitan Statistical Area    ,"Phoenix-Mesa-Scottsdale, AZ Metro Area", 
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
