Product,Product,TOTAL
Single - Name*,Corporate,793870
Single - Name*,Loans,5913
Single - Name*,Municipal,"<1,000"
Single - Name*,Recovery,
Single - Name*,Sovereign,229046
Index Tranche,Asia,"<1,000"
Index Tranche,Europe,188272
Index Tranche,North America,194059
Index,Asia,32070
Index,Europe,407178
Index,North America,577380
Other,Exotic,
Other,Swaptions,
Other,Total Return Swap,
TOTAL*,TOTAL*,2427789
"Estimated net notional amount outstanding, November 30 weekly snapshot, by product type (millions of USD), all tenors and currencies. This table will be expanded to reflect participant type and cleared status as more complete data becomes available.","Estimated net notional amount outstanding, November 30 weekly snapshot, by product type (millions of USD), all tenors and currencies. This table will be expanded to reflect participant type and cleared status as more complete data becomes available.","Estimated net notional amount outstanding, November 30 weekly snapshot, by product type (millions of USD), all tenors and currencies. This table will be expanded to reflect participant type and cleared status as more complete data becomes available."
Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.
*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.
The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.
