,,B/D? ,DSRO ,A/O ,Adjusted ,Net Capital ,Excess ,Customers' ,Customer ,,,,,,,
,Futures Commission Merchant,,,Date,Net Capital,Requirement ,Net Capital ,Seg Required ,Amount ,,,,,,,
,,,,,,,,4d(a)(2) ,Pt. 30 Required ,,,,,,,
,,(a),(b),,,(c),(d),(e),(f),,,,,,,
,,,,,,,,,,,,,,,,
1.0,3DFOREX LLC,N,NFA,2009-05-31 00:00:00,8925339,500000,8425339,0,0,,,,,,,
2.0,ACM USA LLC,N,NFA,2009-05-31 00:00:00,783708,500000,283708,0,0,,,,,,,
3.0,ADM INVESTOR SERVICES INC,N,CBOT,2009-05-31 00:00:00,154751903,86580017,68171886,2042868872,63267381,,,,,,,
4.0,ADVANCED MARKETS LLC,N,NFA,2009-05-31 00:00:00,20722551,20000000,722551,0,0,,,,,,,
5.0,ADVANTAGE FUTURES LLC,N,CME,2009-05-29 00:00:00,15022310,6065108,8957202,207152729,19915567,,,,,,,
6.0,AIG CLEARING CORPORATION,N,NYME,2009-05-31 00:00:00,203070172,1106944,201963228,0,0,,,,,,,
7.0,ALARON TRADING CORPORATION,N,NFA,2009-05-31 00:00:00,1221287,500000,721287,0,0,,,,,,,
8.0,ALLIANZ GLOBAL INVESTORS DISTRIBUTORS LLC *,Y,NFA, 03/31/2009,23585672,5484657,18101015,0,0,,,,,,,
9.0,ALPARI (US) LLC,N,NFA,2009-05-31 00:00:00,22312195,20000000,2312195,0,0,,,,,,,
10.0,AMERIPRISE ADVISOR SERVICES INC,Y,NFA,2009-05-31 00:00:00,83376315,5559875,77816440,0,0,,,,,,,
11.0,BANC OF AMERICA SECURITIES LLC,Y,CME,2009-05-29 00:00:00,2977644479,65378832,2912265647,0,0,,,,,,,
12.0,BARCLAYS CAPITAL INC,Y,NYME,2009-05-31 00:00:00,5253292694,514842467,4738450227,4712299784,1857092322,,,,,,,
13.0,BGC FINANCIAL LP,Y,NFA,2009-05-31 00:00:00,58994624,500000,58494624,0,0,,,,,,,
14.0,BNP PARIBAS COMMODITY FUTURES INC,N,NYME,2009-05-29 00:00:00,284707523,229973534,54733989,2254852062,527043378,,,,,,,
15.0,BNP PARIBAS SECURITIES CORP,Y,CBOT,2009-05-31 00:00:00,1341786177,48812840,1292973337,225156175,0,,,,,,,
16.0,CADENT FINANCIAL SERVICES LLC,N,CME,2009-05-31 00:00:00,4065233,3749802,315431,162821009,1246042,,,,,,,
17.0,CANTOR FITZGERALD & CO,Y,CBOT,2009-05-31 00:00:00,241898828,7096915,234801913,14854308,0,,,,,,,
18.0,CAPITAL MARKET SERVICES LLC,N,NFA,2009-05-31 00:00:00,29788506,20000000,9788506,0,0,,,,,,,
19.0,CIBC WORLD MARKETS CORP,Y,CME,2009-05-29 00:00:00,1194278819,11005352,1183273467,0,0,,,,,,,
20.0,CITIGROUP GLOBAL MARKETS INC,Y,CBOT,2009-05-29 00:00:00,6620694300,792401778,5828292522,13464312444,540081859,,,,,,,
21.0,COMMONWEALTH FOREIGN EXCHANGE INC,N,NFA,2009-05-31 00:00:00,814760,500000,314760,0,0,,,,,,,
22.0,COUNTRY HEDGING INC,N,NFA,2009-05-31 00:00:00,14301081,8691474,5609607,95167927,149040,,,,,,,
23.0,CREDIT SUISSE SECURITIES (USA) LLC,Y,CBOT,2009-05-31 00:00:00,13765245488,591068687,13174176801,3483300376,1699518217,,,,,,,
24.0,CROSSLAND LLC,N,CBOT,2009-05-31 00:00:00,3737854,2886382,851472,41145761,22293606,,,,,,,
25.0,CUNNINGHAM COMMODITIES LLC,N,CBOT,2009-05-31 00:00:00,3548604,501441,3047163,29195744,55441,,,,,,,
26.0,CX CAPITAL MARKETS LLC,N,NFA,2009-05-31 00:00:00,812707,500000,312707,3786284,0,,,,,,,
27.0,DAIWA SECURITIES AMERICA INC,Y,CME,2009-05-31 00:00:00,241063400,1670205,239393195,19572692,96851,,,,,,,
28.0,DEUTSCHE BANK SECURITIES INC,Y,CBOT,2009-05-29 00:00:00,6808268129,430139594,6378128535,9389985667,869245430,,,,,,,
29.0,DORMAN TRADING LLC,N,CME,2009-05-31 00:00:00,7990678,837014,7153664,81781105,0,,,,,,,
30.0,EAGLE MARKET MAKERS INC,N,CBOT,2009-05-31 00:00:00,6272630,500000,5772630,2494397,0,,,,,,,
31.0,EASY FOREX US LTD,N,NFA,2009-05-31 00:00:00,20928968,20000000,928968,0,0,,,,,,,
32.0,ELECTRONIC BROKERAGE SYSTEMS LLC,Y,NFA,2009-05-31 00:00:00,7090657,674971,6415686,0,0,,,,,,,
33.0,ENSKILDA FUTURES LTD,N,CME,2009-05-31 00:00:00,25779268,10678963,15100305,242635959,0,,,,,,,
34.0,FARR FINANCIAL INC,N,NFA,2009-05-31 00:00:00,904856,546491,358365,33049998,45747,,,,,,,
35.0,FCSTONE LLC,N,CME,2009-05-31 00:00:00,59481852,41135485,18346367,822251284,7582884,,,,,,,
36.0,FOREX CAPITAL MARKETS LLC,N,NFA,2009-05-31 00:00:00,63999806,20000000,43999806,0,0,,,,,,,
37.0,FOREX CLUB FINANCIAL COMPANY INC,N,NFA,2009-05-31 00:00:00,25427601,20000000,5427601,0,0,,,,,,,
