People QuickFacts,Greenville,South Carolina
"Population, 2013 estimate    ","61,397","4,774,839"
"Population, 2012 estimate    ","60,746","4,723,417"
"Population, 2010 (April 1) estimates base    ","59,173","4,625,360"
"Population, percent change, April 1, 2010 to July 1, 2013    ",3.8%,3.2%
"Population, percent change, April 1, 2010 to July 1, 2012    ",2.7%,2.1%
"Population, 2010    ","58,409","4,625,364"
"Persons under 5 years, percent, 2010    ",6.5%,6.5%
"Persons under 18 years, percent, 2010    ",19.4%,23.4%
"Persons 65 years and over, percent,  2010    ",12.8%,13.7%
"Female persons, percent, 2010    ",51.9%,51.4%
,,
"White alone, percent, 2010 (a)    ",64.0%,66.2%
"Black or African American alone, percent, 2010 (a)    ",30.0%,27.9%
"American Indian and Alaska Native alone, percent, 2010 (a)    ",0.3%,0.4%
"Asian alone, percent, 2010 (a)    ",1.4%,1.3%
"Native Hawaiian and Other Pacific Islander alone, percent, 2010 (a)    ",0.1%,0.1%
"Two or More Races, percent, 2010    ",1.8%,1.7%
"Hispanic or Latino, percent, 2010 (b)    ",5.9%,5.1%
"White alone, not Hispanic or Latino, percent, 2010    ",61.3%,64.1%
,,
"Living in same house 1 year & over, percent, 2008-2012    ",75.2%,84.7%
"Foreign born persons, percent, 2008-2012    ",6.6%,4.8%
"Language other than English spoken at home, pct age 5+, 2008-2012    ",8.3%,6.8%
"High school graduate or higher, percent of persons age 25+, 2008-2012    ",85.7%,84.0%
"Bachelor's degree or higher, percent of persons age 25+, 2008-2012    ",41.0%,24.6%
"Veterans, 2008-2012    ","3,342","396,873"
"Mean travel time to work (minutes), workers age 16+, 2008-2012    ",17.5,23.4
"Housing units, 2010    ","29,418","2,137,683"
"Homeownership rate, 2008-2012    ",45.6%,69.5%
"Housing units in multi-unit structures, percent, 2008-2012    ",44.9%,17.7%
"Median value of owner-occupied housing units, 2008-2012    ","$201,200","$137,400"
"Households, 2008-2012    ","25,096","1,768,255"
"Persons per household, 2008-2012    ",2.17,2.54
"Per capita money income in past 12 months (2012 dollars), 2008-2012    ","$30,804","$23,906"
"Median household income, 2008-2012    ","$41,553","$44,623"
"Persons below poverty level, percent, 2008-2012    ",18.6%,17.6%
,,
Business QuickFacts,Greenville,South Carolina
"Total number of firms, 2007    ","9,371","360,397"
"Black-owned firms, percent, 2007    ",5.3%,12.1%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",F,0.5%
"Asian-owned firms, percent, 2007    ",2.2%,1.8%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,0.1%
"Hispanic-owned firms, percent, 2007    ",2.2%,1.7%
"Women-owned firms, percent, 2007    ",21.0%,27.6%
,,
"Manufacturers shipments, 2007 ($1000)    ","978,405","93,977,455"
"Merchant wholesaler sales, 2007 ($1000)    ","4,957,421","40,498,047"
"Retail sales, 2007 ($1000)    ","2,356,680","54,298,410"
"Retail sales per capita, 2007    ","$39,829","$12,273"
"Accommodation and food services sales, 2007 ($1000)    ","385,610","8,383,463"
,,
Geography QuickFacts,Greenville,South Carolina
"Land area in square miles, 2010    ",28.67,"30,060.70"
"Persons per square mile, 2010    ","2,037.4",153.9
FIPS Code    ,30850,45
Counties    ,"Greenville County
 ",
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
