                                                                                    MESQUITE  POLICE DEPARTMENT                                                                            ,                                                                                    MESQUITE  POLICE DEPARTMENT                                                                            ,                                                                                    MESQUITE  POLICE DEPARTMENT                                                                            ,                                                                                    MESQUITE  POLICE DEPARTMENT                                                                            ,                                                                                    MESQUITE  POLICE DEPARTMENT                                                                            ,                                                                                    MESQUITE  POLICE DEPARTMENT                                                                            ,                                                                                    MESQUITE  POLICE DEPARTMENT                                                                            ,                                                                                    MESQUITE  POLICE DEPARTMENT                                                                            ,                                                                                    MESQUITE  POLICE DEPARTMENT                                                                            ,                                                                                    MESQUITE  POLICE DEPARTMENT                                                                            ,                                                                                    MESQUITE  POLICE DEPARTMENT                                                                            ,                                                                                    MESQUITE  POLICE DEPARTMENT                                                                            ,                                                                                    MESQUITE  POLICE DEPARTMENT                                                                            ,                                                                                    MESQUITE  POLICE DEPARTMENT                                                                            ,                                                                                    MESQUITE  POLICE DEPARTMENT                                                                            ,                                                                                    MESQUITE  POLICE DEPARTMENT                                                                            ,                                                                                    MESQUITE  POLICE DEPARTMENT                                                                            
MORE COPS Revenues and Expenditures,MORE COPS Revenues and Expenditures,MORE COPS Revenues and Expenditures,MORE COPS Revenues and Expenditures,MORE COPS Revenues and Expenditures,MORE COPS Revenues and Expenditures,MORE COPS Revenues and Expenditures,MORE COPS Revenues and Expenditures,MORE COPS Revenues and Expenditures,MORE COPS Revenues and Expenditures,MORE COPS Revenues and Expenditures,MORE COPS Revenues and Expenditures,MORE COPS Revenues and Expenditures,MORE COPS Revenues and Expenditures,MORE COPS Revenues and Expenditures,MORE COPS Revenues and Expenditures,MORE COPS Revenues and Expenditures
"Inception to September 30, 2012","Inception to September 30, 2012","Inception to September 30, 2012","Inception to September 30, 2012","Inception to September 30, 2012","Inception to September 30, 2012","Inception to September 30, 2012","Inception to September 30, 2012","Inception to September 30, 2012","Inception to September 30, 2012","Inception to September 30, 2012","Inception to September 30, 2012","Inception to September 30, 2012","Inception to September 30, 2012","Inception to September 30, 2012","Inception to September 30, 2012","Inception to September 30, 2012"
,,,,,,,,,,,,,,,,
Commitment Item,FY 2007 Audited,FY 2008 Audited,FY 2009  Audited,FY 2010 Audited,Oct - Dec 2010,Jan - Mar 2011,Apr - June 2011,FY 2011 Audited,Oct - Dec 2011,Jan - Mar 2012,Apr - June 2012,FY 2012 Audited,July - Sept 2012,Oct - Dec 2012,FYTD,Inception to Date     Total
  585000  1/4% Sales Tax Revenue ***,738487,813669.44,728029.35,733072,180781.87,188388.14999999997,211942.56000000006,746541.64,187247.14,200622.22,220134.21,780719.51,165320.1,110993.53,276313.63,5428934.569999999
  590200  Interest***,19847,26400.54,16312.89,2234,81.27,56.44,546.76,709.86,52.290000000000006,39.88,206.74,342.86,37.06,7.67,44.730000000000004,69523.87999999999
                   Other Grants,0,0,0,12978,,,12480.8,12480.8,,,10667.27,10667.27,,,0,36126.07
      TOTAL REVENUES,758334,840069.98,744342.24,748284,180863.13999999998,188444.58999999997,224970.12000000005,759732.3,187299.43000000002,200662.1,231008.21999999997,791729.64,165357.16,111001.2,276358.36,5534584.52
,,,,,,,,0,,,,0,,,0,0
  611000 Salaries,247190,410474.44,418056.37,418511.56,82403.73999999999,81853.03,107186.70000000001,368973.97,98476.92000000001,86235.52,118088.3,393275.96,86405.29,123642.42,210047.71,2483557.0100000002
