"CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc."
Date,Short Percentage of Float,,,,
2014-02-14,3.90%,,,,
2014-01-31,3.55%,,,,
2014-01-15,3.19%,,,,
2013-12-31,2.93%,,,,
2013-12-13,3.31%,,,,
2013-11-29,3.25%,,,,
2013-11-15,3.36%,,,,
2013-10-31,3.94%,,,,
2013-10-15,3.62%,,,,
2013-09-30,3.69%,,,,
2013-09-13,0.00%,,,,
2013-08-30,5.63%,,,,
2013-08-15,7.03%,,,,
2013-07-31,6.19%,,,,
2013-07-15,3.83%,,,,
2013-06-28,2.93%,,,,
2013-06-14,3.19%,,,,
2013-05-31,2.99%,,,,
2013-05-15,3.77%,,,,
2013-04-30,4.05%,,,,
2013-04-15,3.81%,,,,
2013-03-28,3.37%,,,,
2013-03-15,2.74%,,,,
2013-02-28,2.53%,,,,
2013-02-15,2.47%,,,,
2013-01-31,2.86%,,,,
2013-01-15,2.85%,,,,
2012-12-31,2.87%,,,,
2012-12-14,3.02%,,,,
2012-11-30,3.09%,,,,
2012-11-15,3.04%,,,,
2012-10-31,2.84%,,,,
2012-10-15,2.80%,,,,
2012-09-28,3.24%,,,,
2012-09-14,3.60%,,,,
2012-08-31,0.00%,,,,
2012-08-15,4.55%,,,,
2012-07-31,4.97%,,,,
2012-07-13,4.91%,,,,
2012-06-29,5.22%,,,,
2012-06-15,4.86%,,,,
2012-05-31,4.53%,,,,
2012-05-15,4.29%,,,,
2012-04-30,4.20%,,,,
2012-04-13,4.06%,,,,
2012-03-30,3.86%,,,,
2012-03-15,4.15%,,,,
2012-02-29,3.87%,,,,
2012-02-15,3.75%,,,,
2012-01-31,3.83%,,,,
2012-01-13,4.33%,,,,
2011-12-30,4.36%,,,,
2011-12-15,4.79%,,,,
2011-11-30,5.56%,,,,
2011-11-15,5.07%,,,,
2011-10-31,4.67%,,,,
2011-10-14,0.00%,,,,
2011-09-30,0.00%,,,,
2011-09-15,0.00%,,,,
2011-08-31,5.33%,,,,
2011-08-15,5.24%,,,,
2011-07-29,4.22%,,,,
2011-07-15,4.17%,,,,
2011-06-30,4.77%,,,,
2011-06-15,1.20%,,,,
2011-05-31,0.90%,,,,
2011-05-13,0.70%,,,,
2011-04-29,1.30%,,,,
2011-04-15,1.34%,,,,
2011-03-31,1.12%,,,,
2011-03-15,1.06%,,,,
2011-02-28,1.07%,,,,
2011-02-15,1.06%,,,,
2011-01-31,0.73%,,,,
2011-01-14,0.70%,,,,
2010-12-31,0.64%,,,,
2010-12-15,0.70%,,,,
2010-11-30,0.65%,,,,
2010-11-15,0.73%,,,,
2010-10-29,0.63%,,,,
2010-10-15,0.35%,,,,
2010-09-30,0.36%,,,,
2010-09-15,0.40%,,,,
2010-08-31,0.44%,,,,
2010-08-13,0.60%,,,,
2010-07-30,0.43%,,,,
2010-07-15,0.62%,,,,
2010-06-30,1.10%,,,,
2010-06-15,4.00%,,,,
2010-05-28,4.42%,,,,
2010-05-14,4.39%,,,,
2010-04-30,3.66%,,,,
2010-04-15,3.39%,,,,
2010-03-31,3.45%,,,,
2010-03-15,3.40%,,,,
2010-02-26,4.18%,,,,
2010-02-12,3.98%,,,,
2010-01-29,3.52%,,,,
2010-01-15,2.92%,,,,
2009-12-31,0.00%,,,,
2009-12-15,0.00%,,,,
2009-11-30,0.00%,,,,
2009-11-13,0.00%,,,,
2009-10-30,0.00%,,,,
2009-10-15,0.00%,,,,
2009-09-30,0.00%,,,,
2009-09-15,0.00%,,,,
2009-08-31,0.00%,,,,
2009-08-14,0.00%,,,,
2009-07-31,23.10%,,,,
2009-07-15,24.68%,,,,
2009-06-30,2.02%,,,,
2009-06-15,0.20%,,,,
2009-05-29,0.39%,,,,
2009-05-15,1.41%,,,,
2009-04-30,0.03%,,,,
2009-04-15,0.12%,,,,
2009-03-31,0.19%,,,,
2009-03-13,0.29%,,,,
2009-02-27,0.01%,,,,
2009-02-13,0.01%,,,,
2009-01-30,0.03%,,,,
2009-01-15,0.01%,,,,
2008-12-31,0.01%,,,,
2008-12-15,0.00%,,,,
2008-11-28,0.02%,,,,
2008-11-14,0.03%,,,,
2008-10-31,0.13%,,,,
2008-10-15,0.17%,,,,
2008-09-30,0.17%,,,,
2008-09-15,0.19%,,,,
2008-08-29,0.21%,,,,
2008-08-15,0.23%,,,,
2008-07-31,0.24%,,,,
2008-07-15,0.23%,,,,
2008-06-30,0.22%,,,,
2008-06-13,0.22%,,,,
2008-05-30,0.30%,,,,
2008-05-15,0.25%,,,,
2008-04-30,0.17%,,,,
2008-04-15,0.18%,,,,
2008-03-31,0.20%,,,,
2008-03-14,0.23%,,,,
2008-02-29,0.26%,,,,
2008-02-15,0.27%,,,,
2008-01-31,0.29%,,,,
2008-01-15,0.61%,,,,
2007-12-31,0.46%,,,,
