2004-09-14 00:00:00,CONGRESSIONAL DISTRICT NO. 1 - REPUBLICAN,CONGRESSIONAL DISTRICT NO. 1 - REPUBLICAN,CONGRESSIONAL DISTRICT NO. 1 - REPUBLICAN,CONGRESSIONAL DISTRICT NO. 1 - REPUBLICAN,CONGRESSIONAL DISTRICT NO. 1 - REPUBLICAN,CONGRESSIONAL DISTRICT NO. 1 - REPUBLICAN,CONGRESSIONAL DISTRICT NO. 1 - REPUBLICAN
,"Bevill, r","Bradley, r","Bruce, d","Duffy, d","Liles, d","Nadeau, d",Scatter
Albany,3,38,,,,,
Alton,35,253,,,,,1
Auburn,24,240,,,,,1
Barrington,32,252,,,,1,
Barnstead,23,167,,,,,
Bartlett,19,130,,,,1,
Bedford,122,1321,,,,1,4
Belmont,32,205,,,,,
Brentwood,14,177,,,,,
Brookfield,1,69,,,,,
Candia,21,234,1,,,,
Center Harbor,14,103,,,,,
Chatham,0,20,,,,,
Chester,28,243,,,,,
Conway,16,235,,1,,30,1
Danville,27,232,,,,,
Deerfield,25,194,,,,,
Derry,146,1165,,,,,
Dover Ward 1,13,132,,,,2,
Dover Ward 2,22,159,,,,,
Dover Ward 3,32,328,1,,,2,
Dover Ward 4,19,258,,,,,
Dover Ward 5,13,175,,,,,
Dover Ward 6,24,205,,,,,
Durham,17,272,,,,,
East Kingston,7,107,,,,,
Eaton,0,21,,,,,
Effingham,6,47,,,,,
Epping,38,275,,,,,
Exeter,79,673,1,1,,1,
Farmington,23,178,,,,,
Freedom,4,62,,,,,
Fremont,20,171,,,,,1
Gilford,38,396,,,,,
Gilmanton,17,140,,,,,
Goffstown,115,1148,,,,,1
Greenland,19,259,,,,1,
Hale's Location,0,10,,,,,
Hampstead,41,369,,,,,
Hampton,56,822,,,,,
Hampton Falls,12,166,,,,,
Hart's Location,2,7,,,,,
Hooksett,64,598,,,,,
Jackson,14,76,,,,,1
Kensington,4,77,,,,1,
Kingston,19,182,,,,,
Laconia Ward 1,10,176,,,,, 
Laconia Ward 2,20,117,,,,,1
Laconia Ward 3,10,111,,,,,
Laconia Ward 4,12,118,,,,,
Laconia Ward 5,10,64,,,,,
Laconia Ward 6,8,144,,,,,1
Lee,18,176,,,,,3
Londonderry,133,996,,,,,1
Madbury,6,68,,,,,
Madison,8,96,,,,,
Manchester Ward 1,79,615,,5,,1,1
Manchester Ward 2,47,310,,3,,,1
Manchester Ward 3,21,195,,1,,1,1
Manchester Ward 4,25,226,,1,,1,1
Manchester Ward 5,25,160,,1,,,1
Manchester Ward 6,41,376,,2,,,
Manchester Ward 7,39,247,,1,,,
Manchester Ward 8,30,377,,,,1,2
Manchester Ward 9,42,284,1,,,,2
Manchester Ward 10,48,324,1,,,1,
Manchester Ward 11,32,159,,,,,
Manchester Ward 12,41,361,,3,,,2
Meredith,27,435,,,,1,
Merrimack,229,927,,,,, 
Middleton,10,63,,,,,
Milton,14,147,,,,,1
Moultonborough,23,241,,,,,
New Castle,10,190,,,,,
New Durham,13,128,,,,,
New Hampton,16,145,,,, ,2
Newfields,11,79,,,,,
Newington,6,101,,,,,
Newmarket,25,228,,,,1,1
Newton,14,83,,,,,1
North Hampton,26,287,,,,,
Northwood,28,121,,,,,1
Nottingham,26,180,,,,,
Ossipee,28,196,,,,,
Plaistow,9,149,,,,,
Portsmouth Ward 1,14,100,,,,1,
Portsmouth Ward 2,20,118,,1,,,1
Portsmouth Ward 3,16,107,,,,,
Portsmouth Ward 4,36,278,,,,3,
Portsmouth Ward 5,20,180,,,,,1
Raymond ,50,312,,,,,
Rye,44,487,,,,1,
Rochester Ward 1,26,291,,,,,1
Rochester Ward 2,21,286,,,,,
Rochester Ward 3,40,261,,,,,
Rochester Ward 4,15,232,,,,,
Rochester Ward 5,18,220,,,,,1
Rochester Ward 6,21,174,,,,,
Rollinsford,13,142,,1,,,1
Sandown,28,138,,,,,
Sandwich,9,104,,,,,
Seabrook,27,194,,,, ,
Somersworth Ward 1,9,65,,,,,
Somersworth Ward 2,3,49,,,,,
Somersworth Ward 3,2,48,,,,,
Somersworth Ward 4,5,60,,,,,2
Somersworth Ward 5,4,23,,,,,
South Hampton,3,37,,,,,
Strafford,24,186,,,,,
Stratham,32,353,,,,1,1
Tamworth,6,112,,,,,
Tuftonboro,11,167,,,,,
Wakefield,20,211,,,,,
Wolfeboro,19,359,,,,,
Totals,3076,27285,5,21,,53,41
