U.S. Energy Information Administration,,,,,,,,,,,,
September 2014 Monthly Energy Review,,,,,,,,,,,,
,,,,,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,,,,,
,,,,,,,,,,,,
"Release Date: September 25, 2014",,,,,,,,,,,,
"Next Update: October 28, 2014",,,,,,,,,,,,
,,,,,,,,,,,,
Table 11.2 Petroleum Consumption in OECD Countries,,,,,,,,,,,,
,,,,,,,,,,,,
Month,"Petroleum Consumption, France","Petroleum Consumption, Germany","Petroleum Consumption, Italy","Petroleum Consumption, United Kingdom","Petroleum Consumption, OECD Europe","Petroleum Consumption, Canada","Petroleum Consumption, Japan","Petroleum Consumption, South Korea","Petroleum Consumption, United States","Petroleum Consumption, Other OECD","Petroleum Consumption, Total OECD","Petroleum Consumption, World"
,(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day)
1973-01-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18712.645,Not Available,Not Available,Not Available
1973-02-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,19094.143,Not Available,Not Available,Not Available
1973-03-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17216.226,Not Available,Not Available,Not Available
1973-04-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15920.533,Not Available,Not Available,Not Available
1973-05-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16625.806,Not Available,Not Available,Not Available
1973-06-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16481.333,Not Available,Not Available,Not Available
1973-07-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16372.387,Not Available,Not Available,Not Available
1973-08-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17498.839,Not Available,Not Available,Not Available
1973-09-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16656.3,Not Available,Not Available,Not Available
1973-10-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17202.226,Not Available,Not Available,Not Available
1973-11-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18492.033,Not Available,Not Available,Not Available
1973-12-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17538.355,Not Available,Not Available,Not Available
1974-01-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17285.871,Not Available,Not Available,Not Available
1974-02-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17365.714,Not Available,Not Available,Not Available
1974-03-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16103.71,Not Available,Not Available,Not Available
1974-04-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15928.5,Not Available,Not Available,Not Available
1974-05-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15725.677,Not Available,Not Available,Not Available
1974-06-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16117.133,Not Available,Not Available,Not Available
1974-07-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16348.742,Not Available,Not Available,Not Available
1974-08-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16549.71,Not Available,Not Available,Not Available
1974-09-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16023.8,Not Available,Not Available,Not Available
1974-10-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17050.032,Not Available,Not Available,Not Available
