People QuickFacts,Wade Hampton Census Area,Alaska
"Population, 2012 estimate    ","7,809","731,449"
"Population, 2010 (April 1) estimates base    ","7,459","710,231"
"Population, percent change, April 1, 2010 to July 1, 2012    ",4.7%,3.0%
"Population, 2010    ","7,459","710,231"
"Persons under 5 years, percent, 2012    ",13.1%,7.5%
"Persons under 18 years, percent, 2012    ",41.4%,25.6%
"Persons 65 years and over, percent, 2012    ",5.2%,8.5%
"Female persons, percent, 2012    ",47.5%,47.9%
,,
"White alone, percent, 2012 (a)    ",4.1%,67.5%
"Black or African American alone, percent, 2012 (a)    ",0.1%,3.7%
"American Indian and Alaska Native alone, percent, 2012 (a)    ",93.2%,14.8%
"Asian alone, percent, 2012 (a)    ",0.2%,5.7%
"Native Hawaiian and Other Pacific Islander alone, percent, 2012 (a)    ",0.0%,1.2%
"Two or More Races, percent, 2012    ",2.3%,7.1%
"Hispanic or Latino, percent, 2012 (b)    ",0.3%,6.1%
"White alone, not Hispanic or Latino, percent, 2012    ",3.9%,63.1%
,,
"Living in same house 1 year & over, percent, 2007-2011    ",87.7%,79.3%
"Foreign born persons, percent, 2007-2011    ",0.3%,6.9%
"Language other than English spoken at home, percent age 5+, 2007-2011    ",57.3%,16.2%
"High school graduate or higher, percent of persons age 25+, 2007-2011    ",74.6%,91.4%
"Bachelor's degree or higher, percent of persons age 25+, 2007-2011    ",6.9%,27.2%
"Veterans, 2007-2011    ",315,"71,861"
"Mean travel time to work (minutes), workers age 16+, 2007-2011    ",5.5,18.2
,,
"Housing units, 2011    ","2,196","311,201"
"Homeownership rate, 2007-2011    ",67.0%,64.3%
"Housing units in multi-unit structures, percent, 2007-2011    ",3.5%,24.4%
"Median value of owner-occupied housing units, 2007-2011    ","$85,100","$235,100"
"Households, 2007-2011    ","1,714","252,920"
"Persons per household, 2007-2011    ",4.35,2.67
"Per capita money income in the past 12 months (2011 dollars), 2007-2011    ","$11,476","$31,944"
"Median household income, 2007-2011    ","$39,583","$69,014"
"Persons below poverty level, percent, 2007-2011    ",30.0%,9.5%
,,
Business QuickFacts,Wade Hampton Census Area,Alaska
"Private nonfarm establishments, 2011    ",73,"20,119"
"Private nonfarm employment, 2011    ",695,"254,996"
"Private nonfarm employment, percent change, 2010-2011    ",31.9%,0.1%
"Nonemployer establishments, 2011    ",481,"53,334"
,,
"Total number of firms, 2007    ",S,"68,728"
"Black-owned firms, percent, 2007    ",S,1.5%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",S,10.0%
"Asian-owned firms, percent, 2007    ",S,3.1%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",S,0.3%
"Hispanic-owned firms, percent, 2007    ",S,S
"Women-owned firms, percent, 2007    ",S,25.9%
,,
"Manufacturers shipments, 2007 ($1000)    ",0,"8,204,030"
"Merchant wholesaler sales, 2007 ($1000)    ",D,"4,563,605"
"Retail sales, 2007 ($1000)    ","39,514","9,303,387"
"Retail sales per capita, 2007    ","$5,211","$13,635"
"Accommodation and food services sales, 2007 ($1000)    ",0,"1,851,293"
"Building permits, 2012    ",0,994
,,
Geography QuickFacts,Wade Hampton Census Area,Alaska
"Land area in square miles, 2010    ","17,081.43","570,640.95"
"Persons per square mile, 2010    ",0.4,1.2
FIPS Code    ,270,2
Metropolitan or Micropolitan Statistical Area    ,None, 
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
