 Season Schedule,,,,,,,
Date,Game Number,Visiting Team,Visiting Score,Home Team,Home Score,Game Time/Status,Venue
2012-10-13,9,Portland,3,Adirondack,6,Final ,"Glens Falls Civic Center Glens Falls, NY"
2012-10-14,25,Adirondack,0,Springfield,4,Final ,"MassMutual Center Springfield, MA"
2012-10-19,43,Adirondack,1,St. John's,2,Final ,"Mile One Centre St. John's, NL"
2012-10-20,53,Adirondack,4,St. John's,3,Final ,"Mile One Centre St. John's, NL"
2012-10-26,72,Adirondack,1,Albany,5,Final ,"Times Union Center Albany, NY"
2012-10-27,82,Rochester,6,Adirondack,2,Final ,"Glens Falls Civic Center Glens Falls, NY"
2012-10-28,104,Adirondack,4,Syracuse,3,Final OT ,"Onondaga County War Memorial Arena Syracuse, NY"
2012-11-02,110,Syracuse,4,Adirondack,1,Final ,"Glens Falls Civic Center Glens Falls, NY"
2012-11-03,122,Albany,0,Adirondack,4,Final ,"Glens Falls Civic Center Glens Falls, NY"
2012-11-09,155,Adirondack,2,Rochester,1,Final ,"Blue Cross Arena Rochester, NY"
2012-11-10,161,Adirondack,1,Albany,2,Final ,"Times Union Center Albany, NY"
2012-11-14,183,Adirondack,4,Manchester,1,Final ,"Verizon Wireless Arena Manchester, NH"
2012-11-16,188,Adirondack,2,Binghamton,5,Final ,"Broome County Veterans Memorial Arena Binghamton, NY"
2012-11-17,210,Adirondack,2,Syracuse,5,Final ,"Onondaga County War Memorial Arena Syracuse, NY"
2012-11-21,222,Bridgeport,1,Adirondack,5,Final ,"Glens Falls Civic Center Glens Falls, NY"
2012-11-23,229,Norfolk,1,Adirondack,2,Final ,"Glens Falls Civic Center Glens Falls, NY"
2012-11-24,240,Hershey,1,Adirondack,3,Final ,"Glens Falls Civic Center Glens Falls, NY"
2012-11-28,265,St. John's,3,Adirondack,2,Final ,"Glens Falls Civic Center Glens Falls, NY"
2012-11-30,271,Binghamton,7,Adirondack,4,Final ,"Glens Falls Civic Center Glens Falls, NY"
2012-12-01,284,Albany,3,Adirondack,2,Final ,"Glens Falls Civic Center Glens Falls, NY"
2012-12-07,315,Adirondack,1,Rochester,3,Final ,"Blue Cross Arena Rochester, NY"
2012-12-08,321,Syracuse,3,Adirondack,4,Final SO ,"Glens Falls Civic Center Glens Falls, NY"
2012-12-09,339,Adirondack,2,Providence,3,Final OT ,"Dunkin' Donuts Center Providence, RI"
2012-12-14,356,Syracuse,3,Adirondack,0,Final ,"Glens Falls Civic Center Glens Falls, NY"
2012-12-15,367,Manchester,3,Adirondack,2,Final ,"Glens Falls Civic Center Glens Falls, NY"
2012-12-19,388,St. John's,2,Adirondack,3,Final ,"Glens Falls Civic Center Glens Falls, NY"
2012-12-21,409,Adirondack,4,Syracuse,3,Final SO ,"Onondaga County War Memorial Arena Syracuse, NY"
2012-12-22,412,Adirondack,3,Bridgeport,2,Final ,"Webster Bank Arena Bridgeport, CT"
2012-12-28,438,Providence,4,Adirondack,2,Final ,"Glens Falls Civic Center Glens Falls, NY"
2012-12-29,452,Adirondack,1,Portland,2,Final *,"Androscoggin Bank Colisee Lewiston, ME"
2012-12-31,465,Bridgeport,4,Adirondack,3,Final SO ,"Glens Falls Civic Center Glens Falls, NY"
2013-01-04,480,Adirondack,0,Connecticut,3,Final ,"XL Center Hartford, CT"
2013-01-05,491,Connecticut,1,Adirondack,2,Final OT ,"Glens Falls Civic Center Glens Falls, NY"
2013-01-11,521,Adirondack,3,Binghamton,2,Final SO ,"Broome County Veterans Memorial Arena Binghamton, NY"
2013-01-12,547,Adirondack,1,W-B/Scranton,2,Final ,"Mohegan Sun Arena at Casey Plaza Wilkes-Barre, PA"
2013-01-18,565,Albany,4,Adirondack,3,Final ,"Glens Falls Civic Center Glens Falls, NY"
2013-01-19,588,Adirondack,2,Worcester,1,Final ,"DCU Center Worcester, MA"
2013-01-20,590,Adirondack,3,Albany,2,Final SO *,"Boardwalk Hall Atlantic City, NJ"
