U.S. Energy Information Administration,,,,,,,,
July 2014 Monthly Energy Review,,,,,,,,
,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,
,,,,,,,,
"Release Date: July 28, 2014",,,,,,,,
"Next Update: August 26, 2014",,,,,,,,
,,,,,,,,
Table 4.4 Natural Gas in Underground Storage,,,,,,,,
,,,,,,,,
Month,"Natural Gas in Underground Storage, End of Period, Base Gas","Natural Gas in Underground Storage, End of Period, Working Gas","Natural Gas in Underground Storage, End of Period, Total","Change in Working Gas From Same Period Previous Year, Volume","Change in Working Gas From Same Period Previous Year, Percent","Natural Gas Storage Activity, Withdrawals","Natural Gas Storage Activity, Injections","Natural Gas Storage Activity, Net"
,(Billion Cubic Feet),(Billion Cubic Feet),(Billion Cubic Feet),(Billion Cubic Feet),(Percent),(Billion Cubic Feet),(Billion Cubic Feet),(Billion Cubic Feet)
1973-01-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-02-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-03-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-04-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-05-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-06-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-07-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-08-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-09-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-10-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-11-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-12-01 00:00:00,2864,2034,4898,305,17.6,Not Available,Not Available,Not Available
1974-01-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-02-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-03-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-04-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-05-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-06-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-07-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-08-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-09-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-10-01 00:00:00,3042,2403,5445,Not Available,Not Available,Not Available,Not Available,Not Available
1974-11-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-12-01 00:00:00,2912,2050,4962,16,0.8,Not Available,Not Available,Not Available
1975-01-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-02-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-03-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-04-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-05-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-06-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-07-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-08-01 00:00:00,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
27638,3085,2468,5553,Not Available,Not Available,31,220,-189
27668,3107,2599,5706,196,8.2,51,190,-139
27699,3150,2541,5691,Not Available,Not Available,146,98,48
27729,3162,2212,5374,162,7.9,371,38,333
27760,3169,1648,4817,Not Available,Not Available,487,15,472
27791,3173,1444,4617,Not Available,Not Available,245,59,186
27820,3170,1326,4496,Not Available,Not Available,185,71,114
27851,3184,1423,4607,Not Available,Not Available,69,166,-97
27881,3190,1637,4827,Not Available,Not Available,22,220,-198
27912,3208,1908,5116,Not Available,Not Available,25,273,-248
27942,3220,2192,5412,Not Available,Not Available,6,271,-265
27973,3251,2447,5698,Not Available,Not Available,16,268,-252
28004,3296,2650,5946,182,7.4,20,233,-213
28034,3302,2664,5966,65,2.5,107,121,-14
28065,3305,2408,5713,-133,-5.2,270,36,234
28095,3323,1926,5250,-286,-12.9,468,21,447
28126,3293,1287,4580,-361,-21.9,664,17,647
28157,3283,1163,4446,-281,-19.5,233,97,136
28185,3286,1215,4501,-111,-8.4,131,181,-50
28216,3286,1427,4713,4,0.3,43,247,-204
28246,3293,1731,5024,94,5.7,17,318,-301
28277,3300,2030,5330,122,6.4,12,306,-294
28307,3317,2348,5665,156,7.1,15,336,-321
28338,3346,2599,5945,152,6.2,21,280,-259
28369,3364,2824,6188,174,6.6,2,253,-251
28399,3373,2929,6302,265,9.9,44,152,-108
28430,3403,2821,6224,413,17.2,158,81,77
28460,3391,2475,5866,549,28.5,412,40,372
28491,3374,1819,5193,532,41.3,662,21,641
28522,3373,1310,4683,147,12.6,526,21,505
28550,3374,1123,4497,-92,-7.6,276,90,186
28581,3377,1231,4608,-196,-13.7,67,175,-108
28611,3379,1491,4870,-240,-13.9,30,285,-255
28642,3381,1836,5217,-194,-9.6,18,357,-339
28672,3386,2164,5550,-184,-7.8,16,341,-325
28703,3403,2501,5904,-98,-3.8,12,351,-339
28734,3411,2813,6224,-11,-0.4,9,322,-313
28764,3444,2958,6402,29,1,28,204,-176
28795,3425,2927,6352,106,3.8,134,80,54
28825,3473,2547,6020,72,2.9,381,32,349
28856,3458,1890,5348,71,3.9,675,20,655
28887,3457,1349,4806,39,3,568,22,546
28915,3459,1236,4695,113,10.1,206,90,116
28946,3427,1335,4762,104,8.4,73,175,-102
28976,3438,1619,5057,128,8.6,13,297,-284
29007,3449,1950,5399,114,6.2,8,337,-329
29037,3459,2284,5743,120,5.5,19,348,-329
29068,3467,2628,6095,127,5.1,12,348,-336
29099,3481,2920,6401,107,3.8,14,314,-300
29129,3484,3079,6563,121,4.1,34,189,-155
29160,3496,3045,6541,118,4,132,104,28
29190,3553,2753,6306,207,8.1,293,51,242
29221,3549,2324,5873,434,23,424,21,403
29252,3550,1852,5402,503,37.3,451,24,427
29281,3556,1594,5150,358,29,283,59,224
29312,3584,1691,5275,356,26.7,65,167,-102
29342,3590,1998,5588,379,23.4,9,298,-289
29373,3596,2299,5895,349,17.9,14,293,-279
29403,3600,2587,6187,303,13.3,19,286,-267
29434,3608,2854,6462,226,8.6,29,273,-244
29465,3613,3099,6712,179,6.1,11,240,-229
29495,3619,3187,6806,108,3.5,47,138,-91
29526,3637,3026,6663,-19,-0.6,188,65,123
29556,3642,2655,6297,-99,-3.6,371,34,337
29587,3642,2152,5794,-172,-7.4,558,37,521
29618,3648,1824,5472,-28,-1.5,376,59,317
29646,3654,1631,5285,37,2.3,234,55,179
29677,3670,1764,5434,73,4.3,55,208,-153
29707,3684,1977,5661,-21,-1.1,26,255,-229
29738,3681,2252,5933,-47,-2,27,314,-287
29768,3699,2558,6257,-29,-1.1,26,335,-309
29799,3713,2882,6595,28,1,15,361,-346
29830,3720,3152,6872,53,1.7,9,287,-278
29860,3726,3248,6974,61,1.9,50,155,-105
29891,3731,3201,6932,175,5.8,124,80,44
29921,3752,2817,6569,162,6.1,387,34,353
29952,3751,2182,5933,30,1.4,673,24,649
29983,3750,1787,5537,-37,-2,446,50,396
30011,3766,1604,5370,-27,-1.7,265,88,177
30042,3778,1676,5454,-88,-5,108,180,-72
30072,3780,2034,5814,57,2.9,11,382,-371
30103,3778,2369,6147,117,5.2,11,353,-342
30133,3780,2704,6484,146,5.7,12,351,-339
30164,3781,2998,6779,116,4,35,332,-297
30195,3782,3251,7033,99,3.1,20,277,-257
30225,3785,3364,7149,116,3.6,60,191,-131
30256,3772,3309,7081,108,3.4,163,83,80
30286,3808,3071,6879,255,9,289,86,203
30317,3813,2644,6457,-484.988,21.2,449,24,425
30348,3811,2356,6167,569,31.8,325,36,289
30376,3812,2148,5960,544,33.9,266,59,207
30407,3818,2074,5892,398,23.7,160,82,78
30437,3818,2222,6040,188,9.2,40,191,-151
30468,3819,2454,6273,85,3.6,22,255,-233
30498,3826,2696,6522,-8,-0.3,25,268,-243
30529,3823,2908,6731,-90,-3,35,247,-212
