Japanese Supplier Manufacturing and Logistics Update Post 3/11 Earthquake & Tsunami,,,
Manufacture,Summary,As Of,Supplier Internet location for updates
Other  ,ECIA has a site that shows updates from many suppliers not related to TTI Suppliers along with a Statement Regarding Radiation,2011-04-28 00:00:00,http://www.eciaonline.org/japan.html 
Other      ,  Isuppli Webcasts and Current Updates regarding Japan's Recovery,2011-04-21 00:00:00,http://www.isuppli.com/Pages/Market-Research-Search-News.aspx
Other,Border Patrol/Customs Radiation Monitoring,2011-03-25 00:00:00,http://www.cbp.gov/xp/cgov/newsroom/news_releases/national/03172011_6.xml
AVX/Kyocera   ,"Regarding the Effects of the Japan Earthquake on KYOCERA Group Operations
The Kyocera Group offers our heartfelt condolences to the people in Japan affected by the March 11 earthquake and tsunami, and we offer our sincere wishes for their recovery.
Effects of the earthquake on Kyocera Group operations are listed below (as of 12:00pm April 4, 2011 Japan time).
1. Employee safety
The safety and whereabouts of all employees of the Kyocera Group have been confirmed.
2. Effects on production facilities
(Northeastern region of Japan)
KYOCERA Corporation, Fukushima Tanagura Plant (Higashi-shirakawa, Fukushima Pref.)
Production items: PHS handsets and base stations
Damage: Partial damage to the building and equipment
Production status: Production resumed from March 15
KYOCERA Chemical Corporation, Koriyama Plant (Koriyama City, Fukushima Pref.)
Production items: Organic materials
Damage: Partial damage to the building and equipment
Production status: Production resumed from March 22
KYOCERA KINSEKI Yamagata Corporation (Higashine City, Yamagata Pref.)
Production items: Quartz crystal components
Damage: Partial damage to the building and equipment
Production status: Production resumed from March 22
(Eastern region of Japan)
KYOCERA Chemical Corporation, Kawaguchi Plant (Kawaguchi City, Saitama Pref.)
Production items: Organic materials
Damage: Partial damage to the building and equipment
Production status: Production resumed from March 15",2011-05-13 00:00:00,http://global.kyocera.com/information/20110407.html
Bourns    ,"On March 23, 2011, Bourns, Inc. (""Bourns"") provided its customers with an update regarding the impact on Bourns’ business resulting from the aftermath of the March 11, 2011 earthquake in Japan. In that update Bourns noted that slight delays might occur due to cargo screening for radiation. Bourns is aware of continued customer concerns regarding the threat of radiation contamination to Bourns® products and/or raw materials exported from or manufactured in Japan. 

Bourns does not own manufacturing facilities in the affected areas of Japan; however, Bourns utilizes certain sub-suppliers which have been directly or indirectly impacted by the earthquake. The majority of Bourns® products and raw materials are being screened by Bourns’ carriers before leaving Japan. At this time, Bourns is pleased to report that we are not aware of any Bourns® products or raw materials showing any radiation contamination. 

Bourns will continue to closely monitor the situation at the Fukushima nuclear facility and we will update this advisory in the event there is any material change to the Bourns’ supply chain. ",2011-04-06 00:00:00,http://www.bourns.com/PressReleases.aspx?name=110331_japanese_earthquake_crisis_update
Cooper Bussman,Please be advised this communication is to confirm there is no current impact to Cooper Bussmann global routing of freight or shipments via any mode related to the current crisis in Japan. All freight is moving through normal transit channels without delay.,2011-03-16 00:00:00,Not applicable at this time
Cornell Dubilier (CDE)   *    ,"While CDE manufactures some products in Japan and the Pacific Rim, we have been advised that all of our factories are back to normal production.  We are uncertain about what effect this disaster will have on our raw material orders and our shipping ports but at this time we believe our business will not be impacted",2011-06-05 00:00:00,www.cde.com
Delphi,"Official letter states there are anticipated delays, but no major issues related to Japan issue.",2011-03-21 00:00:00,Not applicable at this time
EPCOS    *,"Whereas EPCOS operates no plants of its own in Japan, several of its suppliers have production facilities there. The degree to which these facilities are now affected varies from case to case. To the best of our knowledge right now, it is nevertheless reasonable to assume that EPCOS' components production will not be affected to any significant extent.

This situation may change depending on developments in Japan – due to restricted power supply, for example.

EPCOS remains in constant contact with its suppliers and is doing everything in its power to organize alternative supply channels if required.

Whereas EPCOS operates no plants of its own in Japan, several of its suppliers have production facilities there. The degree to which these facilities are now affected varies from case to case. To the best of our knowledge right now, it is nevertheless reasonable to assume that EPCOS' components production will not be affected to any significant extent.This situation may change depending on developments in Japan – due to restricted power supply, for example.",6/5/20111,"http://www.epcos.com/web/generator/Web/Sections/Home/JP/Statement,locale=en.html"
FCI," FCI Japan KK Headquarters - Tokyo, Japan: This  sales, engineering and business office is fully staffed and focused on FCI's earthquake recovery.  FCI Japan KK Ishioka Site (100km NE of Tokyo): This manufacturing location, dedicated to FCI's Electronics Dicvision, sustained large tremors with limiited structural damage. Power was restored today and machines are being evaluated for production and restart as soon as possible. The Ishioka Site is 1 of 9 FCI Electronics manufacturing sites worldwide. Production from Ishioka site and local suppliers is mainly focused on the following production- FFC/FPC, Mobile Phone Connectors, BTFM/BTFW/BTEM and PHEC/PHEN.   Suppliers/Subcontractors (all FCI divisions), various Japan locations: This concerns primarily our Electronics Division, FCI has made contact with each strategic supplier and subcontractor. Most were not impacted by the earthquake. However, there are some reports of structural damage, tsunami flooding and evacuations due in particular to the Fukushima nuclear plant. FCI is evaluating supply chain disruptions and possible options.",2011-03-18 00:00:00,Not applicable at this time
