,,,,,,,,,,,,,,,,,,,,,
HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed 
HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed 
for ,for ,for ,for ,for ,for ,for ,for ,for ,for ,for ,for ,for ,for ,for ,for ,for ,for ,for ,for ,for ,for 
,,,,,,,,,,,,,,,,,,,,,
Insurance by Fiscal Year,Insurance by Fiscal Year,Insurance by Fiscal Year,Insurance by Fiscal Year,Insurance by Fiscal Year,Insurance by Fiscal Year,Insurance by Fiscal Year,Insurance by Fiscal Year,Insurance by Fiscal Year,Insurance by Fiscal Year,Insurance by Fiscal Year,Insurance by Fiscal Year,Insurance by Fiscal Year,Insurance by Fiscal Year,Insurance by Fiscal Year,Insurance by Fiscal Year,Insurance by Fiscal Year,Insurance by Fiscal Year,Insurance by Fiscal Year,Insurance by Fiscal Year,Insurance by Fiscal Year,Insurance by Fiscal Year
,,,,,,,,,,,,,,,,,,,,,
Also,Also,Also,Also,Also,Also,Also,Also,Also,Also,Also,Also,Also,Also,Also,Also,Also,Also,Also,Also,Also,Also
,,,,,,,,,,,,,,,,,,,,,
Selected Loan and Borrower Characteristics,Selected Loan and Borrower Characteristics,Selected Loan and Borrower Characteristics,Selected Loan and Borrower Characteristics,Selected Loan and Borrower Characteristics,Selected Loan and Borrower Characteristics,Selected Loan and Borrower Characteristics,Selected Loan and Borrower Characteristics,Selected Loan and Borrower Characteristics,Selected Loan and Borrower Characteristics,Selected Loan and Borrower Characteristics,Selected Loan and Borrower Characteristics,Selected Loan and Borrower Characteristics,Selected Loan and Borrower Characteristics,Selected Loan and Borrower Characteristics,Selected Loan and Borrower Characteristics,Selected Loan and Borrower Characteristics,Selected Loan and Borrower Characteristics,Selected Loan and Borrower Characteristics,Selected Loan and Borrower Characteristics,Selected Loan and Borrower Characteristics,Selected Loan and Borrower Characteristics
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"June 30, 2012  ","June 30, 2012  ","June 30, 2012  ","June 30, 2012  ","June 30, 2012  ","June 30, 2012  ","June 30, 2012  ","June 30, 2012  ","June 30, 2012  ","June 30, 2012  ","June 30, 2012  ","June 30, 2012  ","June 30, 2012  ","June 30, 2012  ","June 30, 2012  ","June 30, 2012  ","June 30, 2012  ","June 30, 2012  ","June 30, 2012  ","June 30, 2012  ","June 30, 2012  ","June 30, 2012  "
