TLYS - Tilly's Inc,,,,,,,,,,,,,,,,,,,,,
,Annual Data,,,,,,Quarterly Data,,,,,,,,,,,,,,
Fiscal Period,Jan10,Jan11,Jan12,Jan13,TTM/current,	,Jan10,Apr10,Jul10,Jan11,Apr11,Jul11,Oct11,Jan12,Apr12,Jul12,Oct12,Jan13,Apr13,Jul13,Oct13
Revenue per Share ($),0,16.63,97.86,17.92,17.67,		,0,0,0,0,4.16,4.36,5.23,30.03,4.71,3.85,4.45,5.01,3.89,4.38,4.39
EBITDA per Share ($),0,1.96,12.23,1.84,1.96,		,0,0,0,0,0.43,0.37,0.78,4.38,0.48,0.03,0.65,0.68,0.31,0.43,0.54
EBIT per Share ($),0,1.25,8.53,1.2,1.29,		,0,0,0,0,0.25,0.18,0.6,3.43,0.29,-0.12,0.49,0.53,0.14,0.26,0.36
Earnings per Share (diluted) ($),0,1.21,0.85,0.92,0.7999999999999999,		,0,0,0,0,0.24,0.17,0.59,-0.15,0.29,-0.04,0.33,0.35,0.08,0.15,0.22
Free Cashflow per Share ($),0,1.3,7.9,0.32,-0.039999999999999966,		,0,0,0,0,0.07,0.26,0.53,3.61,-0.18,0.1,0.06,0.27,-0.3,0.07,-0.08
Dividends Per Share,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Book Value Per Share ($),0,3.1,14.76,4.5,4.85,		,0,0,0,0,3.26,3.28,0,2.19,2.39,3.48,3.85,4.24,4.35,4.54,4.85
Month End Stock Price,0,0,0,14.82,11.98,		,0,0,0,0,0,0,0,0,0,16.61,16.14,14.82,14.44,14.68,14.56
Return on Equity %,34.8,39.300000000000004,56.8,20.4,18.4,		,0,0,0,0,30,21.2,0,91.60000000000001,36,-4.8,34.8,33.6,7.6,13.600000000000001,18.4
Return on Assets %,18.099999999999998,18.6,24.4,11.600000000000001,10.4,		,0,0,0,0,14.399999999999999,9.2,0,39.2,16.400000000000002,-2.4,18.8,19.2,4.3999999999999995,7.199999999999999,10.4
Return on Capital  - Joel Greenblatt %,33.800000000000004,39.4,51.9,31.900000000000002,32,		,0,0,0,0,29.2,22,0,83.6,30.4,-16,59.199999999999996,60.4,14.000000000000002,24.8,32
Debt to Equity,0.098,0.085,0.077,0.034,0.026,		,0,0,0,0,0.079,0.076,0,0.077,0.068,0.045,0.039,0.034,0.031,0.029,0.026
Gross Margin %,30.9,30.9,32.2,32.1,30.9,		,0,28.9,26.8,0,31.5,29.5,33.4,33.6,31.5,29.599999999999998,33.5,33.300000000000004,29.5,31,30.9
Operating Margin %,7.6,7.5,8.7,6.7,8.200000000000001,		,0,2.7,0.8999999999999999,0,6,4.1000000000000005,11.5,11.4,6.2,-3.2,11.1,10.5,3.5999999999999996,5.8999999999999995,8.200000000000001
Net Margin %,7.3999999999999995,7.3,8.6,5.1,5,		,0,2.6,0.8999999999999999,0,5.800000000000001,4,11.3,11.3,6.1,-1.0999999999999999,7.3999999999999995,7.000000000000001,2.1,3.5000000000000004,5
Total Equity to Total Asset,0.519,0.474,0.429,0.571,0.581,		,0,0,0,0,0.487,0.438,0,0.429,0.455,0.488,0.542,0.571,0.575,0.534,0.581
