Monthly Statistical Bulletin,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
8.1 Economic growth,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,S
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,Quarters (a) (b),,,,,,,,
,Annual average (c) (d),,,,,2012,,,,,,,,
Country,2009,2010.0,2011.0,2012.0,,Jun,Sep,Dec,Mar,,,,,
,,,,,,,,,,,,,,
Australia,1.5016726079710025,2.574455494752044,2.4488398053895253,3.598854735867917,,3.6844114549838167,3.1373128281310585,3.1459286279505108,,,,,,
Canada,-2.800119688244223,3.1662902013490424,2.5659875804695105,1.8366052721180637,,2.740040614458053,1.4839154990787762,1.1006156509198348,,,,,,
China,9.219858156028366,10.454545454545467,9.288653733098172,,,7.6000000000000005,7.4,7.9,7.7,,,,,
France,-3.147043123953793,1.7246716882911954,2.026802407118609,0.013964291312220212,,0.12847342170401532,0.035340724484854036,-0.2905123339658502,-0.44312109066618177,,,,,
Germany,-5.131542363190121,4.160362055098915,3.026490202420362,0.673786213967503,,1.0088562327612607,0.8602306323600715,0.30831871086508045,-0.2515216564562053,,,,,
Indonesia,4.625735912531553,6.270096463022526,6.5052950075643,6.178977272727266,,6.355308722639677,6.155420528434604,6.114134115383749,6.015731717523948,,,,,
Italy,-5.49448730742084,1.7233297999354988,0.37348121353039687,-2.36885489036014,,-2.463933120378499,-2.580716630747844,-2.8422782425866444,-2.34207800643172,,,,,
Japan,-5.526951167691081,4.652115468144984,-0.5846043691898473,2.0011634210911495,,4.010963763474692,0.3706045768588524,0.4407360908242737,0.01292333568653703,,,,,
Korea (South),0.31948062513154696,6.320256039826845,3.6820964753381276,2.0440914132008743,,2.337451516969466,1.5456565301402918,1.449301778580491,1.4991777789656027,,,,,
Malaysia,-1.5293118096856375,7.161345987920626,5.072463768115938,5.59386973180078,,5.611847233047527,5.263157894736835,6.425406203840467,,,,,,
New Zealand,0.3110157367668194,0.8916474370127787,1.3110440762237516,2.9718590094795587,,2.899482308710688,2.42973813737035,3.3404812259633303,,, ,,,
Philippines,1.1120615911035117,7.6142131979695336,3.9308176100629026,6.580937972768524,,6.0312732688012005,7.154088050314471,6.807017543859658,,,,,,
Singapore,-0.8298755186721962,14.811715481171575,5.174927113702623,1.3167013167013124,,2.1815461386539994,0.13317040786908763,1.5282538745073282,0.07701827030017228,,,,,
Thailand,-2.2907488986784017,7.844905320108197,0.08361204013378654,6.516290726817033,,4.4537815126050475,3.0756442227763756,19.148936170212764,5.267295597484292,,,,,
United Kingdom,-3.9744193643967947,1.7993658605090843,0.9922978875538178,0.27271625388874554,,0.03703257226896994,0.3636694767818085,0.1982912020516352,0.5685850971156867,,,,,
United States,-3.0692491977542886,2.390830072375934,1.8075892464577379,2.211444002031186,,2.13952647405884,2.597177150456801,1.6695044266237886,1.8043193007771947,,,,,
OECD average ,-3.6118135991217315,2.986606911736132,1.90228319510733,1.3743894084708614,,1.6534329752452237,1.2433886981534812,0.8040665434380685,,,,,,
G7 average,-3.869041640480546,2.788485841142972,1.4846409939427474,1.3972926024956394,,1.7032173266605923,1.3519517673843637,0.7833676857515854,0.7995045164793453,,,,,
EU (15) average (e),-0.9743135518157686,2.0572450805008913,1.402278702892204,2.5064822817631836,,-0.8412368198321474,-0.6371251765923063,-0.6679765778505384,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
(a) Percentage change in gross domestic product at constant prices over ,,,,,,,,,,,,,,
corresponding  quarter in previous year.,,,,,,,,,,,,,,
"(b) Seasonally adjusted, except for China.",,,,,,,,,,,,,,
(c) Percentage change in gross domestic product at constant prices over previous year.,,,,,,,,,,,,,,
(d) Years shown are calendar years.,,,,,,,,,,,,,,
"(e) Austria, Belgium, Denmark, Finland, France, Germany, Greece, Ireland, Italy, Luxembourg, Netherlands, Portugal, Spain, Sweden and United Kingdom",,,,,,,,,,,,,,
Sources: Datastream,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,Update,,
,,,,,,,,,,,,Late June 2013,,
