Table S1. Data sources.,,,,
,,,,
Country,ISO Code,Data source name,Acronym of census or survey,Data type from census or survey
Afghanistan,4,1972/1974 National Demographic and Family Guidance Survey,NDFG72,Indirect
Afghanistan,4,1979 Census,Census79,Direct
Albania,8,2000 Multiple Indicator Cluster Survey,MICS2000,Indirect
Albania,8,2006 Multiple Indicator Cluster Survey,MICS2006,Indirect
Albania,8,"Vital registration 1980, 1984-2007",,
Albania,8,2008/2009 Demographic and Health Survey,2008/2009 DHS,Direct & indirect
Algeria,12,1986 Enquête nationale sur la fécondité,ENF86,Direct
Algeria,12,1992 Enquête sur la santé de la mère et de l'enfant,MCH92,Direct
Algeria,12,1995 Enquête nationale sur les objectifs,MDG95,Direct
Algeria,12,1998 Enquête etat civil,EEC1998,Direct
Algeria,12,2002 Enquête sur la santé de la famille,PAPFAM02,Direct
Algeria,12,2006 Multiple Indicator Cluster Survey,MICS2006,Indirect
Algeria,12,"Vital registration 1970, 1979-1983, 1980-1986, 1998, 2000-2002",,
Angola,24,2001 Multiple Indicator Cluster Survey,MICS2001,Indirect
Argentina,32,"Vital registration 1966-1970, 1977-2009",,
Armenia,51,2000 Demographic and Health Survey,DHS2000,Direct & indirect
Armenia,51,2005 Demographic and Health Survey,DHS2005,Direct & indirect
Armenia,51,Vital registration 1981-2009,,
Australia,36,Vital registration 1950-2009,,
Austria,40,Vital registration 1955-2009,,
Azerbaijan,31,2000 Multiple Indicator Cluster Survey,MICS2000,Indirect
Azerbaijan,31,2001 Reproductive Health Survey,RHS 2001,Direct
Azerbaijan,31,2006 Demographic and Health Survey,DHS2006,Direct & indirect
Azerbaijan,31,Vital registration 1981-2009,,
Bahrain,48,1989 Child Health Survey,BCHS89,Direct
Bahrain,48,1995 Family Health Survey,BFHS95,Direct
Bahrain,48,Vital registration 1980-2003,,
Bangladesh,50,1974 Retrospective Survey of Fertility and Mortality,RSFM74,Indirect
Bangladesh,50,1975/1976 World Fertility Survey,WFS75/76,Direct
Bangladesh,50,1988/1989 Fertility Survey,BFS89,Direct
Bangladesh,50,1993/1994 Demographic and Health Survey,DHS1993/1994,Direct & indirect
Bangladesh,50,1996/1997 Demographic and Health Survey,DHS1996/1997,Direct & indirect
Bangladesh,50,1999/2000 Demographic and Health Survey,DHS1999/2000,Direct & indirect
Bangladesh,50,2001 Maternal Health Services and Maternal Mortality Survey,2001MMS,Direct
Bangladesh,50,2004 Demographic and Health Survey,DHS2004,Direct & indirect
Bangladesh,50,2007 Demographic and Health Survey,DHS2007,Direct & indirect
Bangladesh,50,"Sample registration system 1980-1987, 1991, 1995, 1997-2004",,
Belarus,112,Vital registration 1959-2009,,
Belgium,56,Vital registration 1954-2009,,
Benin,204,1981-1983 Enquête à passages répétés,Survey 81-83,Direct
Benin,204,1982 Enquête sur la fécondité,WFS82,Direct
Benin,204,1992 Census,Census92,Indirect
Benin,204,1996 Enquête démographique et de santé,DHS1996,Direct & indirect
Benin,204,2001 Enquête démographique et de santé,DHS2001,Direct & indirect
Benin,204,2006 Enquête démographique et de santé,DHS2006,Direct & indirect
Bolivia (Plurinational State of),68,1975 Encuesta Demográfica Nacional,EDN75,Indirect
Bolivia (Plurinational State of),68,1980 Encuesta Demográfica Nacional,EDN80,Indirect
Bolivia (Plurinational State of),68,1989 Encuesta Nacional de Demografía y Salud,DHS1989,Direct & indirect
Bolivia (Plurinational State of),68,1994 Encuesta Nacional de Demografía y Salud,DHS1994,Direct & indirect
Bolivia (Plurinational State of),68,1998 Encuesta Nacional de Demografía y Salud,DHS1998,Direct & indirect
Bolivia (Plurinational State of),68,2000 Encuesta de Múltiples Indicadores por Conglomerados,MICS2000,Indirect
Bolivia (Plurinational State of),68,2003 Encuesta Nacional de Demografía y Salud,DHS2003,Direct & indirect
Bolivia (Plurinational State of),68,2008 Encuesta Nacional de Demografía y Salud,DHS2008,Direct & indirect
Bosnia and Herzegovina,70,"Vital registration 1985-1991, 1999-2009",,
Botswana,72,1981 Census,CEN81,Direct
Botswana,72,1988 Demographic and Health Survey,DHS88,Direct & indirect
Botswana,72,2000 Multiple Indicator Cluster Survey,MICS2000,Indirect
Brazil,76,1986 Pesquisa Nacional sobre Saúde Materno-Infantil e Planejamento Familiar,DHS1986,Direct
Brazil,76,1996 Pesquisa Nacional sobre Demografia e Saúde,DHS1996,Direct & indirect
Brazil,76,Vital registration 1974-2008,,
Bulgaria,100,Vital registration 1964-2009,,
Burkina Faso,854,1992/1993 Enquête démographique et de santé,DHS1992/1993,Direct & indirect
Burkina Faso,854,1998/1999 Enquête démographique et de santé,DHS1998/1999,Direct & indirect
Burkina Faso,854,2003 Enquête démographique et de santé,DHS2003,Direct & indirect
Burkina Faso,854,2006 Multiple Indicator Cluster Survey,MICS2006,Indirect
Burkina Faso,854,2006 Census,Census2006,Direct
Burundi,108,1970-1971 Enquête démographique nationale,EDB70-71,Direct
Burundi,108,1987 Enquête démographique et de santé,DHS1987,Direct & indirect
Burundi,108,2005 Multiple Indicator Cluster Survey,MICS2005,Indirect
Cambodia,116,2000 Demographic and Health Survey,DHS2000,Direct & indirect
Cambodia,116,2004 Inter-censal Population Survey,CIPS2004,Indirect
