Information Technology,,,,,
Foundation,,,,,
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC01.01,Academic Foundations,Language Arts Courses,Demonstrate language arts knowledge and skills required to pursue the full-range of career and post-secondary education opportunities within the IT career cluster.,Listen actively.,
,,,,"Adapt language (diction/structure, style) for audience, purpose, situation.",
,,,,Collect/organize oral and written information.,
,,,,"Compose/edit (agenda, audio-visuals, bibliographies, drafts, forms/documents, notes, oral presentations, reports, technical terminology).",
,,,,"Comprehend oral and written information (cause/effect, comparisons/contrasts,  conclusions, context, purpose,  charts/tables/graphs, evaluation/critiques, mood, persuasive text, sequence, summaries, technical matter).",
,,,,"Evaluate oral and written information (accuracy, adequacy/sufficiency, appropriateness, clarity, conclusions/solutions, fact/opinion, propaganda, relevancy, validity, relationship of ideas).",
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
,,,(CONTINUED),"Identify oral and written assumptions, purpose, outcomes/solutions, and propaganda techniques.",
,,,,Predict outcomes/solutions from oral and written information trends.,
,,,,"Present formal and  informal speech for the purposes of discussion, supplying/requesting information, interpretation, and persuasion.",
,,,,"Use library, text and Internet resources.",
,,,,,
ITC01.02,Academic Foundations,Mathematics Courses,Demonstrate mathematics knowledge and skills required to pursue the full range of career and post-secondary education opportunities within the IT career cluster.,"Identify whole numbers, decimals, fractions, complex numbers, polynomials, and geometrical figures.",
,,,Demonstrate mathematics knowledge and skills required to pursue the full range of career and post-secondary education opportunities within the IT career cluster.,"Apply basic arithmetic (addition, subtraction, multiplication, and division) operations.",
,,,Demonstrate mathematics knowledge and skills required to pursue the full range of career and post-secondary education opportunities within the IT career cluster.,"Apply relational (equal, not equal, greater than, less than, etc.) and logical operators in a logical expression.",
,,,,Understand the relationship of data and measurements to the problem.,
,,,,"Produce mathematical formulae, expressions, and/or sequence of solution steps from problem statements.",
,,,,"Analyze problem statements for missing/irrelevant data, estimate/exact values, inconsistent parameters.",
,,,,Construct charts/tables/graphs from functions and data.,
,,,,"Describe problem-solving techniques (e.g., successive approximation, trial and error).",
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC01.03,Academic Foundations,Science Courses,Demonstrate science knowledge and skills required to pursue the full range of career and post-secondary education opportunities within the IT career cluster.,"Analyze/evaluate conclusions, conflicting data, controls, data, inferences, limitations, questions, sources of errors, and variables.",
,,,,"Use computers for information processing, mathematical applications and problem-solving.",
,,,,"Apply/use scientific methods in qualitative and quantitative analysis, data gathering, direct and indirect observation, predictions, and problem identification.",
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC02.01,Communications,Language Arts Courses,"Comprehend and use reading strategies to learn meaning, technical concepts, vocabulary, and follow instructions.","Determine and use reading strategy (skimming, reading for detail, reading for meaning and critical analysis) to determine purpose of text.",Use reading strategy to achieve intended purpose.
,,,,"Determine and use reading strategy (skimming, reading for detail, reading for meaning and critical analysis) to determine purpose of text.",Identify purpose of text.
,,,,"Determine and use reading strategy (skimming, reading for detail, reading for meaning and critical analysis) to determine purpose of text.",Identify complexity of text.
,,,,"Determine and use reading strategy (skimming, reading for detail, reading for meaning and critical analysis) to determine purpose of text.",Explain purpose of text.
,,,,"Analyze information and read to learn meaning, technical concepts, vocabulary, and follow directions.","Determine relevance, accuracy and appropriateness to purpose."
,,,,"Analyze information and read to learn meaning, technical concepts, vocabulary, and follow directions.",Identify complexities and discrepancies in information.
,,,,"Analyze information and read to learn meaning, technical concepts, vocabulary, and follow directions.","Analyze information presented in a variety of formats, such as tables, lists, figures."
,,,,"Analyze information and read to learn meaning, technical concepts, vocabulary, and follow directions.",Identify key technical concepts and vocabulary.
,,,,"Analyze information and read to learn meaning, technical concepts, vocabulary, and follow directions.",Follow all instructions as specifically given.
,,,,"Interpret, transcribe and communicate information, data, and observations to apply information learned from reading to actual practice.","Explain meaning of new terms, vocabulary and concepts."
,,,,"Interpret, transcribe and communicate information, data, and observations to apply information learned from reading to actual practice.",Interpret technical materials used.
,,,,"Interpret, transcribe and communicate information, data, and observations to apply information learned from reading to actual practice.",Summarize overall meaning of text.
,,,,"Interpret, transcribe and communicate information, data, and observations to apply information learned from reading to actual practice.",Write specific steps for applying information to task or new situation.
,,,,"Interpret, transcribe and communicate information, data, and observations to apply information learned from reading to actual practice.",Write set of directions for others sharing information learned and applying that to task or new situation.
Code,Topic,Course,Knowledge and Skill,Performance Element,Measurement Criteria
ITC02.02,Communications,Language Arts Courses,"Locate, organize and reference written information from various sources to communicate with co-workers and clients/participants.",Locate written information to communicate with co-workers and clients/participants.,Identify topic.
,,,,Locate written information to communicate with co-workers and clients/participants.,"Conduct search of information using card catalog, keywords, and/or search engines."
,,,,Locate written information to communicate with co-workers and clients/participants.,"Locate variety of resources such as books, journals, and magazines."
,,,,Locate written information to communicate with co-workers and clients/participants.,Locate information from electronic forms including the Internet.
,,,,Locate written information to communicate with co-workers and clients/participants.,Organize resources to use key information.
