People QuickFacts,Snyder County,Pennsylvania
"Population, 2012 estimate    ","39,672","12,763,536"
"Population, 2010 (April 1) estimates base    ","39,702","12,702,379"
"Population, percent change, April 1, 2010 to July 1, 2012    ",-0.1%,0.5%
"Population, 2010    ","39,702","12,702,379"
"Persons under 5 years, percent, 2011     ",5.7%,5.7%
"Persons under 18 years, percent, 2011     ",22.0%,21.7%
"Persons 65 years and over, percent, 2011     ",15.5%,15.6%
"Female persons, percent, 2011     ",50.8%,51.2%
,,
"White persons, percent, 2011 (a)     ",97.3%,83.8%
"Black persons, percent, 2011 (a)     ",1.3%,11.3%
"American Indian and Alaska Native persons, percent, 2011 (a)     ",0.1%,0.3%
"Asian persons, percent, 2011 (a)    ",0.6%,2.9%
"Native Hawaiian and Other Pacific Islander persons, percent, 2011 (a)     ",Z,0.1%
"Persons reporting two or more races, percent, 2011     ",0.8%,1.6%
"Persons of Hispanic or Latino Origin, percent, 2011 (b)     ",1.8%,5.9%
"White persons not Hispanic, percent, 2011     ",95.8%,79.2%
,,
"Living in same house 1 year & over, percent, 2007-2011    ",88.3%,87.7%
"Foreign born persons, percent, 2007-2011    ",1.7%,5.7%
"Language other than English spoken at home, percent age 5+, 2007-2011    ",7.3%,10.0%
"High school graduate or higher, percent of persons age 25+, 2007-2011    ",82.8%,87.9%
"Bachelor's degree or higher, percent of persons age 25+, 2007-2011    ",16.3%,26.7%
"Veterans, 2007-2011    ","2,982","1,007,939"
"Mean travel time to work (minutes), workers age 16+, 2007-2011    ",22.2,25.7
,,
"Housing units, 2011    ","16,090","5,579,275"
"Homeownership rate, 2007-2011    ",75.8%,70.6%
"Housing units in multi-unit structures, percent, 2007-2011    ",9.8%,20.5%
"Median value of owner-occupied housing units, 2007-2011    ","$128,300","$163,200"
"Households, 2007-2011    ","14,320","4,952,566"
"Persons per household, 2007-2011    ",2.6,2.4699999999999998
"Per capita money income in the past 12 months (2011 dollars), 2007-2011    ","$21,891","$27,824"
"Median household income, 2007-2011    ","$46,184","$51,651"
"Persons below poverty level, percent, 2007-2011    ",11.2%,12.6%
,,
Business QuickFacts,Snyder County,Pennsylvania
"Private nonfarm establishments, 2010    ",841,"297,023"
"Private nonfarm employment, 2010    ","13,275","4,976,193"
"Private nonfarm employment, percent change, 2000-2010    ",-2.7,-2.2
"Nonemployer establishments, 2010    ","2,689","762,405"
,,
"Total number of firms, 2007    ","3,706","981,501"
"Black-owned firms, percent, 2007    ",F,4.6%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",F,0.3%
"Asian-owned firms, percent, 2007    ",1.0%,3.2%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,0.0%
"Hispanic-owned firms, percent, 2007    ",F,2.3%
"Women-owned firms, percent, 2007    ",19.8%,27.0%
,,
"Manufacturers shipments, 2007 ($1000)    ",D,"234,840,418"
"Merchant wholesaler sales, 2007 ($1000)    ","191,154","142,859,202"
"Retail sales, 2007 ($1000)    ","566,335","166,842,778"
"Retail sales per capita, 2007    ","$14,756","$13,323"
"Accommodation and food services sales, 2007 ($1000)    ","53,993","19,625,449"
"Building permits, 2011     ",61,"14,967"
,,
Geography QuickFacts,Snyder County,Pennsylvania
"Land area in square miles, 2010    ",328.71,"44,742.70"
"Persons per square mile, 2010    ",120.8,283.9
FIPS Code    ,109,42
Metropolitan or Micropolitan Statistical Area    ,"Selinsgrove, PA Micro Area", 
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
