 Season Schedule,,,,,,,
Date,Game Number,Visiting Team,Visiting Score,Home Team,Home Score,Game Time/Status,Venue
2013-04-26,1,Hershey,5,Providence,2,Final ,"Dunkin' Donuts Center Providence, RI"
2013-04-26,1,Texas,3,Milwaukee,2,Final OT ,"BMO Harris Bradley Center Milwaukee, WI"
2013-04-26,1,Charlotte,4,Oklahoma City,3,Final OT ,"Cox Convention Center Oklahoma City, OK"
2013-04-26,1,Grand Rapids,0,Houston,3,Final ,"Toyota Center Houston, TX"
2013-04-27,1,Rochester,3,Toronto,6,Final ,"Ricoh Coliseum Toronto, ON"
2013-04-27,1,Manchester,1,Springfield,2,Final OT ,"MassMutual Center Springfield, MA"
2013-04-27,1,W-B/Scranton,3,Binghamton,2,Final OT ,"Broome County Veterans Memorial Arena Binghamton, NY"
2013-04-27,1,Portland,3,Syracuse,4,Final OT ,"Onondaga County War Memorial Arena Syracuse, NY"
2013-04-27,2,Texas,0,Milwaukee,2,Final ,"BMO Harris Bradley Center Milwaukee, WI"
2013-04-27,2,Charlotte,2,Oklahoma City,5,Final ,"Cox Convention Center Oklahoma City, OK"
2013-04-28,2,Rochester,0,Toronto,2,Final ,"Ricoh Coliseum Toronto, ON"
2013-04-28,2,Hershey,5,Providence,4,Final OT ,"Dunkin' Donuts Center Providence, RI"
2013-04-28,2,Manchester,2,Springfield,3,Final OT ,"MassMutual Center Springfield, MA"
2013-04-28,2,W-B/Scranton,3,Binghamton,2,Final ,"Broome County Veterans Memorial Arena Binghamton, NY"
2013-04-28,2,Grand Rapids,3,Houston,2,Final ,"Toyota Center Houston, TX"
2013-04-28,2,Portland,2,Syracuse,4,Final ,"Onondaga County War Memorial Arena Syracuse, NY"
2013-05-01,3,Toronto,3,Rochester,2,Final OT ,"Blue Cross Arena Rochester, NY"
2013-05-01,3,Houston,2,Grand Rapids,4,Final ,"Van Andel Arena Grand Rapids, MI"
2013-05-01,3,Oklahoma City,1,Charlotte,6,Final ,"Time Warner Cable Arena Charlotte, NC"
2013-05-01,3,Milwaukee,0,Texas,2,Final ,"Cedar Park Center Cedar Park, TX"
2013-05-02,3,Springfield,1,Manchester,2,Final ,"Verizon Wireless Arena Manchester, NH"
2013-05-02,3,Syracuse,4,Portland,3,Final OT ,"Cumberland County Civic Center Portland, ME"
2013-05-02,3,Binghamton,2,W-B/Scranton,3,Final ,"Mohegan Sun Arena at Casey Plaza Wilkes-Barre, PA"
2013-05-03,4,Houston,4,Grand Rapids,1,Final ,"Van Andel Arena Grand Rapids, MI"
2013-05-03,4,Oklahoma City,8,Charlotte,1,Final ,"Time Warner Cable Arena Charlotte, NC"
2013-05-03,4,Milwaukee,1,Texas,2,Final ,"Cedar Park Center Cedar Park, TX"
2013-05-04,3,Providence,5,Hershey,1,Final ,"Giant Center Hershey, PA"
2013-05-04,4,Springfield,4,Manchester,3,Final OT ,"Verizon Wireless Arena Manchester, NH"
2013-05-04,5,Houston,0,Grand Rapids,7,Final ,"Van Andel Arena Grand Rapids, MI"
2013-05-04,5,Oklahoma City,6,Charlotte,2,Final ,"Time Warner Cable Arena Charlotte, NC"
2013-05-05,4,Providence,5,Hershey,4,Final ,"Giant Center Hershey, PA"
2013-05-08,5,Hershey,2,Providence,3,Final ,"Dunkin' Donuts Center Providence, RI"
2013-05-09,1,Oklahoma City,2,Texas,1,Final OT ,"Cedar Park Center Cedar Park, TX"
2013-05-10,1,Grand Rapids,7,Toronto,0,Final ,"Ricoh Coliseum Toronto, ON"
2013-05-10,1,Syracuse,5,Springfield,2,Final ,"MassMutual Center Springfield, MA"
2013-05-10,1,W-B/Scranton,5,Providence,8,Final ,"Dunkin' Donuts Center Providence, RI"
2013-05-11,2,Grand Rapids,2,Toronto,4,Final ,"Ricoh Coliseum Toronto, ON"
2013-05-11,2,Syracuse,5,Springfield,3,Final ,"MassMutual Center Springfield, MA"
2013-05-11,2,W-B/Scranton,2,Providence,4,Final ,"Dunkin' Donuts Center Providence, RI"
2013-05-11,2,Oklahoma City,1,Texas,2,Final ,"Cedar Park Center Cedar Park, TX"
2013-05-13,3,Texas,0,Oklahoma City,4,Final ,"Cox Convention Center Oklahoma City, OK"
2013-05-15,3,Toronto,4,Grand Rapids,5,Final ,"Van Andel Arena Grand Rapids, MI"
2013-05-15,3,Springfield,0,Syracuse,3,Final ,"Onondaga County War Memorial Arena Syracuse, NY"
2013-05-15,3,Providence,2,W-B/Scranton,1,Final OT ,"Mohegan Sun Arena at Casey Plaza Wilkes-Barre, PA"
2013-05-15,4,Texas,3,Oklahoma City,7,Final ,"Cox Convention Center Oklahoma City, OK"
2013-05-16,5,Texas,1,Oklahoma City,5,Final ,"Cox Convention Center Oklahoma City, OK"
2013-05-17,4,Toronto,1,Grand Rapids,4,Final ,"Van Andel Arena Grand Rapids, MI"
2013-05-17,4,Springfield,2,Syracuse,5,Final ,"Onondaga County War Memorial Arena Syracuse, NY"
2013-05-17,4,Providence,1,W-B/Scranton,3,Final ,"Mohegan Sun Arena at Casey Plaza Wilkes-Barre, PA"
2013-05-18,5,Toronto,4,Grand Rapids,1,Final ,"Van Andel Arena Grand Rapids, MI"
2013-05-18,5,Providence,0,W-B/Scranton,4,Final ,"Mohegan Sun Arena at Casey Plaza Wilkes-Barre, PA"
2013-05-20,6,W-B/Scranton,2,Providence,1,Final OT ,"Dunkin' Donuts Center Providence, RI"
2013-05-21,6,Grand Rapids,4,Toronto,3,Final ,"Ricoh Coliseum Toronto, ON"
2013-05-22,7,W-B/Scranton,5,Providence,0,Final ,"Dunkin' Donuts Center Providence, RI"
2013-05-24,1,Oklahoma City,1,Grand Rapids,2,Final ,"Van Andel Arena Grand Rapids, MI"
2013-05-25,2,Oklahoma City,4,Grand Rapids,2,Final ,"Van Andel Arena Grand Rapids, MI"
2013-05-25,1,W-B/Scranton,4,Syracuse,2,Final ,"Onondaga County War Memorial Arena Syracuse, NY"
2013-05-26,2,W-B/Scranton,2,Syracuse,3,Final ,"Onondaga County War Memorial Arena Syracuse, NY"
2013-05-29,3,Syracuse,2,W-B/Scranton,0,Final ,"Mohegan Sun Arena at Casey Plaza Wilkes-Barre, PA"
2013-05-29,3,Grand Rapids,1,Oklahoma City,4,Final ,"Cox Convention Center Oklahoma City, OK"
2013-05-31,4,Syracuse,4,W-B/Scranton,2,Final ,"Mohegan Sun Arena at Casey Plaza Wilkes-Barre, PA"
2013-06-01,5,W-B/Scranton,0,Syracuse,7,Final ,"Onondaga County War Memorial Arena Syracuse, NY"
2013-06-01,4,Grand Rapids,4,Oklahoma City,0,Final ,"Cox Convention Center Oklahoma City, OK"
2013-06-02,5,Grand Rapids,3,Oklahoma City,0,Final ,"Cox Convention Center Oklahoma City, OK"
2013-06-04,6,Oklahoma City,4,Grand Rapids,3,Final ,"Van Andel Arena Grand Rapids, MI"
2013-06-05,7,Oklahoma City,4,Grand Rapids,5,Final ,"Van Andel Arena Grand Rapids, MI"
2013-06-08,1,Grand Rapids,3,Syracuse,1,Final ,"Onondaga County War Memorial Arena Syracuse, NY"
2013-06-09,2,Grand Rapids,6,Syracuse,4,Final ,"Onondaga County War Memorial Arena Syracuse, NY"
2013-06-12,3,Syracuse,2,Grand Rapids,4,Final ,"Van Andel Arena Grand Rapids, MI"
2013-06-14,4,Syracuse,3,Grand Rapids,2,Final ,"Van Andel Arena Grand Rapids, MI"
2013-06-15,5,Syracuse,5,Grand Rapids,2,Final ,"Van Andel Arena Grand Rapids, MI"
2013-06-18,6,Grand Rapids,5,Syracuse,2,Final ,"Onondaga County War Memorial Arena Syracuse, NY"
