ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Vanessa,Fernandes,POR,0,00:18:46,00:00:39,01:08:01,00:00:22,00:34:25,1,02:02:17
Nicola,Spirig,SUI,0,00:19:48,00:00:37,01:09:02,00:00:24,00:36:40,2,02:06:31
Helen,Jenkins,GBR,0,00:18:43,00:00:44,01:10:02,00:00:27,00:37:15,3,02:07:11
Vendula,Frintova,CZE,0,00:19:47,00:00:51,01:11:43,00:00:22,00:35:40,4,02:08:23
Lisa,Hütthaler,AUT,0,00:20:51,00:00:41,01:10:50,00:00:26,00:36:05,5,02:08:53
Anina,Stampfli,SUI,0,00:19:48,00:00:44,01:11:51,00:00:27,00:36:40,6,02:09:30
Virginie,Jouve,FRA,0,00:19:20,00:00:14,01:12:05,00:00:44,00:37:34,7,02:09:57
Melanie,Hauss,SUI,0,00:19:48,00:00:41,01:11:52,00:00:27,00:38:02,8,02:10:52
Lisa,Norden,SWE,0,00:20:36,00:00:41,01:11:05,00:00:26,00:38:20,9,02:11:09
Cassandre,Pelcef,FRA,0,00:19:51,00:00:43,01:11:51,00:00:31,00:38:29,10,02:11:26
Radka,Vodickova,CZE,0,00:20:42,00:00:46,01:10:55,00:00:31,00:38:43,11,02:11:36
Irina,Kirchler,AUT,0,00:20:39,00:00:48,01:10:53,00:00:27,00:40:26,12,02:13:12
Maria,Pujol,ESP,0,00:20:49,00:00:39,01:13:50,00:00:22,00:37:56,13,02:13:36
Olga,Selekhova,RUS,0,00:19:55,00:00:43,01:14:44,00:00:29,00:39:06,14,02:14:56
Carina,Prinz,AUT,0,00:20:46,00:00:44,01:13:49,00:00:26,00:39:51,15,02:15:38
Heather,Wilson,IRL,0,00:20:41,00:00:44,01:11:02,00:00:29,00:42:55,16,02:15:51
Vendula,Trnkova,CZE,0,00:19:48,00:00:53,01:14:44,00:00:24,00:40:38,17,02:16:25
Birgit,Cals-Berk,NED,0,00:19:31,00:00:37,01:15:10,00:00:24,00:40:58,18,02:16:41
Olesya,Prystayko,UKR,0,00:23:05,00:00:46,01:13:07,00:00:29,00:39:44,19,02:17:09
Arianna,Viglino,ITA,0,00:19:34,00:00:43,01:15:07,00:00:31,00:41:56,20,02:17:53
Alice,Cabianca,ITA,0,00:20:44,00:00:24,01:14:22,00:00:29,00:42:04,21,02:18:04
Renata,Koch,HUN,0,00:21:21,00:00:44,01:17:14,00:00:31,00:39:54,22,02:19:45
Maria,Pezzarossa,ITA,0,00:23:00,00:00:41,01:17:45,00:00:26,00:40:25,23,02:22:19
Yuliya,Bukher,UKR,0,00:20:37,00:00:56,01:17:49,00:00:31,00:44:01,24,02:23:52
Monika,Smaruj,POL,0,00:21:13,00:00:41,01:17:24,00:00:31,00:45:04,25,02:24:54
Dora,Gergelics,HUN,0,00:20:45,00:00:48,01:21:40,00:00:34,00:42:43,26,02:26:29
Katerina,Turska,UKR,0,00:23:04,00:01:01,01:24:39,00:00:29,00:47:28,27,02:36:42
Zeljka,Saban,CRO,0,00:23:33,00:01:20,01:29:57,00:00:56,00:51:20,28,02:47:08
Anna,Boykova,RUS,0,00:19:52,00:00:43,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Camille,Cierpik,FRA,0,00:20:15,00:00:44,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Galyna,Makedon,UKR,0,00:20:42,00:00:53,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Zurine,Rodriguez,ESP,0,00:19:34,00:00:49,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Inna,Ryzhykh,UKR,0,00:20:51,00:00:44,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Julie,Gigault,FRA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Evgenia,Sukhoruchenkova,RUS,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Beatrice,Lanza,ITA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Borbala,Szomjas,HUN,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
