Product,AUD**,CAD,CHF,DKK,KRW,NOK,NZD,SEK,ZAR,TOTAL
Basis*,58295,50838,132719,"<1,000",,,,,,241852
FRA,,,432775,138052,,315037,,926509,,1812373
IRS- Plain Vanilla,1993972,1991364,1358799,95466,,238664,428501,795209,373346,7275321
OIS,,127817,72600,,,,,,,200417
VNS,,,,,,,,,,0
Zero Coupon,,"<1,000",,,,,,"<1,000",,"<1,000"
TOTAL,2052267,2170019,1996893,233518,0,553701,428501,1721718,373346,9529963
"Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type and supermajor currency (millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type and supermajor currency (millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type and supermajor currency (millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type and supermajor currency (millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type and supermajor currency (millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type and supermajor currency (millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type and supermajor currency (millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type and supermajor currency (millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type and supermajor currency (millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type and supermajor currency (millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type and supermajor currency (millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade."
Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.
*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.
