Start Date,End Date,Meeting Name,HQ Hotel,Venues,Attendees
2014-10-30 00:00:00,2014-11-01 00:00:00,15 Annual Las Vegas Dermatology Seminar & 11 Annual SDEF Psooriasis Forum,The Cosmopolitan of Las Vegas,The Cosmopolitan of Las Vegas,250
2014-12-06 00:00:00,2014-12-09 00:00:00,15th Conference on LGBT Tourism & Hospitality,Bellagio,Bellagio,200
2014-09-16 00:00:00,2014-09-21 00:00:00,2014 Centerlink Executive Directors Summit,The Platinum Hotel,The Platinum Hotel,60
2014-11-19 00:00:00,2014-11-22 00:00:00,2014 DEMA Show - Diving Equipment & Marketing Association,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,10000
2014-09-06 00:00:00,2014-09-10 00:00:00,2014 Fall Technology Standard & Safety Committee,The Ravella Spa,The Ravella Spa,190
2014-09-19 00:00:00,2014-09-21 00:00:00,2014 Mr. Olympia,Las Vegas Convention Center,Las Vegas Convention Center,30000
2014-10-16 00:00:00,2014-10-24 00:00:00,2014 National Commission on Correctional Health Care (NCCHC) Fall Convention,Paris Las Vegas,Paris Las Vegas,1500
2014-12-10 00:00:00,2014-12-11 00:00:00,2014 National Groundwater Expo and Annual Meeting,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,5000
2014-08-01 00:00:00,2014-08-03 00:00:00,2014 SJS Grand Reunion,Green Valley Ranch Resort & Spa,Green Valley Ranch Resort & Spa,300
2014-12-16 00:00:00,2014-12-20 00:00:00,2014 USA Table Tennis National Championships,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,3000
2014-12-19 00:00:00,2014-12-20 00:00:00,2014 USA Wrestling Holiday Classic,Las Vegas Convention Center,Las Vegas Convention Center,3500
2015-03-13 00:00:00,2015-03-16 00:00:00,2015 American Taekwondo Assn/West Coast Tournament,Las Vegas Convention Center,Las Vegas Convention Center,5000
2014-12-05 00:00:00,2014-12-06 00:00:00,33rd Annual Cliff Keen Las Vegas Collegiate Wrestling Invitational,Las Vegas Convention Center,Las Vegas Convention Center,2150
2014-08-23 00:00:00,2014-08-23 00:00:00,40 Plus Divas,Westgate Las Vegas Resort & Casino,Westgate Las Vegas Resort & Casino,365
2014-09-23 00:00:00,2014-09-28 00:00:00,5LINX 2014,Orleans Hotel and Casino,Orleans Hotel and Casino,8000
2014-09-07 00:00:00,2014-09-10 00:00:00,ABC Kids Expo 2014,Westgate Las Vegas Resort & Casino,Las Vegas Convention Center,14000
2014-11-06 00:00:00,2014-11-08 00:00:00,Academy of Doctors of Audiology - ADA Convention 2014,Red Rock Casino Resort Spa,Red Rock Casino Resort Spa,400
2014-08-18 00:00:00,2014-08-20 00:00:00,Accessories The Show 2014 Winter/Fall,The Venetian Resort Hotel Casino,Sands Expo & Convention Center,2000
2015-01-21 00:00:00,2015-01-24 00:00:00,Adult Entertainment Expo - AVN Adult Expo 2015,Hard Rock Hotel & Casino,Hard Rock Hotel & Casino,25000
2014-10-22 00:00:00,2014-10-24 00:00:00,Advanced Tax Problem Resolution Seminar 2014,Riviera Hotel & Casino,Riviera Hotel & Casino,100
2014-10-26 00:00:00,2014-10-30 00:00:00,Alternative Asset - 2014 Summit,Caesars Palace,Caesars Palace,180
2014-12-11 00:00:00,41986,"Amercan Academy of Anti-Aging - 22nd Annual World Congress on Anti-Aging, Regenerative and Aesthetic Medicine",The Venetian Resort Hotel Casino,The Venetian Resort Hotel Casino,3000
42086,42091,American Academy Of Orthopaedic Surgeons AAOS Annual Meeting - 2015,The Venetian Resort Hotel Casino,Sands Expo & Convention Center,33000
42092,42095,American Academy of Professional Coders (AAPC) - National Conference,Rio All-Suite Hotel & Casino,Rio All-Suite Hotel & Casino,2000
41919,41923,American Airlines Grey Eagles National Convention,Harrah's Las Vegas Hotel and Casino,Harrah's Las Vegas Hotel and Casino,400
41958,41965,American Ambulance Association - Annual Conference and Trade Show 2014,Caesars Palace,Caesars Palace,500
42063,42071,American Association of Clinical Endocrinologists -  AACE Meeting 2015,Rio All-Suite Hotel & Casino,Rio All-Suite Hotel & Casino,800
41895,41896,American College of Addictionology & Compulsive Disorders - ACACD - Eating Disorders: Interventions and Strategies,The Quad Resort & Casino,The Quad Resort & Casino,50
41867,41868,American College of Addictionology & Compulsive Disorders - ACACD - Inpatient/Outpatient Addiction Treatment: Traditional & Alternative Models and Criteria,The Quad Resort & Casino,The Quad Resort & Casino,50
41958,41959,American College of Addictionology & Compulsive Disorders - ACACD - Motivational Interviewing Training,The Quad Resort & Casino,The Quad Resort & Casino,50
