People QuickFacts,Williston,North Dakota
"Population, 2013 estimate    ","20,850","723,393"
"Population, 2012 estimate    ","18,310","701,345"
"Population, 2010 (April 1) estimates base    ","14,787","672,591"
"Population, percent change, April 1, 2010 to July 1, 2013    ",41.0%,7.6%
"Population, percent change, April 1, 2010 to July 1, 2012    ",23.8%,4.3%
"Population, 2010    ","14,716","672,591"
"Persons under 5 years, percent, 2010    ",7.5%,6.6%
"Persons under 18 years, percent, 2010    ",23.6%,22.3%
"Persons 65 years and over, percent,  2010    ",14.4%,14.5%
"Female persons, percent, 2010    ",49.0%,49.5%
,,
"White alone, percent, 2010 (a)    ",92.6%,90.0%
"Black or African American alone, percent, 2010 (a)    ",0.3%,1.2%
"American Indian and Alaska Native alone, percent, 2010 (a)    ",3.3%,5.4%
"Asian alone, percent, 2010 (a)    ",0.3%,1.0%
"Native Hawaiian and Other Pacific Islander alone, percent, 2010 (a)    ",Z,0.0%
"Two or More Races, percent, 2010    ",3.0%,1.8%
"Hispanic or Latino, percent, 2010 (b)    ",2.2%,2.0%
"White alone, not Hispanic or Latino, percent, 2010    ",91.2%,88.9%
,,
"Living in same house 1 year & over, percent, 2008-2012    ",77.1%,82.9%
"Foreign born persons, percent, 2008-2012    ",2.5%,2.5%
"Language other than English spoken at home, pct age 5+, 2008-2012    ",2.5%,5.2%
"High school graduate or higher, percent of persons age 25+, 2008-2012    ",88.8%,90.5%
"Bachelor's degree or higher, percent of persons age 25+, 2008-2012    ",21.3%,27.1%
"Veterans, 2008-2012    ","1,151","54,782"
"Mean travel time to work (minutes), workers age 16+, 2008-2012    ",13.1,16.5
"Housing units, 2010    ","6,542","317,498"
"Homeownership rate, 2008-2012    ",64.0%,66.4%
"Housing units in multi-unit structures, percent, 2008-2012    ",26.6%,25.6%
"Median value of owner-occupied housing units, 2008-2012    ","$128,500","$123,900"
"Households, 2008-2012    ","6,583","282,667"
"Persons per household, 2008-2012    ",2.2800000000000002,2.3
"Per capita money income in past 12 months (2012 dollars), 2008-2012    ","$35,658","$28,700"
"Median household income, 2008-2012    ","$69,559","$51,641"
"Persons below poverty level, percent, 2008-2012    ",8.8%,12.1%
,,
Business QuickFacts,Williston,North Dakota
"Total number of firms, 2007    ","1,910","61,546"
"Black-owned firms, percent, 2007    ",F,0.3%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",F,1.6%
"Asian-owned firms, percent, 2007    ",F,0.7%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,0.0%
"Hispanic-owned firms, percent, 2007    ",F,0.5%
"Women-owned firms, percent, 2007    ",18.5%,24.8%
,,
"Manufacturers shipments, 2007 ($1000)    ",0,"11,349,799"
"Merchant wholesaler sales, 2007 ($1000)    ","268,288","13,099,348"
"Retail sales, 2007 ($1000)    ","327,154","10,527,300"
"Retail sales per capita, 2007    ","$26,369","$16,495"
"Accommodation and food services sales, 2007 ($1000)    ","33,739","1,214,201"
,,
Geography QuickFacts,Williston,North Dakota
"Land area in square miles, 2010    ",7.5,"69,000.80"
"Persons per square mile, 2010    ","1,961.1",9.7
FIPS Code    ,86220,38
Counties    ,"Williams County
 ",
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
