ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Carlos Javier,Quinchara Forero,COL,10,00:17:35,00:00:36,01:03:49,00:00:23,00:33:25,1,01:55:45
Jarrod,Shoemaker,USA,1,00:17:32,00:00:41,01:05:36,00:00:21,00:32:06,2,01:56:14
Ryan,Bice,USA,18,00:17:33,00:00:38,01:05:37,00:00:23,00:32:19,3,01:56:28
Kaleb,Vanort,USA,3,00:17:59,00:00:37,01:05:21,00:00:26,00:32:45,4,01:57:06
William,Huffman,USA,6,00:17:27,00:00:34,01:05:49,00:00:21,00:33:11,5,01:57:20
Gabriel ,Legault,CAN,29,00:17:32,00:00:36,01:05:42,00:00:22,00:34:39,6,01:58:49
Arturo,Garza,MEX,9,00:17:56,00:00:37,01:05:11,00:00:25,00:34:51,7,01:58:58
Matthew,Sharpe,CAN,17,00:17:29,00:00:38,01:05:38,00:00:22,00:35:01,8,01:59:06
Juan Jose,Andrade Figueroa,ECU,12,00:17:31,00:00:36,01:05:44,00:00:19,00:35:06,9,01:59:14
Florin,Salvisberg,SUI,2,00:17:29,00:00:39,01:05:38,00:00:22,00:35:14,10,01:59:20
Alex,Libin,USA,26,00:18:08,00:00:40,01:04:59,00:00:24,00:35:19,11,01:59:28
Alois,Knabl,AUT,4,00:17:30,00:00:38,01:05:37,00:00:24,00:35:34,12,01:59:41
Patrick,Rhyner,SUI,7,00:18:08,00:00:39,01:04:59,00:00:23,00:35:46,13,01:59:52
Jason,Pedersen,USA,11,00:18:32,00:00:38,01:06:30,00:00:26,00:33:54,14,01:59:58
John,Rasmussen,CAN,34,00:17:33,00:00:36,01:03:45,00:00:20,00:38:51,15,02:01:05
Manuel,Huerta,PUR,5,00:17:34,00:00:37,01:05:35,00:00:22,00:37:15,16,02:01:22
Travis,Johnston,RSA,8,00:18:29,00:00:36,01:06:39,00:00:30,00:35:29,17,02:01:40
Edgardo Omar,Velez,PUR,39,00:17:31,00:00:39,01:05:42,00:00:25,00:38:31,18,02:02:46
Felipe,Rodriguez Rojas,COL,38,00:17:53,00:00:39,01:05:20,00:00:25,00:40:00,19,02:04:14
Graham,Leitch,GBR,22,00:18:29,00:00:36,01:06:38,00:00:24,00:39:21,20,02:05:27
Nicholas,Sterghos,USA,33,00:18:10,00:00:38,01:11:23,00:00:36,00:37:34,21,02:08:18
Gerardo,Vergara,GUA,16,00:17:33,00:00:37,01:05:34,00:00:23,00:46:00,22,02:10:05
Gustavo,Pontaza,GUA,37,00:18:26,00:00:39,01:10:06,00:00:31,00:42:08,23,02:11:48
Michael,Poole,USA,21,00:18:06,00:00:35,01:05:04,00:00:25,00:00:00,DNF,00:00:00
Bryan ,Sosa,GUA,45,00:21:01,00:00:44,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Dan,Feeney,USA,24,00:18:45,00:00:40,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Luis,Quiñones,PUR,50,00:19:34,00:00:40,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Juan Sebastian,Rubio,COL,23,00:18:00,00:00:40,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Tom,Eickelberg,USA,44,00:18:05,00:00:39,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Tyler ,Bredschneider,CAN,31,00:17:31,00:00:38,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Eliezer,Lizardi,PUR,40,00:17:34,00:00:37,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Fabian,Roman,PUR,35,00:18:28,00:00:37,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Andrew,Bysice,CAN,20,00:18:26,00:00:36,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Gabor,Faldum,HUN,15,00:17:54,00:00:36,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Antoine,Jolicoeur-Desroches,CAN,27,00:17:24,00:00:36,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Francis ,Lefebvre,CAN,28,00:18:03,00:00:36,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Colin,O'Brady,USA,46,00:18:24,00:00:36,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Jose,Saenz,GUA,52,00:18:46,00:00:36,00:00:00,00:00:00,00:00:00,DNF,00:00:00
