Chicago Season Schedule,,,,,,,
Date,Game Number,Visiting Team,Visiting Score,Home Team,Home Score,Game Time/Status,Venue
2012-10-13,13,Rockford,0,Chicago,1,Final SO ,"Allstate Arena Rosemont, IL"
2012-10-14,22,Rockford,3,Chicago,5,Final ,"Allstate Arena Rosemont, IL"
2012-10-17,29,Peoria,1,Chicago,2,Final OT ,"Allstate Arena Rosemont, IL"
2012-10-19,30,Chicago,3,Abbotsford,2,Final SO ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-10-20,44,Chicago,1,Abbotsford,4,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-10-26,78,Chicago,1,Peoria,4,Final ,"Carver Arena Peoria, IL"
2012-10-27,83,San Antonio,5,Chicago,6,Final ,"Allstate Arena Rosemont, IL"
2012-10-28,95,Grand Rapids,3,Chicago,2,Final OT ,"Allstate Arena Rosemont, IL"
2012-11-02,119,Chicago,6,Rockford,3,Final ,"BMO Harris Bank Center Rockford, IL"
2012-11-04,132,Chicago,1,Charlotte,4,Final ,"Time Warner Cable Arena Charlotte, NC"
2012-11-06,138,Chicago,2,Charlotte,1,Final ,"Time Warner Cable Arena Charlotte, NC"
2012-11-09,153,Chicago,4,Milwaukee,7,Final ,"BMO Harris Bradley Center Milwaukee, WI"
2012-11-16,194,Chicago,2,Peoria,3,Final OT ,"Carver Arena Peoria, IL"
2012-11-17,204,Peoria,3,Chicago,2,Final ,"Allstate Arena Rosemont, IL"
2012-11-20,219,Milwaukee,3,Chicago,5,Final ,"Allstate Arena Rosemont, IL"
2012-11-23,231,Chicago,3,Grand Rapids,4,Final ,"Van Andel Arena Grand Rapids, MI"
2012-11-24,244,Milwaukee,4,Chicago,3,Final SO ,"Allstate Arena Rosemont, IL"
2012-11-28,266,Rockford,4,Chicago,2,Final ,"Allstate Arena Rosemont, IL"
2012-11-30,278,Chicago,2,Milwaukee,3,Final ,"BMO Harris Bradley Center Milwaukee, WI"
2012-12-01,287,Peoria,1,Chicago,3,Final ,"Allstate Arena Rosemont, IL"
2012-12-07,313,Grand Rapids,3,Chicago,0,Final ,"Allstate Arena Rosemont, IL"
2012-12-08,326,Chicago,2,Rockford,1,Final ,"BMO Harris Bank Center Rockford, IL"
2012-12-13,353,Hamilton,3,Chicago,4,Final ,"Allstate Arena Rosemont, IL"
2012-12-15,372,Chicago,3,Lake Erie,2,Final ,"Quicken Loans Arena Cleveland, OH"
2012-12-19,391,Abbotsford,0,Chicago,1,Final ,"Allstate Arena Rosemont, IL"
2012-12-22,414,Chicago,1,Grand Rapids,2,Final OT ,"Van Andel Arena Grand Rapids, MI"
2012-12-27,434,Chicago,2,Rockford,3,Final ,"BMO Harris Bank Center Rockford, IL"
2012-12-29,449,Abbotsford,3,Chicago,2,Final ,"Allstate Arena Rosemont, IL"
2012-12-30,461,Abbotsford,2,Chicago,3,Final ,"Allstate Arena Rosemont, IL"
2013-01-03,477,Chicago,3,Milwaukee,4,Final ,"BMO Harris Bradley Center Milwaukee, WI"
2013-01-05,493,Grand Rapids,4,Chicago,3,Final SO ,"Allstate Arena Rosemont, IL"
2013-01-06,506,Oklahoma City,3,Chicago,6,Final ,"Allstate Arena Rosemont, IL"
2013-01-11,520,Chicago,3,Abbotsford,1,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-01-12,534,Chicago,1,Abbotsford,0,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-01-16,562,Texas,1,Chicago,4,Final ,"Allstate Arena Rosemont, IL"
2013-01-18,567,Texas,6,Chicago,4,Final ,"Allstate Arena Rosemont, IL"
2013-01-19,578,Houston,1,Chicago,3,Final ,"Allstate Arena Rosemont, IL"
2013-01-23,605,Chicago,0,Peoria,2,Final ,"Carver Arena Peoria, IL"
2013-01-25,617,Chicago,2,Rockford,1,Final ,"BMO Harris Bank Center Rockford, IL"
2013-02-01,643,Chicago,5,Milwaukee,2,Final ,"BMO Harris Bradley Center Milwaukee, WI"
2013-02-02,653,Peoria,5,Chicago,3,Final ,"Allstate Arena Rosemont, IL"
