Milwaukee Season Schedule,,,,,,,
Date,Game Number,Visiting Team,Visiting Score,Home Team,Home Score,Game Time/Status,Venue
2012-10-12,3,Milwaukee,3,Grand Rapids,2,Final ,"Van Andel Arena Grand Rapids, MI"
2012-10-19,36,Charlotte,4,Milwaukee,3,Final ,"BMO Harris Bradley Center Milwaukee, WI"
2012-10-20,51,Milwaukee,0,San Antonio,1,Final ,"AT&T Center San Antonio, TX"
2012-10-21,59,Milwaukee,5,Houston,4,Final OT ,"Toyota Center Houston, TX"
2012-10-24,70,Milwaukee,1,Texas,3,Final ,"Cedar Park Center Cedar Park, TX"
2012-10-27,87,Milwaukee,0,Houston,4,Final ,"Toyota Center Houston, TX"
2012-10-31,106,Charlotte,4,Milwaukee,5,Final ,"BMO Harris Bradley Center Milwaukee, WI"
2012-11-02,113,Lake Erie,2,Milwaukee,1,Final ,"BMO Harris Bradley Center Milwaukee, WI"
2012-11-03,127,Milwaukee,3,Peoria,0,Final *,"Carver Arena Peoria, IL"
2012-11-07,140,Milwaukee,2,Grand Rapids,4,Final ,"Van Andel Arena Grand Rapids, MI"
2012-11-09,153,Chicago,4,Milwaukee,7,Final ,"BMO Harris Bradley Center Milwaukee, WI"
2012-11-10,166,Milwaukee,4,Rockford,2,Final ,"BMO Harris Bank Center Rockford, IL"
2012-11-16,193,Milwaukee,1,Oklahoma City,2,Final OT ,"Cox Convention Center Oklahoma City, OK"
2012-11-17,207,Milwaukee,2,Oklahoma City,5,Final ,"Cox Convention Center Oklahoma City, OK"
2012-11-20,219,Milwaukee,3,Chicago,5,Final ,"Allstate Arena Rosemont, IL"
2012-11-23,234,Milwaukee,4,Peoria,5,Final SO ,"Carver Arena Peoria, IL"
2012-11-24,244,Milwaukee,4,Chicago,3,Final SO ,"Allstate Arena Rosemont, IL"
2012-11-25,255,Milwaukee,3,Grand Rapids,2,Final ,"Van Andel Arena Grand Rapids, MI"
