People QuickFacts,Rutland County,Vermont
"Population, 2012 estimate    ","60,869","626,011"
"Population, 2010 (April 1) estimates base    ","61,642","625,741"
"Population, percent change, April 1, 2010 to July 1, 2012    ",-1.3%,Z
"Population, 2010    ","61,642","625,741"
"Persons under 5 years, percent, 2012    ",4.5%,4.9%
"Persons under 18 years, percent, 2012    ",18.6%,19.8%
"Persons 65 years and over, percent, 2012    ",18.0%,15.7%
"Female persons, percent, 2012    ",50.7%,50.7%
,,
"White alone, percent, 2012 (a)    ",97.3%,95.4%
"Black or African American alone, percent, 2012 (a)    ",0.6%,1.1%
"American Indian and Alaska Native alone, percent, 2012 (a)    ",0.3%,0.4%
"Asian alone, percent, 2012 (a)    ",0.6%,1.4%
"Native Hawaiian and Other Pacific Islander alone, percent, 2012 (a)    ",Z,Z
"Two or More Races, percent, 2012    ",1.3%,1.7%
"Hispanic or Latino, percent, 2012 (b)    ",1.2%,1.6%
"White alone, not Hispanic or Latino, percent, 2012    ",96.3%,94.0%
,,
"Living in same house 1 year & over, percent, 2007-2011    ",86.6%,86.2%
"Foreign born persons, percent, 2007-2011    ",2.1%,3.9%
"Language other than English spoken at home, percent age 5+, 2007-2011    ",3.4%,5.2%
"High school graduate or higher, percent of persons age 25+, 2007-2011    ",88.9%,91.0%
"Bachelor's degree or higher, percent of persons age 25+, 2007-2011    ",26.4%,33.8%
"Veterans, 2007-2011    ","5,660","51,981"
"Mean travel time to work (minutes), workers age 16+, 2007-2011    ",20.4,21.7
,,
"Housing units, 2011    ","33,837","324,389"
"Homeownership rate, 2007-2011    ",70.4%,71.4%
"Housing units in multi-unit structures, percent, 2007-2011    ",27.0%,23.0%
"Median value of owner-occupied housing units, 2007-2011    ","$175,200","$213,000"
"Households, 2007-2011    ","26,108","256,711"
"Persons per household, 2007-2011    ",2.29,2.34
"Per capita money income in the past 12 months (2011 dollars), 2007-2011    ","$25,814","$28,376"
"Median household income, 2007-2011    ","$48,190","$53,422"
"Persons below poverty level, percent, 2007-2011    ",12.4%,11.3%
,,
Business QuickFacts,Rutland County,Vermont
"Private nonfarm establishments, 2011    ","2,215","21,190"
"Private nonfarm employment, 2011    ","24,452","264,208"
"Private nonfarm employment, percent change, 2010-2011    ",0.2%,0.0%
"Nonemployer establishments, 2011    ","5,236","60,067"
,,
"Total number of firms, 2007    ","7,560","78,729"
"Black-owned firms, percent, 2007    ",F,S
"American Indian- and Alaska Native-owned firms, percent, 2007    ",S,0.5%
"Asian-owned firms, percent, 2007    ",S,0.8%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,S
"Hispanic-owned firms, percent, 2007    ",0.5%,0.6%
"Women-owned firms, percent, 2007    ",23.9%,26.0%
,,
"Manufacturers shipments, 2007 ($1000)    ","640,754","10,751,461"
"Merchant wholesaler sales, 2007 ($1000)    ","267,644","5,121,694"
"Retail sales, 2007 ($1000)    ","1,084,887","9,310,119"
"Retail sales per capita, 2007    ","$17,136","$15,005"
"Accommodation and food services sales, 2007 ($1000)    ","124,431","1,367,630"
"Building permits, 2012    ",49,"1,301"
,,
Geography QuickFacts,Rutland County,Vermont
"Land area in square miles, 2010    ",929.82,"9,216.66"
"Persons per square mile, 2010    ",66.3,67.9
FIPS Code    ,21,50
Metropolitan or Micropolitan Statistical Area    ,"Rutland, VT Micro Area", 
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
