ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Misato,Takagi,JPN,51,00:20:48,00:00:00,01:04:17,00:00:00,00:36:22,1,02:01:26
Tomoko,Sakimoto,JPN,0,00:19:57,00:00:00,01:05:04,00:00:00,00:36:55,2,02:01:59
Keiko,Tanaka,JPN,57,00:19:55,00:00:00,01:04:08,00:00:00,00:38:22,3,02:02:27
Misuzu,Asanuma,JPN,56,00:19:41,00:00:00,01:05:26,00:00:00,00:37:44,4,02:02:51
Maiko,Ohta,JPN,58,00:20:14,00:00:00,01:04:48,00:00:00,00:38:02,5,02:03:04
Maiko,Nishi,JPN,59,00:20:02,00:00:00,01:05:04,00:00:00,00:38:03,6,02:03:09
Felicity,Sheedy-Ryan,AUS,61,00:22:15,00:00:00,01:05:58,00:00:00,00:35:13,7,02:03:26
Hideko,Kikuchi,JPN,54,00:22:19,00:00:00,01:05:57,00:00:00,00:36:24,8,02:04:40
Chie,Nakashima,JPN,53,00:19:36,00:00:00,01:05:26,00:00:00,00:40:43,9,02:05:46
Yayoi,Ito,JPN,55,00:21:29,00:00:00,01:06:45,00:00:00,00:37:35,10,02:05:49
Aoi,Kuramoto,JPN,63,00:21:02,00:00:00,01:07:10,00:00:00,00:38:17,11,02:06:29
Katherine,Baker,AUS,0,00:22:17,00:00:00,01:06:59,00:00:00,00:39:47,12,02:09:03
Risa,Kusunoki,JPN,64,00:20:56,00:00:00,01:09:32,00:00:00,00:41:54,13,02:12:22
Miu,Hiraide,JPN,65,00:21:34,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Saori,Ohmatsu,JPN,52,00:20:59,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Chihiro,Hirayama,JPN,62,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
