TEAM FIRST,TEAM LAST,NATIONALITY,START NUMBER,LEG 1,LEG 2,LEG 3,LEG 4,POSITION,TOTAL TIME
Team I,Russia,RUS,41,00:24:29,00:23:38,00:23:00,,1,01:11:07
Team I,France,FRA,0,00:23:36,00:24:22,00:23:23,,2,01:11:21
Team I,Italy,ITA,42,00:23:48,00:24:19,00:23:18,,3,01:11:25
Team I,Portugal,POR,47,00:24:04,00:24:02,00:23:26,,4,01:11:32
Team I,Germany,GER,43,00:24:18,00:23:29,00:23:53,,5,01:11:40
Team I,Spain,ESP,45,00:23:45,00:24:01,00:23:56,,6,01:11:42
Team I,Czech Republic,CZE,48,00:24:27,00:24:40,00:22:35,,7,01:11:42
Team I,Switzerland,SUI,44,00:24:09,00:24:56,00:24:49,,8,01:13:54
Team I,Ukraine,UKR,46,00:24:45,00:25:02,00:25:00,,9,01:14:47
Team I,Hungary,HUN,49,00:25:26,00:25:14,00:24:39,,10,01:15:19
Team I,Croatia,CRO,50,00:26:02,00:26:19,00:25:58,,11,01:18:19
