,Nov 9,Nov 9,Nov 16,Nov 16,Nov 23,Nov 23,Nov 30,Nov 30
,Long,Short,Long,Short,Long,Short,Long,Short
Total Interest Rates*,379472036,379472036,377403821,377403821,381458122,381458122,386135995,386135995
SD/MSPs,N/A***,,,,,,,
Financials,,,,,,,,
End Users,,,,,,,,
Total Cross-Currency,16458308,16458308,16476083,16476083,18336792,18336792,16707328,16707328
SD/MSPs,,,,,,,,
Financials,,,,,,,,
End Users,,,,,,,,
Total Credit,22022016,22022016,22026049,22026049,22238040,22238040,22031189,22031189
Dealers**,18755845,18734920,18742698,18721286,18910675,18891984,18749996,18718637
Buyside,3266171,3287096,3283351,3304763,3327365,3346055,3281193,3312552
Total Equity,,,,,,,,
SD/MSPs,,,,,,,,
Financials,,,,,,,,
End Users,,,,,,,,
Total Commodities,3091000,3091000,3091000,3091000,3091000,3091000,3091000,3091000
SD/MSPs,,,,,,,,
Financials,,,,,,,,
End Users,,,,,,,,
"Weekly snapshot, estimated gross notional amount outstanding by asset class and participant type (millions of USD), all products, origins, currencies, tenors, and participant types, cleared and uncleared. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Weekly snapshot, estimated gross notional amount outstanding by asset class and participant type (millions of USD), all products, origins, currencies, tenors, and participant types, cleared and uncleared. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Weekly snapshot, estimated gross notional amount outstanding by asset class and participant type (millions of USD), all products, origins, currencies, tenors, and participant types, cleared and uncleared. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Weekly snapshot, estimated gross notional amount outstanding by asset class and participant type (millions of USD), all products, origins, currencies, tenors, and participant types, cleared and uncleared. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Weekly snapshot, estimated gross notional amount outstanding by asset class and participant type (millions of USD), all products, origins, currencies, tenors, and participant types, cleared and uncleared. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Weekly snapshot, estimated gross notional amount outstanding by asset class and participant type (millions of USD), all products, origins, currencies, tenors, and participant types, cleared and uncleared. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Weekly snapshot, estimated gross notional amount outstanding by asset class and participant type (millions of USD), all products, origins, currencies, tenors, and participant types, cleared and uncleared. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Weekly snapshot, estimated gross notional amount outstanding by asset class and participant type (millions of USD), all products, origins, currencies, tenors, and participant types, cleared and uncleared. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Weekly snapshot, estimated gross notional amount outstanding by asset class and participant type (millions of USD), all products, origins, currencies, tenors, and participant types, cleared and uncleared. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade."
*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.
**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.
***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.
The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.
