,,TIB-The Independent BankersBank,,,,,
,,"350 Phelps Ct., Irving TX 75038",,,,,
,,888-776-4842 Toll Free//972-541-0264 fax,,,,,
,,Rate Sheet Effective:,,,2011-05-19 09:16:57.530000,,
Product: FMHA Rural Housing,,,,,,Loan Level Price Adjustment,
Rate,15 Day,30 Day,45 Day,60 Day,,,
4.75,99.45,99.45,99.2,98.825,,Price adjustments are cumulative,
4.625,99.45,99.45,99.2,98.825,,,
4.5,99.45,99.45,99.2,98.825,,and are added to price quote,
4.375,99,99,98.75,98.375,,,
4.25,98,98,97.75,97.375,,Credit Score Adjustment,
,,,,,,,
,,,,,,620 - 639    (RD only),-0.75
,,,,,,640 - 659 ,-0.375
,,,,,,660 - 719 ,0
,,,,,,720 + ,0.125
,,,,,,,
,,,,,,Prices Do Not Include SRP,
,,,,,,SRPs ,
,,,,,,,
,,,,,,See Government SRP Schedule,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,Expiration Dates,
,,,,,,15 Day,1900-01-15 00:00:00
,,,,,,30 Day,1900-01-30 00:00:00
,,,,,,45 Day,1900-02-14 00:00:00
,,,,,,60 Day ,1900-02-28 00:00:00
,,,,,,,
,,,,,,,
,,,,,,See Product Matrix for Complete Details,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,TIB-The Independent BankersBank,,,,,
,,"350 Phelps Ct., Irving TX 75038",,,,,
,,888-776-4842 Toll Free//972-541-0264 fax,,,,,
,,Rate Sheet Effective:,,,40634.37263819444,,
Product: Texas Veterans Land Board,,,,,,Base Rate and price discounts are,
Rate,,,45 Day,,,subject to change on the first business,
4.65,,,90,,,day of each week.  ,
,,,,,,Discounts,
,,,,,,,
,,,,,,See Web Site listed below,
,,,,,,,
,,,,,,,
,,,,,,Note:  Interest Rate is not guaranteed,
,,,,,,Until the Vet Adm issues a Confirm.,
,,,,,,,
,,,,,,,
,,,,,,Loan Terms:,
,,,,,,"15, 20, 25, or 30 Years",
,,,,,,Rate Lock:,
,,,,,,The final mortgage interest rate is the ,
,,,,,,percentage provided on the registration,
,,,,,,Confirmation form,
,,,,,,Expired interest rate will not be ,
,,,,,,honored,
,,,,,,,
,,,,,,More information may be obtained on,
,,,,,,www.glo.state.tx.us/vlb/.,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
A SERVICE RELEASE PREMIUM WILL BE PAID IN ACCORDANCE WITH THE ATTACHED SCHEDULE.,,,,,,,
