People QuickFacts,Grafton,West Virginia
"Population, 2011 estimate    ","5,171","1,854,908"
"Population, 2010 (April 1) estimates base    ","5,164","1,852,999"
"Population, percent change, April 1, 2010 to July 1, 2011    ",0.1%,0.1%
"Population, 2010    ","5,164","1,852,994"
"Persons under 5 years, percent, 2010    ",6.7%,5.6%
"Persons under 18 years, percent, 2010    ",21.9%,20.9%
"Persons 65 years and over, percent,  2010    ",19.0%,16.0%
"Female persons, percent, 2010    ",52.4%,50.7%
,,
"White persons, percent, 2010 (a)    ",97.1%,93.9%
"Black persons, percent, 2010 (a)    ",0.7%,3.4%
"American Indian and Alaska Native persons, percent, 2010 (a)    ",0.3%,0.2%
"Asian persons, percent, 2010 (a)    ",0.2%,0.7%
"Native Hawaiian and Other Pacific Islander, percent, 2010 (a)    ",0.0%,0.0%
"Persons reporting two or more races, percent, 2010    ",1.5%,1.5%
"Persons of Hispanic or Latino origin, percent, 2010 (b)    ",0.9%,1.2%
"White persons not Hispanic, percent, 2010    ",96.5%,93.2%
,,
"Living in same house 1 year & over, percent, 2007-2011    ",85.8%,87.7%
"Foreign born persons, percent, 2007-2011    ",0.2%,1.3%
"Language other than English spoken at home, percent age 5+, 2007-2011    ",0.9%,2.3%
"High school graduate or higher, percent of persons age 25+, 2007-2011    ",78.0%,82.6%
"Bachelor's degree or higher, percent of persons age 25+, 2007-2011    ",10.3%,17.6%
"Veterans, 2007-2011    ",582,"166,372"
"Mean travel time to work (minutes), workers age 16+, 2007-2011    ",26.4,25.5
,,
"Housing units, 2010    ","2,512","881,917"
"Homeownership rate, 2007-2011    ",67.1%,74.3%
"Housing units in multi-unit structures, percent, 2007-2011    ",19.1%,12.0%
"Median value of owner-occupied housing units, 2007-2011    ","$62,200","$96,500"
"Households, 2007-2011    ","2,204","740,080"
"Persons per household, 2007-2011    ",2.26,2.43
"Per capita money income in the past 12 months (2011 dollars), 2007-2011    ","$16,369","$22,010"
"Median household income, 2007-2011    ","$27,418","$39,550"
"Persons below poverty level, percent, 2007-2011    ",23.7%,17.5%
,,
Business QuickFacts,Grafton,West Virginia
"Total number of firms, 2007    ",S,"120,381"
"Black-owned firms, percent, 2007    ",S,S
"American Indian- and Alaska Native-owned firms, percent, 2007    ",S,S
"Asian-owned firms, percent, 2007    ",S,1.3%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",S,0.0%
"Hispanic-owned firms, percent, 2007    ",S,0.7%
"Women-owned firms, percent, 2007    ",S,28.1%
,,
"Manufacturers shipments, 2007 ($1000)    ",,"25,080,573"
"Merchant wholesaler sales, 2007 ($1000)    ",D,"11,036,467"
"Retail sales, 2007 ($1000)    ","86,046","20,538,829"
"Retail sales per capita, 2007    ","$16,177","$11,340"
"Accommodation and food services sales, 2007 ($1000)    ","6,960","2,553,258"
,,
Geography QuickFacts,Grafton,West Virginia
"Land area in square miles, 2010    ",3.67,"24,038.21"
"Persons per square mile, 2010    ","1,407.1",77.1
FIPS Code    ,32716,54
Counties    ,"Taylor County
 ",
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
