Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
Aruba,ABW,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.7079,293.3769,296.1513,293.3924,318.4803,281.2785,306.7644,,,,,,,,,,,,,,,
Andorra,AND,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.8911,236.2594,,,,,,,,,,,,
Angola,AGO,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2429.137,2190.389,1979.032,1792.567,2593.889,2870.753,3068.7,3348.865,3588.305,,,,,,,,
Andean Region,ANR,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181367.0,161363.7,154496.7,153699.9,186121.0,188298.4,182852.7,173051.0,163933.8,155535.5,,,,,,,,,,,,
Armenia,ARM,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90529.7,86548.23,81818.47,80018.89,91743.32,89576.51,87573.06,87795.93,86998.93,88128.51,86669.76,86434.39,85139.5,85273.96,84768.54,84397.79,,,,,,,,
Azerbaijan,AZE,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41340.94,36789.41,29006.46,22687.32,19496.17,20037.43,18727.06,17561.45,15637.63,17315.75,18107.01,18835.52,20046.24,,,,,,,
Burundi,BDI,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107830.3,105771.4,103159.4,104213.4,103237.5,104158.7,105508.7,,99291.97,99287.71,97883.09,95874.24,,,,,,,,
Benin,BEN,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250767.6,,,303022.4,,,,,,,,,,,,,,,,
Bulgaria,BGR,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124260.3,120786.0,118964.3,107266.5,95749.0,94995.07,96861.77,101562.7,100831.1,100633.6,101206.1,102086.1,,,,,,,
Bahrain,BHR,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.6642,623.2721,600.4631,603.0882,,,658.7457,671.1932,696.9639,834.6733,865.097,924.2548,884.8604,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
