FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance,FHA Single Family Mortgage Insurance
,,,,,,,,,,,,
HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed ,HECM Cases Endorsed 
for ,for ,for ,for ,for ,for ,for ,for ,for ,for ,for ,for ,for 
Insurance by Fiscal Years,Insurance by Fiscal Years,Insurance by Fiscal Years,Insurance by Fiscal Years,Insurance by Fiscal Years,Insurance by Fiscal Years,Insurance by Fiscal Years,Insurance by Fiscal Years,Insurance by Fiscal Years,Insurance by Fiscal Years,Insurance by Fiscal Years,Insurance by Fiscal Years,Insurance by Fiscal Years
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,, ,,,,,,,,,
,, ,Data through 06/30/2012,,,,,,,,,
