Product,AUD**,CAD,CHF,DKK,KRW,NOK,NZD,SEK,ZAR,TOTAL
Basis*,,,,,,,,,,
FRA,,,,,,,,,,
IRS- Plain Vanilla,,,,,,,,,,
OIS,,,,,,,,,,
VNS,,,,,,,,,,
Zero Coupon,,,,,,,,,,
TOTAL,N/A***,,,,,,,,,
"Estimated swap dollar volumes, week ending November 30, by product type and major currency (value of all trades in millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated swap dollar volumes, week ending November 30, by product type and major currency (value of all trades in millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated swap dollar volumes, week ending November 30, by product type and major currency (value of all trades in millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated swap dollar volumes, week ending November 30, by product type and major currency (value of all trades in millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated swap dollar volumes, week ending November 30, by product type and major currency (value of all trades in millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated swap dollar volumes, week ending November 30, by product type and major currency (value of all trades in millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated swap dollar volumes, week ending November 30, by product type and major currency (value of all trades in millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated swap dollar volumes, week ending November 30, by product type and major currency (value of all trades in millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated swap dollar volumes, week ending November 30, by product type and major currency (value of all trades in millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated swap dollar volumes, week ending November 30, by product type and major currency (value of all trades in millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated swap dollar volumes, week ending November 30, by product type and major currency (value of all trades in millions of USD), cleared swaps only, all participant types and tenors. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade."
Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.
*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.
