Supporting Table 2: Differentially expressed genes (q < 0.01),,,,,,,
,,,,,,,
Sequence Name,Gene Name,p-value,TREAT1,Direction,TREAT2,Fold Change,GO term
6R55.1a,6R55.1,3.08038e-05,E,<,M,1.2248,unknown
B0035.13,B0035.13,1.4915e-07,B,>,E,2.0202,unknown
B0035.13,B0035.13,4.7722e-07,B,>,P,1.8395,unknown
B0213.15,cyp-34A9,3.2e-05,B,<,E,1.4622,metabolism
B0213.3,nlp-28,8.87301e-06,E,>,M,1.2145,membrane associated
B0213.3,nlp-28,2.88538e-05,E,>,P,1.1204,membrane associated
B0222.7,col-145,5.27293e-06,B,<,E,2.039,collagen
B0222.7,col-145,4.82184e-08,E,>,P,2.4527,collagen
B0546.1,mai-2,2.24887e-05,E,>,P,1.1331,metabolism
C01B10.5a,hil-7,1.22042e-05,B,<,E,1.8983,TXN/TLN
C01B10.5a,hil-7,6.33232e-06,E,>,P,1.931,TXN/TLN
C01B12.1,sqt-2,1.66192e-05,E,>,P,1.4134,collagen
C01G6.7,C01G6.7,1.2927e-05,B,<,M,1.2716,other
C02E7.6,C02E7.6,2.7024e-05,B,<,E,2.3747,unknown
C02E7.7,C02E7.7,6.17277e-06,B,<,E,1.8661,unknown
C05E4.9a,gei-7,8.84188e-09,B,<,E,1.8005,met/def
C05E4.9a,gei-7,1.11267e-05,B,<,M,1.1629,met/def
C05E4.9a,gei-7,3.12848e-09,B,<,P,1.8091,met/def
C05E4.9b,gei-7,1.33851e-06,B,<,E,1.5402,met/def
C08F11.12,C08F11.12,2.87692e-09,B,<,E,2.6129,unknown
C08F11.12,C08F11.12,6.19841e-10,B,<,P,2.7508,unknown
C08F11.12,C08F11.12,2.56197e-05,E,>,M,1.5439,unknown
C08F11.12,C08F11.12,5.81398e-06,M,<,P,1.6818,unknown
C09H10.2,rpl-41,3.01829e-05,B,>,P,1.487,ribosomal
C10G11.5b,pnk-1,3.7191e-05,B,<,P,0.9498,development
C16H3.2,lec-9,4.63568e-07,B,<,M,1.4253,defense
C16H3.2,lec-9,1.85109e-08,M,>,P,1.645,defense
C17F4.7,C17F4.7,7.37437e-10,B,>,P,3.2222,unknown
C17F4.7,C17F4.7,2.30523e-05,E,>,P,1.8361,unknown
C17F4.7,C17F4.7,1.52652e-09,M,>,P,3.0794,unknown
C23G10.11,C23G10.11,1.29937e-05,B,<,E,2.4646,membrane associated
C23H5.8a,C23H5.8,1.4679e-05,E,<,M,1.1286,unknown
C23H5.8a,C23H5.8,1.16067e-05,M,>,P,1.2004,unknown
C24B9.3,C24B9.3,1.60089e-05,M,>,P,1.1558,unknown
C24B9.9,dod-3,5.6088e-06,M,<,P,1.6141,other
C24F3.6,col-124,6.14981e-06,B,>,P,2.513,collagen
C24F3.6,col-124,8.42877e-08,E,>,P,3.4593,collagen
C24F3.6,col-124,1.1747e-06,M,>,P,2.8907,collagen
C31E10.7,C31E10.7,1.73085e-05,M,>,P,1.3259,development
