Total HECM Cases Endorsed For Insurance by Fiscal Year of Endorsement Plus Selected Loan and Borrower Characteristics,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data As of 06/30/2012,,,,,,,,,,,
Fiscal Year        (Oct 1 to Sep 30),Number of Loans,Average Expected Interest Rate *,Average Property Value (000),Average Maximum Claim** (000),Average,Average Borrower Age,Borrower(s),,,Active Insured Cases,
,,,,,Initial Prin,,Single Female,Single Male,Multiple***,Count,Average Unpaid Balance (000)
,,,,,Limit (000),,,,,,
1990,157,9.813248407643313,108716.87898089172,84208.43949044586,39005.14840764331,76.74900318471337,0.5732484076433121,0.16560509554140126,0.2611464968152866,1,11949.32
1991,389,9.3413676092545,126414.91002570694,97482.71208226221,43460.12437017995,76.53423059125964,0.5604113110539846,0.13881748071979436,0.30077120822622105,1,98355.79
1992,1019,8.919405299313052,124667.883218842,97415.6280667321,48611.83891069676,76.58282639842983,0.5766208251473477,0.15029469548133595,0.2730844793713163,1,441331.52
1993,1964,7.622717922606925,119657.85336048879,97900.72556008147,52600.141053971485,75.66504755600815,0.5499726925177498,0.1436373566357182,0.3063899508465319,18,132652.69222222222
1994,3365,7.621615453194651,124944.04398216939,103808.11292719167,58015.43410698365,75.16464151560179,0.5473841554559044,0.14499252615844543,0.3076233183856502,26,127812.89653846154
1995,4166,8.587103456553049,124832.00552088334,105367.59217474796,54340.81670667307,76.03764411905905,0.5645703312530005,0.13538166106577051,0.300048007681229,80,144519.09625
1996,3596,7.740837319243604,117161.08620689655,103335.32035595106,57320.08103170189,75.9296415461624,0.5639599555061179,0.12541713014460512,0.31062291434927697,76,118151.24921052632
1997,5207,8.07420472440945,117498.51642020357,105203.38505857499,57952.21604762819,75.9484883595851,0.5659688880353371,0.13232187439984636,0.3017092375648166,175,103368.384
1998,7895,7.361248765041165,118655.75123495884,107018.5789740342,64299.50443698544,75.68842177327423,0.5598480050664978,0.1409753008233059,0.2991766941101963,513,95088.07824561403
1999,7923,6.495003912659346,131913.77331818757,117788.52252934495,81619.08326643948,75.25443710715638,0.5477723084690143,0.14476839580966805,0.3074592957213177,674,105960.19317507418
2000,6637,7.326868615338255,141669.83938526444,124616.54618050324,78558.59991411782,75.95480578574657,0.5678770528853397,0.13002862739189394,0.3020943197227663,943,94921.78023329799
2001,7789,6.656785081525228,167141.71498266785,140595.06573372704,97397.86441006548,75.53827269225832,0.5446141995121325,0.1366029015277956,0.3187828989600719,1468,106024.40220027248
2002,13048,6.404911020846106,177977.88542305335,151335.8868792152,109948.60951486818,75.12426221643163,0.5135652973635806,0.13971489883507052,0.34671980380134887,3328,116851.04071514423
2003,18084,5.40318508073435,197553.41235346164,165921.6613028091,131286.97239327582,74.30094069343066,0.4860650298606503,0.14194868391948684,0.37198628621986285,5341,136695.87943643512
2004,37790,5.796937576078328,219435.82101084944,182200.23535326807,133907.03451759726,74.25366376554643,0.4861726103672279,0.15187591144107118,0.3619514781917009,15376,140285.1823601717
2005,43082,5.717843229190845,254864.085534562,206041.16333967782,144386.0132015691,73.79080824010028,0.46006374909843883,0.16053605081315,0.37940020008841113,24758,158249.67311212537
2006,76280,6.010703657577347,289660.31545621395,235616.2978762454,158892.404626377,73.75011206738333,0.44494880185791197,0.16656550195291883,0.3884856961891692,55157,167953.10479993472
2007,107367,5.987344724170369,261938.7955982751,229332.0643493811,155650.17564978066,73.53940468766008,0.4459632436068729,0.1819413430004952,0.3720954133926319,88442,154255.45864080414
2008,112013,5.39043615473204,239337.36110987118,216407.05236892146,153718.55055216805,73.05293644309143,0.43830808352136386,0.20617098241466997,0.3555209340639662,98998,143841.49681225885
2009,114639,5.523889679777388,283304.4533361247,263097.47492563614,183960.29004527256,72.91630427515942,0.4118060065647435,0.21826894384862475,0.3699250495866318,103794,172264.67975711505
2010,78758,5.689318189898169,279879.4696284822,266313.990972346,175492.40160999517,72.85419240965997,0.4255072613039448,0.2181352353486456,0.3563575033474096,73473,172481.21608931173
2011,73093,5.144844307936465,261452.871410395,249102.45496832803,161139.13601165637,72.18856420177035,0.4105834086642097,0.21259995827828385,0.37681663305750646,70887,146371.6205724604
2012,43026,4.871578371217403,253768.82480360713,241244.34014316925,159020.46969274394,71.97792294891461,0.4031989336887704,0.21618984148141096,0.38061122482981863,42810,129848.31667460874
,,,,,,,,,,,
FY 2012 = Oct 2011 - June 2012,,,,,,,,,,,
Prepared by OE ,,,,,,,,,,,
Dollar amounts in thousands,,,,,,,,,,,
 * Expected Interest Rate for HECM Is the 10-Yr Constant Maturity Treasury Rate at Closing Plus Lender Margin,,,,,,,,,,,
"** ""Maximum Claim"" on a HECM loan = lesser of Property Value or FHA National loan limit. ",,,,,,,,,,,
*** Includes all cases with more than one borrower irrespective of gender,,,,,,,,,,,
Active cases have been endorsed for insurance and neither terminated (either by payment in full or by claim)  ,,,,,,,,,,,
   nor assigned to HUD,,,,,,,,,,,
