,,,,,,,,,,,,,
,,第47表　,敷地の所有名義(4区分)，共有の持ち分(5区分)別所有地に居住する主世帯数＜乙＞,,,,,,,,,,
,,,―全国，都道府県，大都市(平成10年～20年),,,,,,,,,,
,,,,,,,,,,,,,
,,Table 47.  ,Principal Households Living in Owned Site by Title Deed to Site (4 Groups) and Share of Ownership (5 Groups) ,,,,,,,,,,
,,," <L> - Japan, Prefectures and Major Cities (1998~2008)",,,,,,,,,,
,,,,,,,,,,,,,
,その１． 平成20年,,,,,,,,,,,,
,Part 1. 2008,,,,,,,,,,,,
,"地域
 ",,総　数,敷地の所有名義　　　　Title deed to site,,,,,,,,,
,,,,"世帯員の
単独所有又は
世帯員同士の
共有(世帯主
を含む)",他の世帯の世帯員又は法人などと共同で所有　,,,,,,,"住居又は
生計を
ともに
していない
配偶者・
親など","その他の
世帯の
世帯員又は
法人など"
,,,,,Jointly with members of other household and/or corporation,,,,,,,,
,,,,,共有の持ち分　　　Share of ownership,,,,,,"１世帯
当たり
持ち分
(%)",,
,,,,,総　数,19%以下,20～39%,40～59,60～79,80%以上,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Area,,,"Member of
your household
(including the
head of your 
household)",,,,,,,,,"Members of
other
household
and/or
corporation"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,"Share per
household",,
,,,,,,,,,,,,,
,,,Total,,Total,and under,,,,and over,,(a),
,,,1),,2),,,,,,,,
,,,,,,,,,,,,,
,全　　　　　　　　    国,Japan,29113000,23719000,835000,185000,86000,315000,88000,46000,39.8,1243000,133000
,01　  北　　  海　　  道,Hokkaido,1268000,1062000,23000,3000,2000,13000,2000,0,43.2,51000,7000
,02　  青　　  森　　  県,Aomori-ken,350000,314000,3000,1000,0,2000,0,0,40,13000,3000
,03　  岩　　  手　　  県,Iwate-ken,329000,299000,4000,0,1000,2000,0,0,47.2,14000,1000
,04　  宮　　  城　　  県,Miyagi-ken,507000,451000,9000,1000,1000,5000,0,1000,43.4,14000,2000
,05　  秋　　  田　　  県,Akita-ken,288000,263000,2000,0,0,2000,0,0,51.2,10000,2000
,06　  山　　  形　　  県,Yamagata-ken,278000,254000,5000,1000,1000,2000,1000,0,40.2,7000,1000
,07　  福　　  島　　  県,Fukushima-ken,445000,403000,5000,0,1000,3000,0,0,46.7,17000,3000
,08　  茨　　  城　　  県,Ibaraki-ken,720000,632000,9000,2000,1000,4000,0,0,37.9,33000,3000
,09　  栃　　  木　　  県,Tochigi-ken,466000,403000,8000,1000,1000,5000,1000,0,44.5,21000,2000
,10　  群　　  馬　　  県,Gumma-ken,487000,423000,7000,0,1000,4000,1000,0,48.6,27000,3000
,11　  埼　　  玉　　  県,Saitama-ken,1709000,1369000,56000,17000,3000,20000,5000,3000,35.3,62000,4000
,12　  千　　  葉　　  県,Chiba-ken,1448000,1190000,45000,12000,5000,12000,5000,3000,37.6,45000,7000
,13　  東　　  京　　  都,Tokyo-to,2459000,1592000,148000,44000,15000,40000,13000,7000,34.4,82000,8000
,14　  神　 奈　 川　  県,Kanagawa-ken,1990000,1527000,86000,18000,9000,29000,10000,10000,43,59000,6000
,15　  新　　  潟　　  県,Niigata-ken,599000,531000,9000,1000,1000,4000,1000,1000,45.2,22000,2000
,16　  富　　  山　　  県,Toyama-ken,277000,250000,4000,1000,1000,2000,1000,0,44.8,10000,1000
,17　  石　　  川　　  県,Ishikawa-ken,291000,249000,6000,1000,1000,3000,1000,1000,46.8,16000,1000
,18　  福　　  井　　  県,Fukui-ken,183000,157000,4000,0,0,3000,0,0,45.6,9000,1000
,19　  山　　  梨　　  県,Yamanashi-ken,208000,181000,3000,0,0,2000,1000,0,49.9,12000,2000
,20　  長　　  野　　  県,Nagano-ken,528000,468000,10000,3000,1000,4000,2000,0,36,25000,2000
,21　  岐　　  阜　　  県,Gifu-ken,499000,434000,9000,1000,1000,5000,1000,0,43.4,29000,3000
