"CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.",,,
,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,,,,,,,,,,,,
Fiscal Period,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Jun09,Jun10,Jun11,Jun12,Jun13,TTM/current,	,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Revenue per Share ($),0,10.84,11.12,4.24,11.49,21.17,0,7,4.4,4.95,4.57,4.79,4.8100000000000005,		,13,4.45,2.63,1.33,5.24,1.72,1.04,0.49,19.98,26.44,1.43,2.02,1.1,20.13,0,0,0,0,0,0,1.25,1.12,1.05,1.03,1.11,1.21,1.18,1.19,1.25,1.33,1.07,1.11,1.18,1.21,1.14,1.22,1.23,1.19,1.2,1.19
EBITDA per Share ($),0,0,-228.63,-315.14,-24.31,1.62,-15.53,-4.18,-1.51,-0.51,-0.75,-0.99,-1.03,		,0,0,0,8.25,0,0,0,5.77,-53.29,-49.85,-2.97,-4.08,-3.62,16.06,-4.95,-6.15,-3.46,-6.92,-3.8,-1.36,-0.52,-0.39,-0.4,-0.43,-0.4,-0.28,-0.24,-0.12,-0.11,-0.04,-0.16,-0.19,-0.19,-0.2,-0.24,-0.23,-0.24,-0.27,-0.26,-0.26
EBIT per Share ($),-53.41,0,-245.89,-327.58,-24.8,0.81,-15.87,-4.24,-1.55,-0.55,-0.8,-1.03,-1.09,		,0,0,0,0,0,0,0,0,-55.88,-51.99,-2.86,-4.18,-3.78,15.91,-5.09,-6.53,-3.54,-7.07,-3.86,-1.41,-0.54,-0.4,-0.41,-0.44,-0.41,-0.29,-0.25,-0.13,-0.12,-0.06,-0.18,-0.21,-0.21,-0.21,-0.26,-0.25,-0.25,-0.28,-0.28,-0.28
Earnings per Share (diluted) ($),-65.9,-208.2,-305.5,-392,-24.9,2.8,-15.2,-1.13,-1.62,-0.7,-0.93,-1.11,-1.183,		,-305.5,-101.833,-61.095,-53.371,-392,-130.672,-78.398,-69.773,-72.1,-57.9,-2.3,-3.608,-3.2,16.5,-4.6,-6.314,-3.3,-6.9,-3.7,-1.3,-0.32,-0.403,-0.43,-0.46,-0.44,-0.294,-0.28,-0.13,-0.15,-0.152,-0.22,-0.23,-0.23,-0.244,-0.26,-0.28,-0.29,-0.283,-0.29,-0.32
Free Cashflow per Share ($),0,0,-240.96,-269.51,15.07,-12.63,-16.5,-3.85,-1,-0.63,-0.68,-0.61,-0.75,		,0,0,0,-115.11,0,0,0,-125.13,348.06,-97.09,-2.19,-3.26,-2.28,-2.55,-3.9,-4.12,-4.51,-4.9,-5.1,-2,-1.83,-0.26,-0.15,-0.48,-0.24,-0.13,-0.11,-0.17,-0.25,-0.1,-0.13,-0.26,-0.14,-0.16,-0.1,-0.29,-0.13,-0.1,-0.24,-0.28
Dividends Per Share,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Book Value Per Share ($),-263.13,0,-562.69,-794.54,26.43,30.41,15.55,2.15,1.17,1.27,1.6,2.74,5.45,		,0,0,0,-268.8,0,0,0,-368.89,-642.63,-37.8,29.83,26.43,23.48,40.6,36.36,30.41,27.04,20.25,16.69,15.55,12.67,2.15,1.82,1.53,1.23,1.17,0.98,1.08,1.04,1.27,1.32,1.22,1.08,1.6,1.42,1.38,2.92,2.74,2.59,5.45
Month End Stock Price,0,0,0,0,57.3,31,9.3,7.71,4.48,14.56,9.79,21.2,33.44,		,0,0,0,0,0,0,0,0,0,103.8,94.1,57.3,55.6,58,64.6,31,14,13.5,12.1,9.3,7.09,7.71,7.27,4.59,5.31,4.48,5.24,11.66,10.83,14.56,11.39,9.85,9.25,9.79,11.56,12.55,20.48,21.2,20.05,34.29
Return on Equity %,0,0,0,0,-40.98,9.33,-97.59,-105.15,-134.94,-51.42,-52.16,-35.97,-22.2,		,0,0,0,0,0,0,0,0,0,0,-28.52,-53.879999999999995,-53.959999999999994,165.39999999999998,-49.919999999999995,-82.24000000000001,-48.88,-136.52,-87.68,-33.44,-44.440000000000005,-74.32,-93.12,-119.72,-142.64,-99.36,-110.60000000000001,-45.64,-56.68,-45.92,-66.12,-75.52,-86.68,-57.24,-71.88,-79.12,-35.56,-40.96,-44.68,-22.2
Return on Assets %,-31.380000000000003,0,-63.99,-52.959999999999994,-21.58,8.12,-87.8,-44.07,-55.95,-23.79,-26.6,-24.81,-19.12,		,0,0,0,-64,0,0,0,-52.959999999999994,-26.52,-23.400000000000002,-16.04,-28.360000000000003,-27.200000000000003,155.92,-46.04,-71.56,-44,-111.68,-76.08,-30.080000000000002,-20.200000000000003,-31.16,-35.199999999999996,-42.52,-42.08,-41.199999999999996,-40.239999999999995,-17.8,-21.8,-21.240000000000002,-31.96,-31.8,-33.64,-29.2,-34.68,-40.72,-25.119999999999997,-28.24,-30.680000000000003,-19.12
