Strategic Focus,Principle,Approach,Key Players,MC Assignment,Timeline,Progress to Date
Accountability,Accreditation,,,,,
,Community measures for effectiveness,,,,,
,Data Driven Decisions,Develop effectiveness measures to for community members to review college goals,,,,
,Completion and Achievement,,,,,
,Strategic Planning,,,,,
,,Continue to communicate and market college data,,,,
,,Discuss with faculty the community perception that historical in fighting has presented a bad image of the college,,,,
,,Data use in enrollment  management and scheduling,,,,
,,Begin a faculty inquiry model,,,,
,,Develop data workshops as part of professional development,,,,
,,Invest in technology to support data that reviews student completion and achievement,,,,
