People QuickFacts,Bryn Mawr-Skyway CDP,Washington
"Population, 2011 estimate    ",X,"6,823,267"
"Population, 2010 (April 1) estimates base    ",X,"6,724,543"
"Population, percent change, April 1, 2010 to July 1, 2011    ",X,1.5%
"Population, 2010    ","15,645","6,724,540"
"Persons under 5 years, percent, 2010    ",7.4%,6.5%
"Persons under 18 years, percent, 2010    ",24.2%,23.5%
"Persons 65 years and over, percent,  2010    ",12.3%,12.3%
"Female persons, percent, 2010    ",51.6%,50.2%
,,
"White persons, percent, 2010 (a)    ",29.6%,77.3%
"Black persons, percent, 2010 (a)    ",31.4%,3.6%
"American Indian and Alaska Native persons, percent, 2010 (a)    ",0.8%,1.5%
"Asian persons, percent, 2010 (a)    ",27.1%,7.2%
"Native Hawaiian and Other Pacific Islander, percent, 2010 (a)    ",0.8%,0.6%
"Persons reporting two or more races, percent, 2010    ",7.2%,4.7%
"Persons of Hispanic or Latino origin, percent, 2010 (b)    ",7.7%,11.2%
"White persons not Hispanic, percent, 2010    ",27.1%,72.5%
,,
"Living in same house 1 year & over, percent, 2007-2011    ",83.9%,82.3%
"Foreign born persons, percent, 2007-2011    ",24.1%,12.8%
"Language other than English spoken at home, percent age 5+, 2007-2011    ",32.0%,17.8%
"High school graduate or higher, percent of persons age 25+, 2007-2011    ",84.1%,89.8%
"Bachelor's degree or higher, percent of persons age 25+, 2007-2011    ",28.4%,31.4%
"Veterans, 2007-2011    ","1,345","601,507"
"Mean travel time to work (minutes), workers age 16+, 2007-2011    ",26.4,25.5
,,
"Housing units, 2010    ","6,189","2,885,677"
"Homeownership rate, 2007-2011    ",62.4%,64.4%
"Housing units in multi-unit structures, percent, 2007-2011    ",28.0%,25.7%
"Median value of owner-occupied housing units, 2007-2011    ","$337,000","$283,200"
"Households, 2007-2011    ","6,049","2,602,568"
"Persons per household, 2007-2011    ",2.5300000000000002,2.5
"Per capita money income in the past 12 months (2011 dollars), 2007-2011    ","$28,252","$30,481"
"Median household income, 2007-2011    ","$56,416","$58,890"
"Persons below poverty level, percent, 2007-2011    ",11.6%,12.5%
,,
Business QuickFacts,Bryn Mawr-Skyway CDP,Washington
"Total number of firms, 2007    ",S,"551,340"
"Black-owned firms, percent, 2007    ",S,S
"American Indian- and Alaska Native-owned firms, percent, 2007    ",S,1.2%
"Asian-owned firms, percent, 2007    ",S,6.8%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",S,0.2%
"Hispanic-owned firms, percent, 2007    ",S,3.2%
"Women-owned firms, percent, 2007    ",S,28.7%
,,
"Manufacturers shipments, 2007 ($1000)    ",,"112,053,283"
"Merchant wholesaler sales, 2007 ($1000)    ",D,"76,790,966"
"Retail sales, 2007 ($1000)    ","11,584","92,968,519"
"Retail sales per capita, 2007    ",,"$14,380"
"Accommodation and food services sales, 2007 ($1000)    ",D,"12,389,422"
,,
Geography QuickFacts,Bryn Mawr-Skyway CDP,Washington
"Land area in square miles, 2010    ",2.84,"66,455.52"
"Persons per square mile, 2010    ","5,512.7",101.2
FIPS Code    ,8552,53
Counties    ,"King County
 ",
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
