U.S. Energy Information Administration,,,,,,,,,,,
November 2014 Monthly Energy Review,,,,,,,,,,,
,,,,,,,,,,,
Note: Information about data precision.,,,,,,,,,,,
,,,,,,,,,,,
"Release Date: November 25, 2014",,,,,,,,,,,
"Next Update: December 23, 2014",,,,,,,,,,,
,,,,,,,,,,,
Table 3.3d Petroleum Trade:  Imports From Non-OPEC Countries,,,,,,,,,,,
,,,,,,,,,,,
Month,Petroleum Imports From Brazil,Petroleum Imports From Canada,Petroleum Imports From Colombia,Petroleum Imports From Mexico,Petroleum Imports From Netherlands,Petroleum Imports From Norway,Petroleum Imports From Russia,Petroleum Imports From United Kingdom,Petroleum Imports From U.S. Virgin Islands,Petroleum Imports From Other Non-OPEC,Petroleum Imports From Total Non-OPEC Countries
,(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day),(Thousand Barrels per Day)
1973-01-01 00:00:00,11.387,1370.484,30.097,16.71,74.645,0,18.581,10.645,336.097,1337.774,3206.419
1973-02-01 00:00:00,15.107,1428.857,0,22.143,98.857,0,24.607,14.107,445.25,1821.893,3870.821
1973-03-01 00:00:00,14.194,1431.258,25.097,20.839,92.968,0,23.129,13.258,418.677,1750.677,3790.097
1973-04-01 00:00:00,15.967,1512.233,3.733,53.767,11,1.133,25.167,8.833,269.633,1318.5,3219.967
1973-05-01 00:00:00,15.484,1321.968,3.645,0,10.645,1.097,24.387,8.548,261.29,1370.806,3017.871
1973-06-01 00:00:00,16.033,1268.367,3.767,0,11.033,1.133,25.267,8.867,270.7,1457.967,3063.133
1973-07-01 00:00:00,4.484,1230.645,3.677,0,27.452,0,18.129,17.29,257.806,1284.129,2843.613
1973-08-01 00:00:00,5.129,1245.032,4.226,0,31.516,0,20.839,19.839,296.161,1569.548,3192.29
1973-09-01 00:00:00,5.067,1280.867,4.167,20.8,31.033,0,20.5,19.533,291.667,1426.067,3099.7
1973-10-01 00:00:00,1.774,1284.323,0,49.065,67.065,2.323,29.032,17,316.968,1333.194,3100.742
