ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,RUN,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Manaf,Chenit,SYR,0,00:17:29,00:00:00,00:35:18,00:00:00,00:09:44,1,01:02:31
Javohir,Yunusov,UZB,45,00:17:17,00:00:00,00:35:30,00:00:00,00:10:26,2,01:03:13
Dmitriy,Zaytsev,UZB,43,00:17:17,00:00:00,00:35:30,00:00:00,00:10:43,3,01:03:30
Ka Ho,Wong,HKG,46,00:17:31,00:00:00,00:35:46,00:00:00,00:10:31,4,01:03:50
Tsz Hei,Cheung,HKG,49,00:17:30,00:00:00,00:35:47,00:00:00,00:11:01,5,01:04:19
Tsz Hei,Li,HKG,48,00:17:29,00:00:00,00:35:47,00:00:00,00:12:13,6,01:05:29
Long Hin,Sin,HKG,51,00:17:30,00:00:00,00:37:29,00:00:00,00:10:56,7,01:05:55
Hosseid,Gom,IRI,0,00:19:18,00:00:00,00:35:44,00:00:00,00:11:08,8,01:06:09
Mohammad,Al Shebli,SYR,0,00:18:59,00:00:00,00:36:07,00:00:00,00:11:13,9,01:06:20
Omid,Taki,IRI,0,00:20:02,00:00:00,00:34:57,00:00:00,00:11:27,10,01:06:27
Butsrikui,Nitinan,THA,0,00:18:43,00:00:00,00:36:18,00:00:00,00:11:37,11,01:06:40
Meemana,Supakit,THA,0,00:19:58,00:00:00,00:36:14,00:00:00,00:12:00,12,01:08:13
Promnet,Pongpinit,THA,0,00:20:19,00:00:00,00:36:29,00:00:00,00:11:39,13,01:08:29
Sherzod,Rakhimov,UZB,47,00:18:43,00:00:00,00:36:31,00:00:00,00:14:56,14,01:10:12
Suwana,Noparat,THA,0,00:25:29,00:00:00,00:29:33,00:00:00,00:17:14,15,01:12:17
Chung,Nathan Duk Soo,HKG,44,00:23:32,00:00:00,00:40:34,00:00:00,00:14:49,16,01:18:56
Chen Shelton,Cheng,TPE,0,00:24:37,00:00:00,01:00:35,00:00:00,00:15:08,17,01:40:22
Boonrueng,Tanaboon,THA,0,00:24:18,00:00:00,00:57:08,00:00:00,00:22:11,18,01:43:38
Jason,Ng Ka Lok,HKG,50,00:17:31,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
