DAIO - Data I/O Corporation,,,
Date,Insider Percent Owned,Insider Shares Bought,Insider Shares Sold
2014-02-28,0.08,,
2014-01-31,0.08,,
2013-11-30,0.08,,
2013-10-31,0.08,,7004
2013-09-30,0.08,,
2013-08-31,0.08,,
2013-07-31,0.08,462,
2013-06-30,0.08,,
2013-05-31,0.08,106000,
2013-04-30,0.07,,
2013-03-31,0.07,,
2013-01-31,0.07,628,
2012-11-30,0.07,16800,
2012-10-31,0.07,75000,
2012-09-30,0.06,,
2012-08-31,0.06,2000,
2012-07-31,0.06,1655,
2012-06-30,0.06,,
2012-05-31,0.06,26900,
2012-04-30,0.06,,
2012-03-31,0.05,39856,14586
2012-02-29,0.05,,
2012-01-31,0.05,1181,
2011-12-31,0.05,,
2011-11-30,0.05,,
2011-10-31,0.05,,
2011-09-30,0.05,,
2011-08-31,0.05,,100
2011-07-31,0.06,811,
2011-06-30,0.06,24500,11458
2011-05-31,0.05,50000,20784
2011-04-30,0.05,7500,
2011-03-31,0.05,7500,3268
2011-02-28,0.05,,
2011-01-31,0.05,788,
2010-12-31,0.05,,
2010-11-30,0.05,,
2010-10-31,0.05,7500,7500
2010-09-30,0.05,,
2010-08-31,0.05,,
2010-07-31,0.05,981,
2010-06-30,0.05,69500,49253
2010-05-31,0.05,7500,
2010-04-30,0.05,7469,7469
2010-03-31,0.05,7531,4748
2010-02-28,0.05,,
2010-01-31,0.05,1113,
2009-12-31,0.05,,
2009-11-30,0.05,,
2009-10-31,0.05,15000,
2009-09-30,0.04,,
2009-08-31,0.04,,
2009-07-31,0.04,1573,
2009-06-30,0.04,,
2009-05-31,0.04,15000,8515
2009-04-30,0.04,,
2009-03-31,0.04,25000,9560
2009-02-28,0.04,,
2009-01-31,0.04,1487,
2008-12-31,0.04,,
2008-11-30,0.04,209062,
2008-10-31,0.04,,
2008-09-30,0.04,,
2008-08-31,0.04,,
2008-07-31,0.04,,15632
2008-06-30,0.04,,
2008-05-31,0.04,12500,6684
2008-04-30,0.04,5000,0
2008-03-31,0.04,0,0
2008-02-29,0.04,15000,9483
2008-01-31,0.04,713,0
2007-12-31,0.03,30000,31585
2007-11-30,0.03,15000,18557
2007-10-31,0.1,100000,102235
2007-09-30,0.1,0,0
2007-08-31,0.1,0,0
2007-07-31,0.16,1086,0
2007-06-30,0.16,1086,0
2007-05-31,0.16,22500,16184
2007-04-30,0.16,0,0
2007-03-31,0.16,0,0
2007-02-28,0.16,0,0
2007-01-31,0.16,1016,0
2006-12-31,0.16,5000,4713
2006-11-30,0.16,0,0
2006-10-31,0.16,10000,10000
2006-09-30,0.16,10000,10000
2006-07-31,0,5035,0
2006-06-30,0.16,0,0
2006-05-31,0.16,0,0
2006-04-30,0.16,0,0
2006-03-31,0.16,0,0
2006-02-28,0.26,6243,0
2006-01-31,0.26,6243,0
2005-12-31,0.28,54750,77644
2005-11-30,0.3,0,33200
2005-10-31,0.31,0,0
2005-09-30,0.31,0,61734
2005-08-31,0.31,5200,13814
2005-07-31,0.32,4749,0
2005-06-30,0.32,0,3399
2005-05-31,0.32,0,7601
2005-04-30,0.32,0,0
2005-03-31,0.32,0,80347
2005-02-28,0.3,131131,74778
2005-01-31,0.31,24837,15652
2004-12-31,0.31,0,15000
2004-11-30,0.31,0,34499
2004-10-31,0.23,0,21100
2004-09-30,0.22,0,24610
2004-08-31,0.24,4663,37960
2004-07-31,0.24,0,0
2004-06-30,0.25,0,6000
2004-05-31,0.25,0,40800
2004-04-30,0.25,0,0
2004-03-31,0.17,0,10450
2004-02-29,0.17,1357,2500
2004-01-31,0,2827,0
