 Season Schedule,,,,,,,
Date,Game Number,Visiting Team,Visiting Score,Home Team,Home Score,Game Time/Status,Venue
2012-10-12,1,Peoria,1,Abbotsford,4,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-10-13,8,Peoria,2,Abbotsford,6,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-10-19,30,Chicago,3,Abbotsford,2,Final SO ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-10-20,44,Chicago,1,Abbotsford,4,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-10-26,76,Abbotsford,5,Lake Erie,3,Final ,"Quicken Loans Arena Cleveland, OH"
2012-10-27,88,Abbotsford,3,Lake Erie,4,Final SO ,"Quicken Loans Arena Cleveland, OH"
2012-10-28,96,Abbotsford,1,Hamilton,2,Final ,"Copps Coliseum Hamilton, ON"
2012-11-01,107,Toronto,0,Abbotsford,3,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-11-02,109,Toronto,2,Abbotsford,4,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-11-09,146,Oklahoma City,0,Abbotsford,4,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-11-10,160,Oklahoma City,2,Abbotsford,1,Final OT ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-11-13,178,Lake Erie,0,Abbotsford,3,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-11-14,181,Lake Erie,0,Abbotsford,2,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-11-16,196,Abbotsford,3,Rochester,2,Final ,"Blue Cross Arena Rochester, NY"
2012-11-18,218,Abbotsford,0,Toronto,5,Final ,"Ricoh Coliseum Toronto, ON"
2012-11-23,239,Abbotsford,1,Texas,0,Final OT ,"Cedar Park Center Cedar Park, TX"
2012-11-24,248,Abbotsford,3,San Antonio,2,Final SO ,"AT&T Center San Antonio, TX"
2012-11-25,258,Abbotsford,2,Houston,3,Final OT ,"Toyota Center Houston, TX"
2012-11-30,270,Hamilton,1,Abbotsford,5,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-12-01,283,Hamilton,3,Abbotsford,0,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-12-04,304,San Antonio,3,Abbotsford,2,Final OT ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-12-05,305,San Antonio,4,Abbotsford,0,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-12-09,341,Abbotsford,3,Toronto,2,Final ,"Ricoh Coliseum Toronto, ON"
2012-12-11,347,Abbotsford,2,Rochester,3,Final SO ,"Blue Cross Arena Rochester, NY"
2012-12-14,355,Texas,3,Abbotsford,1,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-12-15,366,Texas,1,Abbotsford,2,Final SO ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-12-19,391,Abbotsford,0,Chicago,1,Final ,"Allstate Arena Rosemont, IL"
2012-12-21,401,Abbotsford,1,Grand Rapids,5,Final ,"Van Andel Arena Grand Rapids, MI"
2012-12-22,421,Abbotsford,2,Rockford,3,Final ,"BMO Harris Bank Center Rockford, IL"
2012-12-29,449,Abbotsford,3,Chicago,2,Final ,"Allstate Arena Rosemont, IL"
2012-12-30,461,Abbotsford,2,Chicago,3,Final ,"Allstate Arena Rosemont, IL"
2012-12-31,470,Abbotsford,1,Peoria,2,Final SO ,"Carver Arena Peoria, IL"
2013-01-04,478,Rochester,5,Abbotsford,2,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-01-05,490,Rochester,1,Abbotsford,3,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-01-11,520,Chicago,3,Abbotsford,1,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-01-12,534,Chicago,1,Abbotsford,0,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-01-15,555,Hamilton,1,Abbotsford,3,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-01-16,559,Hamilton,1,Abbotsford,2,Final SO ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
