ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SNOWSHOE,T1,SKATE,T2,SKI,POSITION,TOTAL TIME,PROGRAM
Benjamin,Sonntag,GER,0,00:20:40,00:00:00,00:31:33,00:00:00,00:23:40,1,01:15:53,Elite Men
Marc,Ruhe,LIE,0,00:20:42,00:00:00,00:31:29,00:00:00,00:24:39,2,01:16:50,Elite Men
Othmar,Brugger,SUI,0,00:20:28,00:00:00,00:32:43,00:00:00,00:24:07,3,01:17:18,Elite Men
Martin,Schutz,GER,0,00:20:12,00:00:00,00:34:42,00:00:00,00:23:12,4,01:18:06,Elite Men
Joseph,Brugger,SUI,0,00:21:25,00:00:00,00:34:12,00:00:00,00:24:17,5,01:19:53,Elite Men
Thomas,Schrenk,GER,0,00:21:41,00:00:00,00:35:00,00:00:00,00:23:36,6,01:20:18,Elite Men
Daniel,Antonioli,ITA,0,00:21:52,00:00:00,00:35:09,00:00:00,00:25:11,7,01:22:13,Elite Men
Adrian,Ruhstaller,SUI,0,00:21:27,00:00:00,00:34:25,00:00:00,00:26:47,8,01:22:41,Elite Men
Rolf,Bruhwiler,SUI,0,00:22:16,00:00:00,00:36:35,00:00:00,00:26:53,9,01:25:44,Elite Men
Bruno,Schertenleib,SUI,0,00:21:38,00:00:00,00:36:47,00:00:00,00:29:24,10,01:27:49,Elite Men
Pedro,Añarbe,ESP,0,00:22:22,00:00:00,00:41:10,00:00:00,00:25:44,11,01:29:15,Elite Men
Cedric,Schaller,SUI,0,00:22:00,00:00:00,00:38:21,00:00:00,00:29:44,12,01:30:05,Elite Men
Oliver,Kraas,RSA,0,00:22:38,00:00:00,00:40:26,00:00:00,00:28:03,13,01:31:07,Elite Men
Ilja,Hoefler,LIE,0,00:22:41,00:00:00,00:39:41,00:00:00,00:29:32,14,01:31:55,Elite Men
Iwan,Schuwey,SUI,0,00:23:57,00:00:00,00:41:12,00:00:00,00:27:57,15,01:33:07,Elite Men
Michael,Schadler,LIE,0,00:24:17,00:00:00,00:41:29,00:00:00,00:28:23,16,01:34:08,Elite Men
Andreas,Forlin,SUI,0,00:24:02,00:00:00,00:40:42,00:00:00,00:30:29,17,01:35:13,Elite Men
Beat,Brunner,SUI,0,00:24:39,00:00:00,00:44:43,00:00:00,00:31:55,18,01:41:17,Elite Men
Philip E.c.,Schadler,LIE,0,00:25:56,00:00:00,00:45:39,00:00:00,00:30:36,19,01:42:11,Elite Men
Helmut,Hofler,LIE,0,00:29:00,00:00:00,00:42:07,00:00:00,00:40:22,20,01:51:30,Elite Men
Peter,Geiger,LIE,0,00:28:48,00:00:00,00:50:57,00:00:00,00:34:37,21,01:54:22,Elite Men
Norbert,Wyser,SUI,0,00:28:30,00:00:00,00:51:40,00:00:00,00:36:35,22,01:56:46,Elite Men
Marianne,Vlasveld,NED,0,00:23:31,00:00:00,00:38:22,00:00:00,00:25:23,1,01:27:16,Elite Women
Sigrid,Lang,GER,0,00:23:55,00:00:00,00:38:18,00:00:00,00:25:32,2,01:27:45,Elite Women
Karin,Moebas,SUI,0,00:25:10,00:00:00,00:41:14,00:00:00,00:27:24,3,01:33:48,Elite Women
Gabi,Pauli,GER,0,00:24:43,00:00:00,00:40:41,00:00:00,00:30:51,4,01:36:15,Elite Women
Anna,Serra,ESP,0,00:24:45,00:00:00,00:46:13,00:00:00,00:29:06,5,01:40:05,Elite Women
Brigitta,Kasper,SUI,0,00:26:43,00:00:00,00:41:31,00:00:00,00:31:53,6,01:40:09,Elite Women
Ana,Casares,ESP,0,00:23:32,00:00:00,00:46:28,00:00:00,00:33:26,7,01:43:27,Elite Women
Inmaculada,Pereiro,ESP,0,00:23:54,00:00:00,00:48:18,00:00:00,00:33:49,8,01:46:00,Elite Women
