Bevölkerung des Freistaates Sachsen nach ausgewählten Altersgruppen,,,,
Landtagswahlkreis Freiberg 2 - Variante 1,,,,
Alter von ... bis                     unter ... Jahren,2011,2015.0,2020.0,2025.0
1 000,1 000,,,
unter 20,11056,10747.0,10216.0,9489.0
  20 - 65,44505,40302.0,36404.0,33304.0
  65 und mehr,18136,18368.0,19310.0,19832.0
  Insgesamt,73697,69417.0,65930.0,62625.0
%,%,,,
unter 20,15.001967515638356,15.481798406730341,15.49522220536933,15.152095808383233
  20 - 65,60.38916102419366,58.057824452223514,55.21613832853026,53.180039920159686
  65 und mehr,24.608871460167986,26.460377141046145,29.288639466100406,31.667864271457084
  Insgesamt,100,100.0,100.0,100.0
Abhängigkeitsquotient,Abhängigkeitsquotient,,,
Jugendquotient,24.84215256712729,26.666170413378985,28.062850236237775,28.492073024261348
Altenquotient,40.75047747444107,45.575901940350356,53.04362158004615,59.54840259428297
Gesamtquotient,65.59263004156837,72.24207235372934,81.10647181628391,88.04047561854432
,,,,
Gebietsstand:,1. Januar 2012,,,
,,,,
Quelle:,2011 Bevölkerungsfortschreibung auf Basis der Registerdaten vom 03. Oktober 1990,,,
,2012 - 2025 Bevölkerungsprognose,,,
,,,,
Bevölkerung jeweils am 31. Dezember,,,,
,,,,
"Prognoseergebnisse werden bei der Veröffentlichung immer auf volle Hundert gerundet. Alle Berechnungen basieren jedoch auf ungerundeten Werten. Beim Download der Daten werden Ihnen die ungerundeten Daten zur Verfügung gestellt, damit Sie Ihre eigenen Berechnungen genauer durchführen können. Die Darstellung der Ergebnisse sollte dann aber wieder gerundet erfolgen.","Prognoseergebnisse werden bei der Veröffentlichung immer auf volle Hundert gerundet. Alle Berechnungen basieren jedoch auf ungerundeten Werten. Beim Download der Daten werden Ihnen die ungerundeten Daten zur Verfügung gestellt, damit Sie Ihre eigenen Berechnungen genauer durchführen können. Die Darstellung der Ergebnisse sollte dann aber wieder gerundet erfolgen.",,,
