People QuickFacts,Neenah,Wisconsin
"Population, 2012 estimate    ","25,763","5,726,398"
"Population, 2010 (April 1) estimates base    ","25,504","5,686,986"
"Population, percent change, April 1, 2010 to July 1, 2012    ",1.0%,0.7%
"Population, 2010    ","25,501","5,686,986"
"Persons under 5 years, percent, 2010    ",7.1%,6.3%
"Persons under 18 years, percent, 2010    ",25.0%,23.6%
"Persons 65 years and over, percent,  2010    ",12.7%,13.7%
"Female persons, percent, 2010    ",51.1%,50.4%
,,
"White alone, percent, 2010 (a)    ",93.7%,86.2%
"Black or African American alone, percent, 2010 (a)    ",1.3%,6.3%
"American Indian and Alaska Native alone, percent, 2010 (a)    ",0.7%,1.0%
"Asian alone, percent, 2010 (a)    ",1.4%,2.3%
"Native Hawaiian and Other Pacific Islander alone, percent, 2010 (a)    ",Z,0.0%
"Two or More Races, percent, 2010    ",1.5%,1.8%
"Hispanic or Latino, percent, 2010 (b)    ",3.8%,5.9%
"White alone, not Hispanic or Latino, percent, 2010    ",91.6%,83.3%
,,
"Living in same house 1 year & over, percent, 2007-2011    ",87.2%,85.5%
"Foreign born persons, percent, 2007-2011    ",4.3%,4.6%
"Language other than English spoken at home, percent age 5+, 2007-2011    ",6.1%,8.5%
"High school graduate or higher, percent of persons age 25+, 2007-2011    ",92.8%,89.8%
"Bachelor's degree or higher, percent of persons age 25+, 2007-2011    ",28.8%,26.0%
"Veterans, 2007-2011    ","1,878","431,479"
"Mean travel time to work (minutes), workers age 16+, 2007-2011    ",18.7,21.5
,,
"Housing units, 2010    ","11,313","2,624,358"
"Homeownership rate, 2007-2011    ",69.4%,69.1%
"Housing units in multi-unit structures, percent, 2007-2011    ",26.8%,25.4%
"Median value of owner-occupied housing units, 2007-2011    ","$131,800","$169,700"
"Households, 2007-2011    ","10,389","2,279,738"
"Persons per household, 2007-2011    ",2.42,2.42
"Per capita money income in the past 12 months (2011 dollars), 2007-2011    ","$29,294","$27,192"
"Median household income, 2007-2011    ","$52,085","$52,374"
"Persons below poverty level, percent, 2007-2011    ",8.4%,12.0%
,,
Business QuickFacts,Neenah,Wisconsin
"Total number of firms, 2007    ","1,808","433,797"
"Black-owned firms, percent, 2007    ",F,2.6%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",F,0.6%
"Asian-owned firms, percent, 2007    ",S,1.6%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,S
"Hispanic-owned firms, percent, 2007    ",F,1.3%
"Women-owned firms, percent, 2007    ",23.2%,25.9%
,,
"Manufacturers shipments, 2007 ($1000)    ","2,197,171","163,563,195"
"Merchant wholesaler sales, 2007 ($1000)    ","199,398","59,996,244"
"Retail sales, 2007 ($1000)    ","408,761","72,283,321"
"Retail sales per capita, 2007    ","$16,391","$12,904"
"Accommodation and food services sales, 2007 ($1000)    ","47,321","9,247,311"
,,
Geography QuickFacts,Neenah,Wisconsin
"Land area in square miles, 2010    ",9.23,"54,157.80"
"Persons per square mile, 2010    ","2,764.0",105
FIPS Code    ,55750,55
Counties    ,"Winnebago County
 ",
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
