U.S. Energy Information Administration,,,,,,,,
July 2014 Monthly Energy Review,,,,,,,,
,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,
,,,,,,,,
"Release Date: July 28, 2014",,,,,,,,
"Next Update: August 26, 2014",,,,,,,,
,,,,,,,,
Table 4.4 Natural Gas in Underground Storage,,,,,,,,
,,,,,,,,
Annual Total,"Natural Gas in Underground Storage, End of Period, Base Gas","Natural Gas in Underground Storage, End of Period, Working Gas","Natural Gas in Underground Storage, End of Period, Total","Change in Working Gas From Same Period Previous Year, Volume","Change in Working Gas From Same Period Previous Year, Percent","Natural Gas Storage Activity, Withdrawals","Natural Gas Storage Activity, Injections","Natural Gas Storage Activity, Net"
,(Billion Cubic Feet),(Billion Cubic Feet),(Billion Cubic Feet),(Billion Cubic Feet),(Percent),(Billion Cubic Feet),(Billion Cubic Feet),(Billion Cubic Feet)
1949,Not Available,Not Available,Not Available,Not Available,Not Available,106.368,172.051,-65.683
1950,Not Available,Not Available,Not Available,Not Available,Not Available,175.26,229.752,-54.492
1951,Not Available,Not Available,Not Available,Not Available,Not Available,209.428,347.69,-138.262
1952,Not Available,Not Available,Not Available,Not Available,Not Available,221.909,398.593,-176.684
1953,Not Available,Not Available,Not Available,Not Available,Not Available,246.802,404.838,-158.036
1954,816.664,464.646,1281.31,Not Available,Not Available,330.177,432.283,-102.106
1955,863.188,505.079,1368.267,40.433,8.7,437.251,505.185,-67.934
1956,918.724,583.31,1502.034,78.231,15.5,452.762,589.232,-136.47
1957,1001.177,673.212,1674.389,89.902,15.4,480.981,672.377,-191.396
1958,1056.199,707.657,1763.856,34.445,5.1,621.091,704.172,-83.081
1959,Not Available,Not Available,1901.198,Not Available,Not Available,668.743,787.485,-118.742
1960,Not Available,Not Available,2184.003,Not Available,Not Available,712.658,844.352,-131.694
1961,Not Available,Not Available,2344.417,Not Available,Not Available,698.05,843.666,-145.616
1962,1571.331,933.113,2504.444,Not Available,Not Available,854.336,940.823,-86.487
1963,1737.972,1006.74,2744.712,73.627,7.9,916.72,1047.492,-130.772
1964,1781.089,1158.675,2939.764,151.935,15.1,885.307,1014.814,-129.507
1965,1847.851,1242.094,3089.945,83.419,7.2,959.865,1077.98,-118.115
1966,1957.955,1266.814,3224.769,24.72,2,1141.614,1210.469,-68.855
1967,2057.887,1318.284,3376.171,51.47,4.1,1132.534,1317.363,-184.829
1968,2128.477,1366.267,3494.744,47.983,3.6,1329.536,1425.075,-95.539
1969,2180.881,1421.027,3601.908,54.76,4,1379.488,1496.407,-116.919
1970,2325.656,1678.271,4003.927,257.244,18.1,1458.607,1856.767,-398.16
1971,2484.908,1840.008,4324.916,161.737,9.6,1507.63,1839.398,-331.768
1972,2750.788,1729.367,4480.155,-110.641,-6,1757.218,1892.952,-135.734
1973,2864,2034,4898,305,17.6,1532.82,1974.324,-441.504
1974,2912,2050,4962,16,0.8,1700.546,1784.209,-83.663
1975,3162,2212,5374,162,7.9,1760,2104,-344
1976,3323,1926,5250,-286,-12.9,1921,1756,165
1977,3391,2475,5866,549,28.5,1750,2307,-557
1978,3473,2547,6020,72,2.9,2158,2278,-120
