,,Dealers**,Dealers**,Buyside,Buyside,TOTAL,TOTAL
Product,Product,Cleared***,Uncleared,Cleared,Uncleared,Cleared,Uncleared
Single - Name*,Corporate,532129,8276549,532129,800375,1064259,9076924
Single - Name*,Loans,,28510,,1121,,29631
Single - Name*,Municipal,,3291,,114,,3405
Single - Name*,Recovery,,,,,,
Single - Name*,Sovereign,33254,2638124,33254,245451,66507,2883575
Index Tranche,Asia,,"<1,000",,<100,,"<1,000"
Index Tranche,Europe,,809589,,88432,,898021
Index Tranche,North America,,1171962,,37142,,1209104
Index,Asia,1277,319800,1568,48758,2844,368557
Index,Europe,269320,2565924,269596,379311,538916,2945235
Index,North America,510412,1588891,529135,314769,1039548,1903660
Other,Exotic,,,,,,
Other,Swaptions,,,,,,
Other,Total Return Swap,,,,,,
TOTAL*,TOTAL*,1346392,17402639,1365682,1915473,2712074,19318112
"Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type (millions of USD), all participant types, tenors and currencies. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type (millions of USD), all participant types, tenors and currencies. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type (millions of USD), all participant types, tenors and currencies. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type (millions of USD), all participant types, tenors and currencies. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type (millions of USD), all participant types, tenors and currencies. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type (millions of USD), all participant types, tenors and currencies. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type (millions of USD), all participant types, tenors and currencies. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated gross notional amount outstanding, November 30 weekly snapshot, by product type (millions of USD), all participant types, tenors and currencies. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade."
Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.
*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.
**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.
***See Explanatory Notes for cleared and uncleared descriptions.,***See Explanatory Notes for cleared and uncleared descriptions.,***See Explanatory Notes for cleared and uncleared descriptions.,***See Explanatory Notes for cleared and uncleared descriptions.,***See Explanatory Notes for cleared and uncleared descriptions.,***See Explanatory Notes for cleared and uncleared descriptions.,***See Explanatory Notes for cleared and uncleared descriptions.,***See Explanatory Notes for cleared and uncleared descriptions.
The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.
