"HAS - Hasbro, Inc.",
Date,Short Percentage of Float
2014-02-14,12.94%
2014-01-31,13.80%
2014-01-15,12.07%
2013-12-31,12.63%
2013-12-13,13.09%
2013-11-29,13.34%
2013-11-15,15.03%
2013-10-31,16.21%
2013-10-15,16.98%
2013-09-30,17.32%
2013-09-13,19.08%
2013-08-30,18.10%
2013-08-15,17.81%
2013-07-31,16.86%
2013-07-15,16.49%
2013-06-28,17.00%
2013-06-14,16.62%
2013-05-31,16.32%
2013-05-15,16.65%
2013-04-30,16.75%
2013-04-15,17.25%
2013-03-28,17.98%
2013-03-15,0.00%
2013-02-28,19.96%
2013-02-15,21.21%
2013-01-31,20.76%
2013-01-15,18.08%
2012-12-31,16.37%
2012-12-14,15.31%
2012-11-30,13.80%
2012-11-15,14.03%
2012-10-31,13.63%
2012-10-15,12.57%
2012-09-28,13.02%
2012-09-14,12.59%
2012-08-31,12.46%
2012-08-15,12.91%
2012-07-31,13.03%
2012-07-13,12.15%
2012-06-29,11.54%
2012-06-15,12.10%
2012-05-31,10.74%
2012-05-15,10.72%
2012-04-30,9.56%
2012-04-13,7.58%
2012-03-30,7.39%
2012-03-15,0.00%
2012-02-29,6.32%
2012-02-15,6.05%
2012-01-31,5.47%
2012-01-13,5.70%
2011-12-30,4.83%
2011-12-15,4.75%
2011-11-30,4.67%
2011-11-15,4.82%
2011-10-31,4.14%
2011-10-14,3.31%
2011-09-30,3.83%
2011-09-15,4.82%
2011-08-31,4.45%
2011-08-15,4.26%
2011-07-29,3.05%
2011-07-15,3.57%
2011-06-30,3.28%
2011-06-15,3.39%
2011-05-31,3.26%
2011-05-13,3.28%
2011-04-29,3.06%
2011-04-15,3.03%
2011-03-31,2.83%
2011-03-15,0.00%
2011-02-28,4.63%
2011-02-15,4.62%
2011-01-31,4.80%
2011-01-14,3.99%
2010-12-31,2.52%
2010-11-30,3.20%
2010-11-15,2.66%
2010-10-29,2.45%
2010-10-15,2.36%
2010-09-30,2.31%
2010-09-15,2.30%
2010-08-31,2.31%
2010-08-13,2.49%
2010-07-30,1.67%
2010-07-15,1.91%
2010-06-30,3.46%
2010-06-15,4.40%
2010-05-28,4.77%
2010-05-14,4.09%
2010-04-30,3.49%
2010-04-15,5.57%
2010-03-31,7.10%
2010-03-15,7.84%
2010-02-26,0.00%
2010-02-12,6.06%
2010-01-29,6.01%
2010-01-15,5.50%
2009-12-31,5.68%
2009-12-15,5.70%
2009-11-30,5.08%
2009-11-13,4.68%
2009-10-30,4.63%
2009-10-15,5.58%
2009-09-30,0.00%
2009-09-15,0.00%
2009-08-31,4.76%
2009-08-14,3.75%
2009-07-31,2.96%
2009-07-15,2.92%
2009-06-30,3.05%
2009-06-15,3.31%
2009-05-29,2.98%
2009-05-15,2.91%
2009-04-30,3.43%
2009-04-15,3.06%
2009-03-31,2.74%
2009-03-13,3.91%
2009-02-27,4.63%
2009-02-13,5.00%
2009-01-30,6.10%
2009-01-15,6.98%
2008-12-31,6.72%
2008-12-15,7.27%
2008-11-28,8.97%
2008-11-14,8.05%
2008-10-31,8.41%
2008-10-15,9.02%
2008-09-30,12.82%
2008-09-15,10.11%
2008-08-29,9.92%
2008-08-15,10.24%
2008-07-31,10.67%
2008-07-15,8.73%
2008-06-30,7.34%
2008-06-13,7.67%
2008-05-30,7.80%
2008-05-15,6.59%
2008-04-30,5.95%
2008-04-15,5.96%
2008-03-31,7.31%
2008-03-14,7.20%
2008-02-29,6.57%
2008-02-15,4.14%
2008-01-31,4.76%
2008-01-15,5.71%
2007-12-31,5.68%
2007-12-11,6.32%
2007-11-27,6.36%
2007-11-09,5.90%
2007-10-26,5.81%
2007-10-10,6.08%
2007-09-25,6.20%
2007-09-11,6.65%
2007-08-10,6.64%
2007-07-10,7.73%
2007-06-12,7.84%
2007-05-10,3.12%
2007-04-10,2.29%
2007-03-12,2.54%
2007-02-12,2.84%
2007-01-09,2.55%
2006-12-12,2.33%
2006-11-10,2.57%
2006-10-10,1.56%
2006-09-12,1.62%
2006-08-10,1.04%
2006-07-11,1.42%
2006-06-12,1.64%
2006-05-10,2.23%
2006-04-10,2.55%
2006-03-10,2.84%
2006-02-10,2.39%
2006-01-10,3.40%
2005-12-12,3.19%
2005-11-10,3.26%
2005-10-11,0.00%
2005-09-12,0.00%
2005-08-10,0.00%
2005-07-12,0.00%
2005-06-10,0.00%
2005-05-10,0.00%
2005-04-12,0.00%
2005-03-10,0.00%
2005-02-10,0.00%
2005-01-11,0.00%
2004-12-10,0.00%
2004-11-10,0.00%
2004-10-12,0.00%
2004-09-10,0.00%
2004-08-10,0.00%
2004-07-12,0.00%
2004-06-09,0.00%
2004-05-11,0.00%
2004-04-12,0.00%
2004-03-10,0.00%
2004-02-10,0.00%
2004-01-12,0.00%
2003-12-10,0.00%
2003-11-11,0.00%
2003-10-10,0.00%
2003-09-10,0.00%
2003-08-12,0.00%
2003-07-10,0.00%
2003-06-10,0.00%
2003-05-12,0.00%
2003-04-10,0.00%
2003-03-11,0.00%
2003-02-11,0.00%
2003-01-10,0.00%
2002-12-10,0.00%
2002-11-12,0.00%
2002-10-10,0.00%
2002-09-10,0.00%
2002-08-12,0.00%
2002-07-10,0.00%
2002-06-11,0.00%
2002-05-10,0.00%
2002-04-10,0.00%
2002-03-12,0.00%
2002-02-12,0.00%
2002-01-10,0.00%
2001-12-11,0.00%
2001-11-12,0.00%
2001-10-10,0.00%
2001-09-05,0.00%
2001-08-10,0.00%
2001-07-10,0.00%
2001-06-12,0.00%
2001-05-10,0.00%
2001-04-09,0.00%
2001-03-12,0.00%
2001-02-12,0.00%
2001-01-09,0.00%
2000-12-12,0.00%
2000-11-10,0.00%
2000-10-10,0.00%
2000-09-12,0.00%
2000-08-10,0.00%
2000-07-11,0.00%
2000-06-12,0.00%
2000-05-10,0.00%
2000-03-10,0.00%
2000-02-10,0.00%
2000-01-11,0.00%
1999-12-10,0.00%
1999-11-10,0.00%
1999-10-12,0.00%
1999-09-10,0.00%
1999-08-10,0.00%
1999-07-12,0.00%
1999-06-10,0.00%
1999-05-11,0.00%
1999-04-12,0.00%
1999-03-10,0.00%
1999-02-09,0.00%
1999-01-08,0.00%
1998-12-08,0.00%
1998-11-06,0.00%
1998-10-08,0.00%
1998-09-08,0.00%
1998-08-07,0.00%
1998-07-08,0.00%
1998-06-08,0.00%
1998-05-08,0.00%
1998-04-07,0.00%
1998-03-06,0.00%
1998-02-06,0.00%
1998-01-08,0.00%
1997-12-08,0.00%
1997-11-07,0.00%
1997-10-08,0.00%
1997-09-08,0.00%
1997-08-08,0.00%
1997-07-08,0.00%
1997-06-06,0.00%
1997-05-08,0.00%
1997-04-08,0.00%
1997-03-07,0.00%
1997-02-07,0.00%
1997-01-08,0.00%
1996-12-06,0.00%
1996-11-08,0.00%
1996-10-08,0.00%
1996-09-06,0.00%
1996-08-08,0.00%
1996-07-08,0.00%
1996-06-07,0.00%
1996-05-08,0.00%
1996-04-08,0.00%
1996-03-08,0.00%
1996-02-08,0.00%
1996-01-08,0.00%
1995-12-08,0.00%
1995-11-08,0.00%
1995-10-06,0.00%
1995-09-08,0.00%
1995-08-08,0.00%
1995-07-07,0.00%
1995-06-08,0.00%
1995-05-08,0.00%
1995-04-06,0.00%
1995-03-08,0.00%
1995-02-08,0.00%
1995-01-06,0.00%
