,2009.0,2008.0
Average Hours for QSA Significant Desk Audits,5.07,3.55
Average Costs for QSA Significant Desk Audits,547.56,383.4
Average Hours for QSA Desk Audits,10.23,9.9
Average Costs for QSA Desk Audits,1104.84,1069.2
Average Hours for QSA On-Site Audits,13.0,12.96
Average Costs for QSA On-Site Audits,1615.7,1642.13
Average Hours for QSA Live On-Site Audits,27.1,34.55
Average Costs for QSA Live On-Site Audits,3440.29,4521.26
,,
Average Hours for HQ Desk Audits,13.0,
Average Costs for HQ Desk Audits,1404.0,
Average Hours for HQ On-Site Audits,15.5,
Average Costs for HQ On-Site Audits,2124.21,
,,
Average Hours for PVP Desk Audits,9.92,17.91
Average Costs for PVP Desk Audits,1071.36,1934.28
Average Hours for PVP Significant Desk Audits,6.25,6.73
Average Costs for PVP Significant Desk Audits,675.0,726.84
Average Hours for PVP Misc. On-Site Audits,24.35,29.04
Average Costs for PVP Misc. On-Site Audits,3226.56,3824.0
Average Hours for PVP On-Site Audits,47.24,56.72
Average Costs for PVP On-Site Audits,6219.26,7858.18
,,
Average Hours for Guide 65 Desk Audits,18.84,22.5
Average Costs for Guide 65 Desk Audits,2034.72,2430.0
Average Hours for Guide 65 On-Site Audits,48.42,50.64
Average Costs for Guide 65 On-Site Audits,6170.18,6610.99
,,
Average Hours for NHTC Significant Desk Audits,3.67,
Average Costs for NHTC Significant Desk Audit,396.36,
Average Hours for NHTC Desk Audits,,13.5
Average Costs for NHTC Desk Audits,,1458.0
Average Hours for NHTC On-Site Audits,22.34,21.42
Average Costs for NHTC On-Site Audits,2768.94,2731.35
,,
Average Hours for PFEU Desk Audits,,12.0
Average Costs for PFEU Desk Audits,,1296.0
Average Hours for PFEU On-Site Audits,19.29,25.78
Average Costs for PFEU On-Site Audits,2472.23,3345.02
,,
Average Hours for EL On-Site Audits,18.34,17.03
Average Costs for EL On-Site Audits,2717.61,2422.01
,,
Average Hours for NOP Scope Desk Audits,11.5,
Average Costs for NOP Scope Desk Audits,1242.0,
Average Hours for NOP Initial Desk Audits,37.44,35.95
Average Costs for NOP Initial Desk Audits,4043.52,3882.6
Average Hours for Domestic NOP On-Site Audits,69.05,67.69
Average Costs for Domestic NOP On-Site Audits,9119.79,10326.0
Average Hours for Foreign NOP On-Site Audits,150.6,172.11
Average Costs for Foreign NOP On-Site Audits,23362.25,26980.99
,,
Average EV Export SOV,108.0,108.0
Average EV SOV-FP,108.0,108.0
Average EV Supplier List,108.0,108.0
Average EV Product List,108.0,108.0
