Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State,Number of HECM Endorsements By Fiscal Year and State
Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012,Data through 06/30/2012
,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year,Endorsement Fiscal Year
State,1990,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,Total
AK,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,30.0,11.0,4.0,9.0,10.0,46.0,23.0,29.0,59.0,74.0,85.0,91.0,95.0,38.0,616
AL,0,0.0,4.0,7.0,21.0,21.0,23.0,20.0,30.0,27.0,30.0,39.0,73.0,84.0,216.0,180.0,298.0,622.0,914.0,1357.0,1128.0,1216.0,702.0,7012
AR,0,0.0,0.0,0.0,6.0,46.0,26.0,27.0,49.0,38.0,33.0,27.0,61.0,90.0,115.0,103.0,177.0,387.0,669.0,784.0,652.0,732.0,415.0,4437
AZ,0,0.0,36.0,100.0,86.0,76.0,126.0,173.0,181.0,197.0,124.0,176.0,230.0,340.0,597.0,821.0,2725.0,4286.0,4405.0,3579.0,1676.0,1448.0,751.0,22133
CA,0,20.0,226.0,309.0,465.0,514.0,443.0,613.0,1206.0,1324.0,1031.0,1266.0,2168.0,3459.0,10230.0,13114.0,22766.0,20206.0,15714.0,15719.0,11010.0,9830.0,5402.0,137035
CO,34,16.0,77.0,110.0,236.0,179.0,287.0,302.0,324.0,363.0,307.0,413.0,703.0,866.0,1359.0,1513.0,1944.0,1734.0,1649.0,2062.0,1400.0,1377.0,814.0,18069
CT,0,0.0,0.0,7.0,68.0,129.0,78.0,119.0,300.0,226.0,230.0,227.0,334.0,367.0,682.0,906.0,1563.0,2085.0,1773.0,1676.0,1191.0,1061.0,622.0,13644
DC,0,0.0,7.0,30.0,43.0,73.0,31.0,38.0,62.0,40.0,36.0,46.0,64.0,78.0,186.0,255.0,497.0,685.0,677.0,727.0,607.0,585.0,322.0,5089
DE,0,0.0,4.0,1.0,11.0,11.0,11.0,14.0,52.0,33.0,26.0,15.0,26.0,35.0,69.0,87.0,173.0,374.0,550.0,702.0,458.0,393.0,213.0,3258
FL,0,10.0,34.0,45.0,146.0,85.0,87.0,203.0,338.0,500.0,376.0,302.0,669.0,1341.0,3042.0,3111.0,7963.0,17185.0,19430.0,15090.0,7090.0,4969.0,2686.0,84702
GA,9,17.0,47.0,37.0,40.0,85.0,51.0,50.0,84.0,66.0,101.0,115.0,248.0,347.0,537.0,512.0,865.0,1409.0,1897.0,2424.0,1952.0,1746.0,846.0,13485
HI,0,0.0,3.0,23.0,23.0,40.0,6.0,14.0,36.0,44.0,29.0,50.0,37.0,46.0,71.0,126.0,498.0,752.0,751.0,580.0,424.0,324.0,181.0,4058
IA,0,2.0,3.0,0.0,4.0,15.0,10.0,22.0,32.0,28.0,29.0,33.0,67.0,131.0,196.0,150.0,188.0,324.0,367.0,384.0,281.0,361.0,225.0,2852
ID,0,0.0,16.0,21.0,44.0,30.0,30.0,65.0,48.0,56.0,60.0,94.0,141.0,111.0,278.0,219.0,457.0,684.0,778.0,889.0,533.0,498.0,233.0,5285
IL,0,0.0,27.0,99.0,254.0,261.0,189.0,257.0,510.0,439.0,268.0,212.0,465.0,644.0,1089.0,1236.0,1940.0,3059.0,3347.0,4258.0,2649.0,1878.0,1180.0,24261
IN,0,7.0,14.0,16.0,19.0,51.0,61.0,84.0,230.0,154.0,134.0,119.0,233.0,320.0,446.0,427.0,665.0,930.0,1060.0,1078.0,786.0,790.0,498.0,8122
KS,11,6.0,7.0,13.0,11.0,17.0,9.0,33.0,48.0,44.0,27.0,18.0,56.0,94.0,149.0,145.0,228.0,428.0,438.0,389.0,296.0,353.0,217.0,3037
KY,0,0.0,0.0,4.0,5.0,14.0,9.0,23.0,45.0,40.0,31.0,22.0,49.0,99.0,128.0,131.0,197.0,391.0,484.0,511.0,381.0,451.0,318.0,3333
LA,0,0.0,0.0,0.0,42.0,47.0,60.0,38.0,181.0,185.0,140.0,150.0,212.0,136.0,452.0,380.0,236.0,533.0,771.0,1224.0,1140.0,1228.0,837.0,7992
MA,0,0.0,0.0,4.0,6.0,21.0,7.0,43.0,40.0,46.0,83.0,172.0,253.0,439.0,907.0,1147.0,2263.0,3401.0,2771.0,2504.0,1760.0,1532.0,946.0,18345
MD,0,0.0,44.0,79.0,85.0,135.0,106.0,137.0,177.0,159.0,125.0,118.0,207.0,255.0,653.0,1034.0,2202.0,3676.0,4397.0,4512.0,3201.0,2486.0,1244.0,25032
ME,0,18.0,15.0,17.0,25.0,6.0,25.0,22.0,30.0,27.0,22.0,34.0,34.0,72.0,140.0,176.0,305.0,415.0,468.0,519.0,365.0,378.0,251.0,3364
MI,6,1.0,0.0,76.0,75.0,57.0,49.0,71.0,100.0,227.0,316.0,403.0,657.0,859.0,1496.0,1767.0,2053.0,2937.0,3169.0,2085.0,1062.0,793.0,510.0,18769
MN,15,26.0,24.0,63.0,86.0,54.0,82.0,63.0,68.0,78.0,84.0,134.0,245.0,418.0,817.0,693.0,1027.0,1277.0,1140.0,1205.0,818.0,1038.0,440.0,9895
MO,12,12.0,6.0,25.0,33.0,26.0,26.0,51.0,97.0,65.0,60.0,46.0,121.0,185.0,427.0,378.0,754.0,1678.0,1722.0,1607.0,1026.0,941.0,606.0,9904
MS,0,0.0,0.0,0.0,9.0,6.0,13.0,7.0,23.0,26.0,19.0,24.0,38.0,35.0,85.0,74.0,72.0,283.0,428.0,511.0,397.0,528.0,370.0,2948
MT,0,0.0,4.0,6.0,7.0,18.0,25.0,46.0,53.0,55.0,35.0,41.0,70.0,97.0,98.0,94.0,160.0,210.0,250.0,465.0,324.0,336.0,164.0,2558
NC,8,10.0,33.0,78.0,97.0,74.0,73.0,163.0,174.0,134.0,114.0,147.0,203.0,398.0,438.0,449.0,756.0,1060.0,1554.0,2038.0,1544.0,1885.0,1212.0,12642
ND,0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,5.0,3.0,2.0,8.0,8.0,19.0,25.0,26.0,40.0,50.0,64.0,49.0,41.0,53.0,17.0,418
NE,3,1.0,5.0,4.0,1.0,8.0,7.0,5.0,21.0,22.0,32.0,22.0,60.0,97.0,147.0,197.0,239.0,260.0,295.0,273.0,218.0,237.0,107.0,2261
NH,3,9.0,0.0,0.0,64.0,47.0,20.0,15.0,32.0,12.0,26.0,21.0,42.0,55.0,182.0,158.0,382.0,571.0,497.0,539.0,384.0,336.0,221.0,3616
NJ,0,35.0,50.0,88.0,135.0,283.0,151.0,281.0,396.0,375.0,343.0,363.0,488.0,648.0,1412.0,1450.0,2480.0,3875.0,3701.0,3940.0,3073.0,3016.0,1806.0,28389
NM,18,16.0,20.0,13.0,26.0,8.0,21.0,36.0,59.0,54.0,63.0,54.0,117.0,105.0,201.0,199.0,314.0,554.0,614.0,1011.0,725.0,625.0,344.0,5197
NV,0,0.0,7.0,10.0,20.0,19.0,28.0,41.0,57.0,72.0,41.0,60.0,152.0,250.0,605.0,904.0,1559.0,1897.0,1826.0,1018.0,425.0,401.0,221.0,9613
NY,18,53.0,106.0,134.0,367.0,443.0,319.0,494.0,717.0,570.0,507.0,700.0,913.0,1149.0,1812.0,1925.0,3328.0,4602.0,4341.0,6113.0,4595.0,4342.0,3151.0,40699
OH,1,1.0,4.0,31.0,61.0,122.0,107.0,163.0,272.0,236.0,186.0,214.0,438.0,506.0,790.0,836.0,1117.0,1778.0,1787.0,1468.0,1140.0,1216.0,770.0,13244
OK,0,0.0,0.0,7.0,83.0,67.0,48.0,56.0,130.0,124.0,79.0,73.0,108.0,124.0,189.0,288.0,480.0,705.0,857.0,873.0,649.0,643.0,450.0,6033
OR,0,0.0,6.0,17.0,14.0,70.0,81.0,108.0,217.0,229.0,146.0,156.0,286.0,355.0,642.0,747.0,1492.0,2378.0,2537.0,3104.0,1799.0,1344.0,702.0,16430
PA,0,28.0,45.0,109.0,146.0,245.0,252.0,433.0,318.0,307.0,297.0,262.0,473.0,527.0,906.0,1064.0,1923.0,3604.0,3936.0,3669.0,2879.0,3298.0,2077.0,26798
PR,0,0.0,0.0,0.0,0.0,46.0,13.0,9.0,5.0,78.0,12.0,6.0,2.0,4.0,34.0,45.0,19.0,1.0,614.0,1880.0,1745.0,1684.0,1176.0,7373
RI,5,62.0,37.0,110.0,85.0,64.0,77.0,64.0,38.0,40.0,33.0,58.0,62.0,63.0,144.0,198.0,338.0,536.0,483.0,386.0,245.0,232.0,160.0,3520
SC,0,1.0,19.0,22.0,21.0,46.0,11.0,12.0,21.0,24.0,37.0,44.0,87.0,124.0,249.0,214.0,381.0,761.0,1070.0,1407.0,1256.0,1287.0,697.0,7791
SD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,7.0,8.0,8.0,23.0,73.0,45.0,73.0,73.0,98.0,103.0,71.0,94.0,39.0,736
TN,2,3.0,0.0,0.0,0.0,50.0,28.0,56.0,70.0,82.0,83.0,63.0,125.0,182.0,256.0,206.0,411.0,911.0,1194.0,1641.0,1199.0,1339.0,993.0,8894
TX,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,692.0,943.0,2471.0,2654.0,4122.0,5554.0,6573.0,7591.0,6309.0,6674.0,3782.0,47697
UT,6,0.0,5.0,62.0,130.0,142.0,171.0,178.0,166.0,178.0,111.0,122.0,241.0,390.0,540.0,481.0,536.0,982.0,1608.0,1716.0,1051.0,999.0,785.0,10600
VA,0,0.0,31.0,134.0,127.0,87.0,99.0,114.0,197.0,314.0,365.0,337.0,415.0,422.0,766.0,797.0,1528.0,2969.0,3566.0,4073.0,3096.0,2810.0,1541.0,23788
VI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,7.0,0.0,2.0,19
VT,6,9.0,4.0,21.0,5.0,33.0,3.0,13.0,22.0,6.0,6.0,16.0,30.0,27.0,48.0,55.0,81.0,134.0,141.0,194.0,129.0,138.0,87.0,1208
WA,0,26.0,49.0,24.0,125.0,210.0,100.0,340.0,413.0,366.0,253.0,342.0,477.0,525.0,885.0,961.0,1727.0,2776.0,3090.0,3173.0,2369.0,1827.0,953.0,21011
WI,0,0.0,0.0,0.0,2.0,56.0,86.0,62.0,163.0,131.0,98.0,55.0,96.0,132.0,340.0,295.0,473.0,934.0,1091.0,1064.0,795.0,890.0,470.0,7233
WV,0,0.0,0.0,0.0,3.0,15.0,22.0,9.0,27.0,24.0,20.0,14.0,25.0,24.0,63.0,49.0,96.0,255.0,256.0,200.0,176.0,181.0,118.0,1577
WY,0,0.0,0.0,8.0,3.0,13.0,7.0,11.0,11.0,16.0,9.0,12.0,30.0,34.0,61.0,37.0,140.0,137.0,121.0,186.0,140.0,175.0,114.0,1265
,,,,,,,,,,,,,,,,,,,,,,0.0,,0
,,,,,,,,,,,,,,,,,,,,,,,,
Total,157,389.0,1019.0,1964.0,3365.0,4166.0,3596.0,5207.0,7895.0,7923.0,6637.0,7789.0,13048.0,18084.0,37790.0,43082.0,76280.0,107367.0,112013.0,114639.0,78758.0,73093.0,43026.0,767287
