People QuickFacts,East Stroudsburg,Pennsylvania
"Population, 2011 estimate    ","9,950","12,743,948"
"Population, 2010 (April 1) estimates base    ","9,840","12,702,379"
"Population, percent change, April 1, 2010 to July 1, 2011    ",1.1%,0.3%
"Population, 2010    ","9,840","12,702,379"
"Persons under 5 years, percent, 2010    ",4.6%,5.7%
"Persons under 18 years, percent, 2010    ",15.5%,22.0%
"Persons 65 years and over, percent,  2010    ",13.1%,15.4%
"Female persons, percent, 2010    ",53.7%,51.3%
,,
"White persons, percent, 2010 (a)    ",79.2%,81.9%
"Black persons, percent, 2010 (a)    ",11.1%,10.8%
"American Indian and Alaska Native persons, percent, 2010 (a)    ",0.2%,0.2%
"Asian persons, percent, 2010 (a)    ",2.5%,2.7%
"Native Hawaiian and Other Pacific Islander, percent, 2010 (a)    ",Z,0.0%
"Persons reporting two or more races, percent, 2010    ",3.3%,1.9%
"Persons of Hispanic or Latino origin, percent, 2010 (b)    ",11.8%,5.7%
"White persons not Hispanic, percent, 2010    ",73.2%,79.5%
,,
"Living in same house 1 year & over, percent, 2007-2011    ",77.3%,87.7%
"Foreign born persons, percent, 2007-2011    ",6.6%,5.7%
"Language other than English spoken at home, percent age 5+, 2007-2011    ",11.9%,10.0%
"High school graduate or higher, percent of persons age 25+, 2007-2011    ",88.8%,87.9%
"Bachelor's degree or higher, percent of persons age 25+, 2007-2011    ",26.3%,26.7%
"Veterans, 2007-2011    ",824,"1,007,939"
"Mean travel time to work (minutes), workers age 16+, 2007-2011    ",28.4,25.7
,,
"Housing units, 2010    ","3,456","5,567,315"
"Homeownership rate, 2007-2011    ",53.2%,70.6%
"Housing units in multi-unit structures, percent, 2007-2011    ",39.1%,20.5%
"Median value of owner-occupied housing units, 2007-2011    ","$214,300","$163,200"
"Households, 2007-2011    ","2,945","4,952,566"
"Persons per household, 2007-2011    ",2.46,2.4699999999999998
"Per capita money income in the past 12 months (2011 dollars), 2007-2011    ","$19,002","$27,824"
"Median household income, 2007-2011    ","$46,289","$51,651"
"Persons below poverty level, percent, 2007-2011    ",15.8%,12.6%
,,
Business QuickFacts,East Stroudsburg,Pennsylvania
"Total number of firms, 2007    ","1,807","981,501"
"Black-owned firms, percent, 2007    ",S,4.6%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",F,0.3%
"Asian-owned firms, percent, 2007    ",S,3.2%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,0.0%
"Hispanic-owned firms, percent, 2007    ",9.1%,2.3%
"Women-owned firms, percent, 2007    ",31.9%,27.0%
,,
"Manufacturers shipments, 2007 ($1000)    ",D,"234,840,418"
"Merchant wholesaler sales, 2007 ($1000)    ",D,"142,859,202"
"Retail sales, 2007 ($1000)    ","333,522","166,842,778"
"Retail sales per capita, 2007    ","$31,971","$13,323"
"Accommodation and food services sales, 2007 ($1000)    ","45,827","19,625,449"
,,
Geography QuickFacts,East Stroudsburg,Pennsylvania
"Land area in square miles, 2010    ",2.84,"44,742.70"
"Persons per square mile, 2010    ","3,459.9",283.9
FIPS Code    ,21872,42
Counties    ,"Monroe County
 ",
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
