"Population and Hispanic & Non-Hispanic Data, Wisconsin Counties and State, Census 2000 and 2010 Comparisons",,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, C2000 Summary File 1 and C2010 Redistricting Data File",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NOTE: 2000 data has been corrected for Count Question Resolution results,NOTE: 2000 data has been corrected for Count Question Resolution results,Population,Population,Hispanic or Latino,Hispanic or Latino,White Non-Hispanic,White Non-Hispanic,"Other Races, Non-Hispanic","Other Races, Non-Hispanic",Percent Hispanic or Latino,Percent Hispanic or Latino,Percent White Non-Hispanic,Percent White Non-Hispanic,Percent Other Non-Hispanic,Percent Other Non-Hispanic
CoFIPS,CoName,Census 2000,Census 2010,Census 2000,Census 2010,Census 2000,Census 2010,Census 2000,Census 2010,Census 2000,Census 2010,Census 2000,Census 2010,Census 2000,Census 2010
001,Adams County,19920,20875,474,783,18476,19013,970,1079,0.023795180722891565,0.037508982035928146,0.9275100401606425,0.9108023952095808,0.048694779116465865,0.051688622754491015
003,Ashland County,16866,16157,188,302,14622,13534,2056,2321,0.011146685639748606,0.018691588785046728,0.8669512628957666,0.8376555053537167,0.12190205146448477,0.1436529058612366
005,Barron County,44963,45870,430,862,43667,43567,866,1441,0.009563418811022396,0.018792238936123827,0.9711763005137558,0.9497928929583606,0.01926028067522185,0.03141486810551559
007,Bayfield County,15013,15014,91,158,13247,12955,1675,1901,0.006061413441683874,0.010523511389369921,0.882368613867981,0.8628613294258692,0.11156997269033504,0.12661515918476088
009,Brown County,226658,248007,8694,17985,203180,207702,14784,22320,0.03835734895746014,0.07251811440806107,0.8964166276945883,0.8374844258428189,0.06522602334795154,0.08999745974911999
011,Buffalo County,13804,13587,85,237,13555,13135,164,215,0.006157635467980296,0.017443144181938618,0.9819617502173283,0.9667329064546993,0.011880614314691394,0.01582394936336204
013,Burnett County,15674,15457,120,194,14563,14067,991,1196,0.007655990812811025,0.012550947790645015,0.9291182850580579,0.9100731060361001,0.06322572412913105,0.07737594617325484
015,Calumet County,40631,48971,435,1690,39064,45325,1132,1956,0.010706111097437916,0.03451022033448367,0.9614333882995743,0.9255477731718772,0.027860500602987868,0.03994200649363909
017,Chippewa County,55195,62415,289,800,53831,59028,1075,2587,0.005235981520065223,0.012817431707121685,0.9752876166319413,0.9457341985099735,0.01947640184799348,0.041448369782904754
019,Clark County,33557,34690,404,1292,32716,32865,437,533,0.012039216854903598,0.03724416258287691,0.9749381649134309,0.9473911790141251,0.013022618231665525,0.015364658402997982
021,Columbia County,52468,56833,827,1444,50476,53628,1165,1761,0.01576198825951056,0.025407773652631395,0.9620340016772128,0.9436067073707177,0.022204010063276665,0.03098551897665089
023,Crawford County,17243,16644,129,150,16693,15991,421,503,0.007481296758104738,0.009012256669069935,0.968102998318158,0.9607666426339823,0.02441570492373717,0.030221100696947847
025,Dane County,426526,488073,14387,28925,372597,399488,39542,59660,0.03373065182427332,0.059263675720640153,0.8735622212948332,0.8185005111940222,0.09270712688089354,0.12223581308533764
027,Dodge County,85897,88759,2188,3522,80563,81325,3146,3912,0.025472368068733483,0.03968048310593855,0.93790237144487,0.916245113171622,0.0366252604863965,0.04407440372243941
029,Door County,27961,27785,267,671,27228,26483,466,631,0.0095490146990451,0.024149721072521144,0.9737849147026215,0.9531401835522764,0.01666607059833339,0.02271009537520245
031,Douglas County,43287,44159,315,494,41081,40854,1891,2811,0.0072770115739136465,0.011186847528250186,0.9490378173585603,0.9251568196743586,0.04368517106752605,0.06365633279739125
033,Dunn County,39858,43857,335,626,38122,41225,1401,2006,0.00840483717196046,0.014273662129192604,0.9564453811029153,0.9399867752012222,0.03514978172512419,0.045739562669585246
035,Eau Claire County,93142,98736,879,1804,87936,90918,4327,6014,0.00943720340984733,0.018270944741532978,0.9441068476090271,0.9208191541079241,0.046455948981125594,0.06090990115054286
037,Florence County,5088,4423,23,37,4981,4287,84,99,0.004520440251572327,0.008365362875876102,0.9789701257861635,0.9692516391589419,0.01650943396226415,0.022382997965182002
039,Fond du Lac County,97296,101633,1987,4368,92528,93398,2781,3867,0.020422216740667652,0.042978166540395345,0.950994902154251,0.9189731681638837,0.0285828811050814,0.03804866529572088
041,Forest County,10024,9304,108,138,8570,7646,1346,1520,0.01077414205905826,0.014832330180567498,0.8549481245011972,0.8217970765262252,0.1342777334397446,0.16337059329320722
043,Grant County,49597,51208,280,649,48542,49296,775,1263,0.0056455027521825915,0.012673800968598657,0.9787285521301692,0.9626620840493673,0.015625945117648244,0.024664114982034056
045,Green County,33647,36842,327,1033,32858,35113,462,696,0.009718548459000803,0.028038651539004398,0.9765506583053467,0.9530698659139026,0.01373079323565251,0.01889148254709299
047,Green Lake County,19105,19051,393,743,18474,17990,238,318,0.020570531274535463,0.03900057739751194,0.9669719968594609,0.9443073854390845,0.012457471866003664,0.016692037163403495
049,Iowa County,22780,23687,75,336,22428,22904,277,447,0.003292361720807726,0.014184995989361253,0.9845478489903424,0.9669438932747921,0.012159789288849868,0.01887111073584667
051,Iron County,6861,5916,45,35,6714,5772,102,109,0.006558810668998688,0.005916159567275186,0.9785745518146043,0.9756592292089249,0.014866637516397026,0.018424611223799865
053,Jackson County,19100,20449,357,519,16990,17987,1753,1943,0.01869109947643979,0.025380214191403003,0.8895287958115183,0.8796029145679495,0.09178010471204189,0.09501687124064746
055,Jefferson County,75767,83686,3078,5555,71346,75903,1343,2228,0.04062454630643948,0.06637908371770666,0.9416500587326937,0.9069975862151375,0.017725394960866867,0.026623330067155795
057,Juneau County,24316,26664,347,687,23318,24706,651,1271,0.014270439216976476,0.025765076507650767,0.9589570653067939,0.9265676567656765,0.026772495476229643,0.047667266726672666
059,Kenosha County,149577,166426,10757,19592,127287,129892,11533,16942,0.07191613683921994,0.1177219905543605,0.8509797629314667,0.7804790116928845,0.07710410022931333,0.10179899775275497
061,Kewaunee County,20187,20574,153,463,19822,19724,212,387,0.007579135086937138,0.022504131428015942,0.9819190568187447,0.9586857198405755,0.010501808094318126,0.018810148731408575
063,La Crosse County,107120,114638,990,1741,100332,104417,5798,8480,0.009241971620612398,0.015186936268950959,0.9366318147871546,0.9108410823636142,0.05412621359223301,0.07397198136743488
065,Lafayette County,16137,16836,92,522,15921,16102,124,212,0.005701183615294045,0.031004989308624376,0.9866146123814835,0.9564029460679496,0.0076842040032224085,0.012592064623425991
067,Langlade County,20740,19977,171,324,20193,19109,376,544,0.00824493731918997,0.01621865144916654,0.9736258437801351,0.956550032537418,0.018129218900675023,0.027231316013415427
069,Lincoln County,29641,28743,243,340,28857,27763,541,640,0.008198103977598596,0.011828967052847649,0.9735501501298877,0.965904742024145,0.018251745892513747,0.022266290923007342
071,Manitowoc County,82893,81442,1343,2565,78762,75210,2788,3667,0.016201609303560013,0.03149480611969254,0.9501646701168976,0.9234792858721544,0.0336337205795423,0.045025908008153044
073,Marathon County,125834,134063,979,2992,117517,121007,7338,10064,0.007780091231304735,0.022317865481154383,0.9339049859338494,0.90261295062769,0.058314922834845906,0.07506918389115565
075,Marinette County,43384,41749,325,522,42354,40260,705,967,0.007491241010510788,0.01250329349205969,0.9762585284897658,0.9643344750772473,0.0162502304997234,0.023162231430692952
077,Marquette County,14555,15404,215,391,14105,14697,235,316,0.014771556166265888,0.02538301739807842,0.9690827894194435,0.9541028304336536,0.01614565441429062,0.020514152168267984
078,Menominee County,4562,4232,122,178,526,447,3914,3607,0.026742656729504603,0.04206049149338374,0.11530030688294608,0.10562381852551984,0.8579570363875493,0.8523156899810964
079,Milwaukee County,940164,947735,82406,126039,583481,514958,274277,306738,0.08765066520309223,0.13298970703835988,0.6206161903667871,0.5433565289875334,0.2917331444301207,0.32365376397410667
081,Monroe County,40896,44673,740,1661,39132,41260,1024,1752,0.018094679186228483,0.03718129518948806,0.9568661971830986,0.9236003850200345,0.025039123630672927,0.03921831979047747
083,Oconto County,35652,37660,240,519,34725,36167,687,974,0.006731740154830024,0.013781200212426977,0.973998653651969,0.960355815188529,0.019269606193200943,0.02586298459904408
085,Oneida County,36776,35998,244,385,35794,34560,738,1053,0.006634761801174679,0.010695038613256292,0.9732978029149445,0.960053336296461,0.020067435283880792,0.029251625090282795
087,Outagamie County,161091,176695,3211,6359,149707,158366,8173,11970,0.01993283299501524,0.035988567871190466,0.9293318683228734,0.8962675797277795,0.05073529868211135,0.06774385240103002
089,Ozaukee County,82317,86395,1073,1956,78894,80689,2350,3750,0.013034974549607007,0.022640199085595232,0.9584168519260906,0.9339545112564385,0.028548173524302393,0.04340528965796632
091,Pepin County,7213,7469,25,72,7122,7305,66,92,0.0034659642312491333,0.009639844691391083,0.9873838901982531,0.9780425759807203,0.009150145570497712,0.012317579327888606
093,Pierce County,36804,41019,301,623,35896,39264,607,1132,0.008178458863167048,0.01518808357102806,0.9753287686121074,0.9572149491698969,0.016492772524725575,0.027596967259075064
095,Polk County,41319,44205,329,656,40131,42475,859,1074,0.007962438587574724,0.014839950231874222,0.9712480940971466,0.9608641556385025,0.020789467315278684,0.024295894129623345
097,Portage County,67182,70019,967,1853,63752,64897,2463,3269,0.01439373641749278,0.02646424541910053,0.9489446577952427,0.9268484268555678,0.03666160578726445,0.0466873277253317
099,Price County,15822,14159,116,153,15462,13661,244,345,0.00733156364555682,0.01080584787061233,0.9772468714448237,0.9648280245780069,0.015421564909619517,0.024366127551380748
101,Racine County,188831,195408,14990,22546,150238,145414,23603,27448,0.07938315213074125,0.11537910423319414,0.795621481642315,0.7441558175714402,0.12499536622694367,0.1404650781953656
103,Richland County,17924,18021,167,360,17546,17315,211,346,0.00931711671501897,0.01997669385716664,0.9789109573755858,0.9608234837134454,0.011771925909395225,0.019199822429387937
105,Rock County,152307,160331,5953,12124,135884,135526,10470,12681,0.03908553119685897,0.07561856409552738,0.8921717320937317,0.8452888087768429,0.06874273670940928,0.07909262712762971
107,Rusk County,15347,14755,116,173,14941,14284,290,298,0.0075584804847853,0.011724839037614367,0.9735453183032514,0.9680786174178244,0.01889620121196325,0.020196543544561164
109,St. Croix County,63155,84345,483,1692,61525,79895,1147,2758,0.007647850526482464,0.02006046594344656,0.9741904837305043,0.9472405003260419,0.01816166574301322,0.03269903373051159
111,Sauk County,55225,61976,938,2675,53241,57331,1046,1970,0.016985061113626077,0.04316186911062347,0.9640742417383431,0.925051632890151,0.01894069714803078,0.031786497999225505
113,Sawyer County,16196,16557,145,268,13182,13004,2869,3285,0.00895282785873055,0.01618650721749109,0.8139046678192147,0.7854079845382618,0.17714250432205483,0.19840550824424716
115,Shawano County,40664,41949,407,905,37102,36951,3155,4093,0.010008853039543577,0.021573815823976734,0.9124040920716112,0.8808553243223914,0.07758705488884517,0.09757085985363179
117,Sheboygan County,112656,115507,3789,6329,102638,100520,6229,8658,0.03363336173838943,0.05479321599556737,0.911074421246982,0.8702502878613417,0.0552922170146286,0.0749564961430909
119,Taylor County,19680,20689,127,316,19342,20110,211,263,0.0064532520325203254,0.015273817004205133,0.9828252032520325,0.9720141137802697,0.010721544715447154,0.012712069215525158
121,Trempealeau County,27010,28816,240,1667,26546,26774,224,375,0.008885597926693817,0.057849805663520264,0.9828211773417252,0.9291365907828983,0.008293224731580897,0.013013603553581344
123,Vernon County,28056,29773,186,394,27617,28873,253,506,0.006629597946963216,0.013233466563665065,0.9843527231251782,0.9697712692708158,0.009017678927858569,0.016995264165519094
125,Vilas County,21033,21430,181,268,18765,18546,2087,2616,0.008605524651737745,0.012505832944470368,0.8921694480102695,0.8654223051796547,0.09922502733799268,0.12207186187587495
127,Walworth County,92013,102228,6089,10578,83847,88690,2077,2960,0.06617543173247259,0.1034745862190398,0.9112516709595383,0.8675705286222952,0.022572897307989087,0.028954885158664945
129,Washburn County,16036,15911,143,208,15504,15228,389,475,0.008917435769518584,0.013072716988247125,0.966824644549763,0.9570737225818616,0.024257919680718384,0.02985356042989127
131,Washington County,117496,131887,1529,3385,113873,124348,2094,4154,0.013013208960305032,0.025665910969238818,0.9691649077415402,0.9428374290111989,0.01782188329815483,0.0314966600195622
