Product,EUR**,GBP,JPY,USD,TOTAL
Basis*,<100,<100,106,248,354
FRA,3544,1860,,3466,8870
IRS- Plain Vanilla,7966,1733,1356,11458,22513
OIS,506,216,,488,1210
VNS,<100,,,,<100
Zero Coupon,<100,<100,,<100,<100
TOTAL,12016,3809,1462,15660,32947
"Estimated swap transaction volumes, week ending November 30, by product type and supermajor currency (in number of transactions), all participant types, cleared and uncleared.","Estimated swap transaction volumes, week ending November 30, by product type and supermajor currency (in number of transactions), all participant types, cleared and uncleared.","Estimated swap transaction volumes, week ending November 30, by product type and supermajor currency (in number of transactions), all participant types, cleared and uncleared.","Estimated swap transaction volumes, week ending November 30, by product type and supermajor currency (in number of transactions), all participant types, cleared and uncleared.","Estimated swap transaction volumes, week ending November 30, by product type and supermajor currency (in number of transactions), all participant types, cleared and uncleared.","Estimated swap transaction volumes, week ending November 30, by product type and supermajor currency (in number of transactions), all participant types, cleared and uncleared."
Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.
*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.
**See Data Dictionary for supermajor currency descriptions.,**See Data Dictionary for supermajor currency descriptions.,**See Data Dictionary for supermajor currency descriptions.,**See Data Dictionary for supermajor currency descriptions.,**See Data Dictionary for supermajor currency descriptions.,**See Data Dictionary for supermajor currency descriptions.
***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.
Note: Transaction volumes currently include house and client trades by FCMs in the interest rate asset class.,Note: Transaction volumes currently include house and client trades by FCMs in the interest rate asset class.,Note: Transaction volumes currently include house and client trades by FCMs in the interest rate asset class.,Note: Transaction volumes currently include house and client trades by FCMs in the interest rate asset class.,Note: Transaction volumes currently include house and client trades by FCMs in the interest rate asset class.,Note: Transaction volumes currently include house and client trades by FCMs in the interest rate asset class.
The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.
