People QuickFacts,New Bern,North Carolina
"Population, 2013 estimate    ","30,242","9,848,060"
"Population, 2012 estimate    ","30,387","9,748,364"
"Population, 2010 (April 1) estimates base    ","29,547","9,535,471"
"Population, percent change, April 1, 2010 to July 1, 2013    ",2.4%,3.3%
"Population, percent change, April 1, 2010 to July 1, 2012    ",2.8%,2.2%
"Population, 2010    ","29,524","9,535,483"
"Persons under 5 years, percent, 2010    ",7.5%,6.6%
"Persons under 18 years, percent, 2010    ",22.8%,23.9%
"Persons 65 years and over, percent,  2010    ",17.9%,12.9%
"Female persons, percent, 2010    ",53.3%,51.3%
,,
"White alone, percent, 2010 (a)    ",57.9%,68.5%
"Black or African American alone, percent, 2010 (a)    ",33.2%,21.5%
"American Indian and Alaska Native alone, percent, 2010 (a)    ",0.4%,1.3%
"Asian alone, percent, 2010 (a)    ",3.6%,2.2%
"Native Hawaiian and Other Pacific Islander alone, percent, 2010 (a)    ",0.1%,0.1%
"Two or More Races, percent, 2010    ",2.4%,2.2%
"Hispanic or Latino, percent, 2010 (b)    ",5.8%,8.4%
"White alone, not Hispanic or Latino, percent, 2010    ",55.5%,65.3%
,,
"Living in same house 1 year & over, percent, 2008-2012    ",82.1%,84.4%
"Foreign born persons, percent, 2008-2012    ",6.7%,7.5%
"Language other than English spoken at home, pct age 5+, 2008-2012    ",9.7%,10.8%
"High school graduate or higher, percent of persons age 25+, 2008-2012    ",83.6%,84.5%
"Bachelor's degree or higher, percent of persons age 25+, 2008-2012    ",24.0%,26.8%
"Veterans, 2008-2012    ","3,049","738,926"
"Mean travel time to work (minutes), workers age 16+, 2008-2012    ",19.4,23.5
"Housing units, 2010    ","14,471","4,327,528"
"Homeownership rate, 2008-2012    ",52.9%,67.1%
"Housing units in multi-unit structures, percent, 2008-2012    ",26.1%,17.1%
"Median value of owner-occupied housing units, 2008-2012    ","$153,000","$153,600"
"Households, 2008-2012    ","12,789","3,693,221"
"Persons per household, 2008-2012    ",2.27,2.51
"Per capita money income in past 12 months (2012 dollars), 2008-2012    ","$22,762","$25,285"
"Median household income, 2008-2012    ","$37,180","$46,450"
"Persons below poverty level, percent, 2008-2012    ",23.8%,16.8%
,,
Business QuickFacts,New Bern,North Carolina
"Total number of firms, 2007    ","3,049","798,791"
"Black-owned firms, percent, 2007    ",S,10.5%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",F,1.0%
"Asian-owned firms, percent, 2007    ",2.2%,2.5%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,0.1%
"Hispanic-owned firms, percent, 2007    ",1.0%,2.7%
"Women-owned firms, percent, 2007    ",18.2%,28.2%
,,
"Manufacturers shipments, 2007 ($1000)    ","911,750","205,867,299"
"Merchant wholesaler sales, 2007 ($1000)    ","698,670","88,795,885"
"Retail sales, 2007 ($1000)    ","728,825","114,578,173"
"Retail sales per capita, 2007    ","$25,885","$12,641"
"Accommodation and food services sales, 2007 ($1000)    ","91,199","16,126,939"
,,
Geography QuickFacts,New Bern,North Carolina
"Land area in square miles, 2010    ",28.23,"48,617.91"
"Persons per square mile, 2010    ","1,045.8",196.1
FIPS Code    ,46340,37
Counties    ,"Craven County
 ",
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
