FY 2013 AEA STATE AID PAYMENTS,FY 2013 AEA STATE AID PAYMENTS,FY 2013 AEA STATE AID PAYMENTS,FY 2013 AEA STATE AID PAYMENTS,FY 2013 AEA STATE AID PAYMENTS,FY 2013 AEA STATE AID PAYMENTS
,,ORIGINAL,SEPT-DEC,PAID THROUGH,AMOUNT
,,BUDGET,PAYMENT,DEC,REMAINING
1,KEYSTONE AEA 1,12252023,1225203,4900812,7351211
5,PRAIRIE LAKES AEA 8,12262873,1226292,4905168,7357705
7,AEA 267,25621579,2562162,10248648,15372931
9,MISSISSIPPI BEND AEA 9,18256425,1825645,7302580,10953845
10,GRANT WOOD AEA 10,25694279,2569428,10277712,15416567
11,HEARTLAND AEA 11,47311975,4731203,18924812,28387163
12,NORTHWEST AEA,15237716,1523774,6095096,9142620
13,GREEN HILLS AEA 13,14922450,1492246,5968984,8953466
15,GREAT PRAIRIE AEA 15,13628215,1362826,5451304,8176911
,,185187535,18518779,74075116,111112419
