Product,Product,Cleared**,Uncleared,TOTAL
Swap*,Basis,,,
Swap*,FRA,,,
Swap*,Exotic,,,
Swap*,Inflation,,,
Swap*,IRS- Plain Vanilla,,,
Swap*,OIS,,,
Swap*,VNS,,,
Swap*,Zero Coupon,,,
,,,,
With Optionality,Callable Swap,,,
With Optionality,Cap/Floor,,,
With Optionality,Debt Option,,,
With Optionality,Exotic Option,,,
With Optionality,Swaption,,,
,,,,
Cross-Currency,Exotic,,,
Cross-Currency,Swap,,,
,,,,
TOTAL,TOTAL,N/A***,,
"Estimated swap dollar volumes, week ending November 30, by product type and cleared status (value of all trades in millions of USD), all participant types and currencies. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated swap dollar volumes, week ending November 30, by product type and cleared status (value of all trades in millions of USD), all participant types and currencies. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated swap dollar volumes, week ending November 30, by product type and cleared status (value of all trades in millions of USD), all participant types and currencies. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated swap dollar volumes, week ending November 30, by product type and cleared status (value of all trades in millions of USD), all participant types and currencies. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade.","Estimated swap dollar volumes, week ending November 30, by product type and cleared status (value of all trades in millions of USD), all participant types and currencies. Data are adjusted for double-counting of cleared trades to show a single exposure for each trade."
Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown. See Explanatory Notes for more detail.
*See Data Dictionary for product descriptions and Explanatory Notes for data sources.,*See Data Dictionary for product descriptions and Explanatory Notes for data sources.,*See Data Dictionary for product descriptions and Explanatory Notes for data sources.,*See Data Dictionary for product descriptions and Explanatory Notes for data sources.,*See Data Dictionary for product descriptions and Explanatory Notes for data sources.
**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.,**See Explanatory Notes for cleared and uncleared descriptions.
***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.
The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.
