County,Legal Name of Newspaper,Mailing Address,Street Address,City,State,ZIP,Phone
Aitkin,Aitkin Independent Age,,213 Minnesota Ave N,Aitkin,MN,56431,218-927-3761
Anoka,Anoka County Record,PO Box 21014 Columbia Heights MN 55421,7956 Main Str NE,Fridley,MN,55432,763-220-0411
Anoka,Anoka County Union,,4101 Coon Rapids Blvd,Coon Rapids,MN,55433,763-421-4444
Anoka,Blaine-Spring Lake Park Life,,4101 Coon Rapids Blvd,Coon Rapids,MN,55433,763-421-4444
Anoka,Columbia Heights & Fridley Sun,,10917 Valley View Rd,Eden Prairie,MN,55344,952-392-6829
Anoka,Coon Rapids Herald,,4101 Coon Rapids Blvd,Coon Rapids,MN,55433,763-421-4444
Becker,Becker County Record,,511 Washington Ave,Detroit Lakes,MN,56501-,218-847-3151
Becker,Detroit Lakes Tribune,,511 Washington Ave,Detroit Lakes,MN,56501,218-847-3151
Becker,Frazee-Vergas Forum,,112 W Main Ave,Frazee,MN,56544,218-334-3566
Beltrami,The American,,1320 Nelson Ave SE,Bemidji,MN,56601,218-333-9200
Beltrami,The Bemidji Pioneer,,1320 Neilson Ave SE,Bemidji,MN,56601,218-333-9200
Beltrami,The Midwest Buy Line,,522 Beltrami Ave #100,Bemidji,MN,56601,218-759-1139
Benton,"Benton County News, LLC",PO Box 187,220 Broadway Ave N,Foley,MN,56329-0187,320-968-7220
Benton,Sauk Rapids Herald,,7 2nd Ave S,Sauk Rapids,MN,56379,320-251-1971
Big Stone,The Ortonville Independent,,789 US Hwy 75,Ortonville,MN,56278,320-839-6163
Blue Earth,Lake Crystal Tribune,PO Box 240,101 W Humphrey Str,Lake Crystal,MN,56055,507-726-2133
Blue Earth,Lake Region Times,PO Bx 128,513 Main Str,Madison Lake,MN,56063-0128,507-243-3031
Blue Earth,Maple River Messenger,Box 425,309 Main Str NE,Mapleton,MN,56065,507-524-3212
Blue Earth,The Free Press,,418 S 2nd Str,Mankato,MN,56001,507-625-4451
Brown,Sleepy Eye Herald-Dispatch,,119 E Main Str,Sleepy Eye,MN,56085,507-794-3511
Brown,Springfield Advance-Press,,13 S Marshall Ave,Springfield,MN,56087,507-723-4225
Brown,The Journal,,303 N Minnesota Str,New Ulm,MN,56073,507-359-2911
Carlton,MOOSE LAKE STAR GAZETTE,,103 Elm Ave,Moose Lake,MN,55767,218-245-2368
Carlton,Pine Journal,,122 Avenue C,Cloquet,MN,55720-1546,218-879-1950
Carver,Carver County News Newspaper,PO Box 188,130 Lewis Ave S,Watertown,MN,55388,952-955-1111
Carver,Chanhassen Villager,,123 W Second Str,Chaska,MN,55318,952-445-3333
Carver,Chaska Herald,PO Box 113,123 W 2nd Str,Chaska,MN,55318,952-445-3333
Carver,Norwood/Young America Times,PO Box 10,217 Main Str E,Norwood Young America,MN,55397,952-467-2271
Carver,The Waconia Patriot,PO Box 5,8 Elm Str S,Waconia,MN,55387,952-442-4414
Cass,Cass Lake Times,Box 398,128 2nd Str NW,Cass Lake,MN,56633,218-335-2290
Cass,Pilot-Independent,PO Box 190,408 Minnesota Ave,Walker,MN,56484,218-547-1000
Cass,Pine Cone Press-Citizen,PO Box 401,166 Hardy Ln #100,Longville,MN,56655,218-363-2002
Cass,The Northland Press Inc,PO Box 145,2220 Peninsula Rd NE,Outing,MN,56662,218-792-5842 or 218-692-5842
Chippewa,Clara City Herald,,34 E Center Ave,Clara City,MN,56222,320-847-3130
Chippewa,Montevideo American-News,PO Box 99,223 S 1st Str,Montevideo,MN,56265-0099,320-269-2156
Chisago,Chisago County Press,,12631 Lake Blvd,Lindstrom,MN,55045,651-257-5115
Chisago,ECM Post Review,PO Box 358,6448 Main Str,North Branch,MN,55056,651-674-7025
Clay,Clay County Union,Box 248,112 2nd Ave E,Ulen,MN,56585-,218-596-8813
Clay,Lake Park Journal,,119 6th Str PO Box 709,Hawley,MN,56549-0709,218-483-3306
Clay,Record-Review,PO Box 70,424 Front Str S,Barnesville,MN,56514,218-354-2606
Clay,The Extra,,810 4th Ave S #120,Moorhead,MN,56561,712-472-2525
Clay,The Forum of Fargo-Moorhead,,101 5th Str N,Fargo,ND,58104,701-235-7311
Clay,The Hawley Herald,,119 6th Str PO Box 709,Hawley,MN,56549-0709,218-483-3306
Clearwater,Farmers Independent,PO Box 130,102 N Main Ave,Bagley,MN,56621,218-694-6265
Clearwater,Leader-Record,,239 2nd Ave,Gonvick,MN,56644,218-487-5225
Cook,Cook County News-Herald,PO Bx 757,15 1st Ave W,Grand Marais,MN,55604-0321,218-387-9100
Cottonwood,Cottonwood County Citizen,,260 10th Str,Windom,MN,56101,507-831-3455
Cottonwood,Observer/Advocate,,237 11th Str N,Mountain Lake,MN,56159,507-831-3455
Cottonwood,Sentinel Tribune,,611 1st Ave,Westbrook,MN,56183,507-274-6136
Crow Wing,Brainerd Dispatch,,506 James Str,Brainerd,MN,56401,218-829-4705
Crow Wing,Crosby-Ironton Courier,PO Box 67,12 E Main Str,Crosby,MN,56441,218-546-5029
Crow Wing,Echo Journal,PO Box 974,506 James Str,Brainerd,MN,56401,218-829-4705
Crow Wing,NewsHopper,,2027 South Sixth Str Suite 105,Brainerd,MN,56401,218-772-0300
Dakota,Dakota County Tribune,,15322 Galaxie Ave #219,Apple Valley,MN,55124,952-894-1111
Dakota,Farmington Rosemount Independent Town Pages,,312 Oak Str,Farmington,MN,55024,651-301-7856
