"HAS - Hasbro, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Data,,,,,,,,,,,,,,,,,Quarterly Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Period,Dec99,Dec00,Dec01,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Dec09,Dec10,Dec11,Dec12,Dec13,TTM/current,	,Mar99,Jun99,Sep99,Dec99,Mar00,Jun00,Sep00,Dec00,Mar01,Jun01,Sep01,Dec01,Mar02,Jun02,Sep02,Dec02,Mar03,Jun03,Sep03,Dec03,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Revenue per Share ($),20.83,21.47,16.74,16.17,17.52,14.68,15.87,17.67,22.7,25.91,26.63,27.47,31.35,30.99,31.36,31.2,		,3.39,4.33,5.54,8.06,4.08,4.79,6.2,6.7,2.69,3.07,5.12,7.11,2.65,3.16,4.7,5.69,2.58,3.06,5.39,6.38,2.7,1.64,4.81,5.79,2.56,2.53,5.04,5.39,2.64,1.36,6.05,6.34,3.54,4.32,7.19,8.07,4.51,5.23,8.38,7.66,4.41,5.66,8.37,9.03,4.9,5.13,9.5,7.61,4.77,6.68,10.2,10.1,5.01,6.14,10.15,9.75,5.13,5.88,10.39,9.8
EBITDA per Share ($),3.29,0.91,2.56,2.31,2.84,2.15,2.52,2.93,4,4.25,5.04,5.04,5.52,5.32,4.98,4.9399999999999995,		,0.38,0.59,1.01,1.39,0.5,0.59,0.7,-0.87,0.2,0.31,0.92,1.37,0.19,0.35,0.84,0.94,0.26,0.36,0.98,1.24,0.25,0.18,0.83,0.96,0.22,0.32,0.93,0.99,0.17,0.15,1.21,1.29,0.5,0.59,1.5,1.47,0.61,0.71,1.7,1.21,0.54,0.84,1.85,1.93,0.72,0.82,2.03,1.4,0.57,0.88,2.32,1.83,0.35,0.93,2.22,1.83,0.32,0.84,1.86,1.92
EBIT per Share ($),1.93,-0.59,1.24,1.26,1.92,1.44,1.6,2.11,3.07,3.18,3.85,4.04,4.35,4.18,3.59,3.56,		,0.15,0.29,0.71,0.83,0.21,0.22,0.33,-1.37,-0.08,0,0.59,0.87,-0.04,0.08,0.55,0.66,0.09,0.15,0.76,0.93,0.08,0.07,0.62,0.73,0.01,0.12,0.65,0.77,-0.01,0.05,0.96,1.09,0.3,0.35,1.23,1.24,0.39,0.44,1.39,0.94,0.29,0.52,1.51,1.6,0.5,0.55,1.72,1.2,0.35,0.59,1.84,1.64,0.12,0.65,1.88,1.52,0.08,0.57,1.51,1.4
Earnings per Share (diluted) ($),0.93,-0.82,0.35,-0.99,0.88,0.96,1.09,1.29,1.97,2,2.48,2.74,2.82,2.55,2.17,2.182,		,0.07,0.16,0.43,0.292,0.08,0.04,0.08,-1.037,-0.15,-0.11,0.29,0.377,-0.1,-0.15,0.32,0.354,0.01,0.06,0.38,0.435,0.03,0.06,0.45,0.448,-0.02,0.13,0.47,0.474,-0.03,0.07,0.58,0.615,0.19,0.03,0.95,0.832,0.25,0.25,0.89,0.582,0.14,0.26,0.99,1.087,0.4,0.29,1.09,0.833,0.12,0.42,1.27,1.057,-0.02,0.33,1.24,0.99,-0.05,0.28,0.96,0.992
Free Cashflow per Share ($),1.4,0.21,1.89,2.38,2.18,1.37,2.19,1.34,3.02,3.07,1.06,1.75,2.17,3.2,2.22,2.25,		,0.71,-2.49,-0.05,3.33,1.85,-2.59,-0.51,1.13,1.07,-1.15,-0.84,3.43,0.75,-1.33,-0.2,3.14,0.15,-0.75,-0.57,3.46,0.68,-0.47,-0.62,2.34,0.83,-0.71,-0.19,2.39,-0.49,-0.08,-0.21,2.23,0.19,-0.29,-0.02,3.27,0.83,-1.08,-0.18,3.34,-0.33,-1.32,-0.35,2.93,1.78,-0.84,-1.4,1.94,1.8,-1.3,-1.1,2.79,2.02,-0.84,-0.62,2.69,2.11,-0.22,-2.09,2.45
Dividends Per Share,0.233,0.24,0.12,0.12,0.12,0.21,0.33,0.45,0.6,0.76,0.8,0.95,1.15,1.74,1.2,1.56,		,0.053,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.06,0.06,0.06,0.09,0.09,0.09,0.09,0.12,0.12,0.12,0.12,0.16,0.16,0.16,0.16,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,0.25,0.25,0.3,0.3,0.3,0.3,0.36,0.36,0.36,0.36,0.4,0.4,0.4
Book Value Per Share ($),9.25,7.7,7.83,6.88,8.05,9.26,9.66,9.68,9.71,9.99,11.63,11.76,11.02,11.69,12.97,12.97,		,9.74,9.21,9.41,9.52,7.95,8.72,8.65,7.7,7.38,7.29,7.44,7.83,7.66,6.31,6.58,6.88,7.29,7.54,7.29,8.05,7.98,8.01,8.48,9.26,9.12,8.97,9.37,9.66,9.12,8.91,8.93,9.68,9.53,9.6,9.2,9.71,9.14,9.27,9.74,9.99,9.91,9.94,10.71,11.63,11.89,11.25,10.91,11.76,11.19,10.88,10.67,11.02,10.77,10.75,11.71,11.69,11.31,11.2,11.73,12.97
Month End Stock Price,18.938,10.625,16.23,11.55,21.28,19.38,20.18,27.25,25.58,29.17,32.06,47.18,31.89,35.9,0,54.77,		,28.938,27.938,21.5,18.938,16.688,16,11.438,10.625,12.9,14.45,14,16.23,15.82,13.56,11.13,11.55,13.89,17.49,18.68,21.28,21.75,19,18.8,19.38,20.45,20.79,19.65,20.18,21.1,18.11,22.75,27.25,28.62,31.41,27.88,25.58,27.9,35.72,34.72,29.17,25.07,24.24,27.75,32.06,38.28,41.1,44.51,47.18,46.84,43.93,32.61,31.89,36.72,33.87,38.165,35.9,43.94,44.83,47.14,0
Return on Equity %,10.100000000000001,-10.9,4.3999999999999995,-14.299999999999999,11.200000000000001,12,12.3,15,24,22.1,23.5,24.6,27.200000000000003,22.3,17,30.8,		,2.8000000000000003,7.199999999999999,18.4,12.4,4,1.6,3.5999999999999996,-54.400000000000006,-8,-6,15.6,15.6,-5.2,-9.6,19.6,20.8,0.4,3.5999999999999996,21.6,22,2,5.2,23.599999999999998,20,-0.8,7.199999999999999,22,22,-1.2,7.6,28.000000000000004,28.000000000000004,8.4,1.2,47.599999999999994,38.800000000000004,12,11.600000000000001,40.8,26.8,5.6000000000000005,11.200000000000001,40.400000000000006,41.6,14.000000000000002,10.8,41.6,34.8,4.3999999999999995,16,49.6,39.2,-0.8,12.4,43.2,34.4,-2,10,33.2,30.8
Return on Assets %,4.2,-3.8,1.7999999999999998,-5.4,5,6,6.4,7.3999999999999995,10.299999999999999,9.700000000000001,9.6,9.700000000000001,9.3,7.8,6.5,11.600000000000001,		,1.6,3.2,8,5.2,1.6,0.8,1.2,-18.8,-2.8000000000000003,-2,5.6000000000000005,6.4,-2,-3.5999999999999996,7.199999999999999,8,0,1.6,8.4,9.6,0.8,2.8000000000000003,11.200000000000001,10,-0.4,4,11.200000000000001,11.600000000000001,-0.8,4,13.600000000000001,14.000000000000002,4.3999999999999995,0.8,19.6,16.400000000000002,4.8,4.8,16.400000000000002,12,2.8000000000000003,4.3999999999999995,15.6,16.8,5.6000000000000005,4.3999999999999995,14.799999999999999,13.600000000000001,1.6,6,16.8,13.600000000000001,-0.4,4.3999999999999995,14.799999999999999,12,-0.8,3.5999999999999996,11.200000000000001,11.600000000000001
