District IRN,District Name,County,Region,District Improvement Level,Support Level,SI Building Count,# District Level boxes not met,District Level boxes evaluated,# of Building not met boxes,Building boxes evaluated,Total # of boxes not met,Total boxes evaluated,% boxes not met,Missed for SWD Only,2009-10 Support Level,2010-11 Support Level,2011-12 Support Level,For FY13 YEARS IN DA,F12 Letter Code,FY13 Letter Code
045187,Ada Exempted Village,Hardin,6,OK,Low,1,0,8,0,6,0,14,0,,Medium,Low,Medium,4,M3Y,M3YL4
061903,Adams County/Ohio Valley Local,Adams,14,DI Year 1,Medium,3,2,8,5,24,7,32,0.21875,Y,Low,Low,Medium,4,M3Y,M4Y
049494,Adena Local,Ross,15,At Risk,Low,2,2,8,2,16,4,24,0.1666666666666667,Y,Low,High,Low,4,L3Y,L4Y
043489,Akron City,Summit,8,DI Year 8,High,33,6,18,132,298,138,316,0.4367088607594937,,High,High,High,4,H3Y,H4Y
045906,Alexander Local,Athens,16,At Risk,High,2,2,8,5,14,7,22,0.3181818181818182,Y,,Medium,Low,3,L2Y,H3Y
045757,Allen East Local,Allen,6,OK,Low,1,0,8,0,8,0,16,0,,,Medium,Low,3,L2Y,L3Y
043497,Alliance City,Stark,9,DI Year 8,Medium,5,3,12,11,38,14,50,0.28,,Medium,Low,Medium,4,M3Y,M4Y
046847,Amanda-Clearcreek Local,Fairfield,11,At Risk,Low,3,2,8,2,14,4,22,0.1818181818181818,Y,Low,Medium,Low,4,L3Y,L4Y
045195,Amherst Exempted Village,Lorain,2,OK,Low,3,0,14,4,20,4,34,0.1176470588235294,,,,Low,2,L1Y,L2Y
047423,Arlington Local,Hancock,1,At Risk,Low,1,1,8,1,8,2,16,0.125,Y,,,,1,,L1Y
043505,Ashland City,Ashland,7,DI Year 4,Low,3,1,12,3,24,4,36,0.1111111111111111,Y,Low,Low,Low,4,L3Y,L4Y
043513,Ashtabula Area City,Ashtabula,5,DI Year 9,Medium,7,3,16,15,64,18,80,0.225,,Medium,Low,High,4,H3Y,H3YM4
043521,Athens City,Athens,16,DI Year 3,Low,4,1,12,6,28,7,40,0.175,Y,Medium,Medium,Medium,4,M3Y,M3YL4
048298,Austintown Local,Mahoning,5,OK,Low,1,0,14,3,10,3,24,0.125,,Low,Low,Low,4,L3Y,L4Y
043539,Barberton City,Summit,8,DI Year 8,High,3,3,12,13,28,16,40,0.4,,Low,Low,Low,4,L3Y,L3YH4
046300,Batavia Local,Clermont,13,OK,Low,1,0,10,2,8,2,18,0.1111111111111111,,,,Low,2,L1Y,L2Y
047241,Beavercreek City,Greene,10,OK,Low,2,0,18,1,16,1,34,0.0294117647058824,,Low,Low,Low,4,L3Y,L4Y
043562,Bedford City,Cuyahoga,3,DI Year 5,High,5,2,14,18,40,20,54,0.3703703703703704,Y,Medium,Medium,Medium,4,M3Y,M3YH4
043588,Bellefontaine City ,Logan,6,DI Year 5,Medium,3,2,12,7,24,9,36,0.25,Y,Medium,Low,Low,4,L3Y,L3YM4
043596,Bellevue City,Huron,2,At Risk,Medium,3,2,10,2,8,4,18,0.2222222222222222,Y,Low,Low,Low,4,L3Y,L3YM4
043604,Belpre City,Washington,16,At Risk,Low,2,2,8,2,16,4,24,0.1666666666666667,Y,,Medium,Low,3,L2Y,L3Y
048074,Benjamin Logan Local,Logan,6,DI Year 4 (Delay),Low,1,1,10,0,10,1,20,0.05,Y,Low,Medium,Medium,4,M3Y,M3YL4
048926,Benton Carroll Salem Local,Ottawa,1,At Risk,Low,1,1,12,1,6,2,18,0.1111111111111111,Y,,,,1,,L1Y
043612,Berea City,Cuyahoga,3,At Risk,Low,3,1,18,2,24,3,42,0.0714285714285714,Y,Low,Low,Low,4,L3Y,L4Y
