,,,,,,
,PDC UK Trade Price List - effective 25th March 2013,,,,,
,,,,,,
,,Enter List Number Here   ,,, ,
,,If no data returned please Contact Customer Services on 08700 545 333,,,,
,,,,,,
,,Trade Price   ,, ,,
,,Qty Per Carton   ,, ,,
,,Split Carton Price   ,, ,,
,,Discount Code   ,, ,,
,,,,,,
,,,,,,
,Eaton List Number,Trade Price £ Each,Qty Per Carton,Split Carton £ Each,Description,Discount Code
,120915,212.7,1,,SOL20/2MC4,H
,120916,241.84,1,,SOL20/4MC4,H
,120919,182.89,1,,SOL20/2MV,H
,120922,218.9,1,,SOL30/2MC4,H
,120923,232.79,1,,SOL30/4MC4,H
,120926,187.63,1,,SOL30/2MV,H
,120934,75.91,1,,P-SOL20,H
,120935,80.08,1,,P-SOL30,H
,120936,213.19,1,,P-SOL60,H
,120937,70.87,1,,PKZ-SOL12,H
,120938,71.4,1,,PKZ-SOL20,H
,120939,75.32,1,,PKZ-SOL30,H
,131755,24.45,1,,SPMT2PA-280/1,H
,131757,70.91,1,,SPMT2PA-280/3,H
,131758,92.92,1,,SPMT2PA-280/4,H
,131759,24.45,1,,SPMT2PA-335/1,H
,131760,46.96,1,,SPMT2PA-335/2,H
,131761,70.91,1,,SPMT2PA-335/3,H
,131762,92.92,1,,SPMT2PA-335/4,H
,131773,74.92,1,,SPMT2PA-1+NPE,H
,131774,120.9,1,,SPMT2PA-3+NPE,H
,131778,16.14,1,,SPMT2PA-280,H
,131779,16.62,1,,SPMT2PA-335,H
,131783,43.62,1,,SPMT2PA-NPE,H
,131784,3.71,1,,ASLTT-63,H
,131785,9.68,1,,ASAUXSC-SPM,H
,132661,183.84,1,,SPPT2PA-600-2+1PE,H
,132662,193.67,1,,SPPT2PA-1000-2+1PE,H
,132663,161.35,1,,SPPT2PA-600-2PE,H
,132664,171.17,1,,SPPT2PA-1000-2PE,H
,132665,206.52,1,,SPPT2PA-1000-2+1PE-AX,H
,132666,184.03,1,,SPPT2PA-1000-2PE-AX,H
